candidate_id,development_mean_JS,development_mean_Pearson,alpha,beta,width_kpc,f,Q0,n
Q0_high,0.05794028268245373,0.6370103335068773,0.5,1.0,50.0,0.8,0.08,4.0
Q0_low,0.05793032230481017,0.6370032060157699,0.5,1.0,50.0,0.8,0.03,4.0
cancellation_0p4,0.05804996305574273,0.6358133479972512,0.4,1.0,50.0,0.8,0.05,4.0
cancellation_0p6,0.057931253071220525,0.6373300715339678,0.6,1.0,50.0,0.8,0.05,4.0
fraction_0p7,0.05831424519101028,0.6373808370714329,0.5,1.0,50.0,0.7,0.05,4.0
fraction_0p9,0.05766943194735984,0.6363686140525917,0.5,1.0,50.0,0.9,0.05,4.0
gate_reference,0.057931668522675644,0.637004188395905,0.5,1.0,50.0,0.8,0.05,4.0
gate_sharp,0.05793019549052543,0.6370030193660556,0.5,1.0,50.0,0.8,0.05,6.0
gate_soft,0.057975233214303104,0.6370933883905229,0.5,1.0,50.0,0.8,0.05,2.0
local_control,0.06410915366894743,0.6245303971248028,,,,,,
no_gate_baseline,0.05793012195361305,0.637003059287993,0.5,1.0,50.0,0.8,0.0,4.0
tidal_0p8,0.05778247004974009,0.6395304422079513,0.5,0.8,50.0,0.8,0.05,4.0
tidal_1p2,0.05813786190291696,0.6338644560374387,0.5,1.2,50.0,0.8,0.05,4.0
width_40,0.05988987409434565,0.6183058247907712,0.5,1.0,40.0,0.8,0.05,4.0
width_60,0.056856777839650076,0.6529726007946461,0.5,1.0,60.0,0.8,0.05,4.0
