galaxy,radial_points,deprojected_axisymmetric_Q90,angular_layer_velocity_change_km_s
CamB,9,0.0,0.0
D512-2,4,0.0,0.0
D564-8,6,0.0,0.0
D631-7,16,0.0,0.0
DDO064,14,0.0,0.0
DDO154,12,0.0,0.0
DDO161,31,0.0,0.0
DDO168,10,0.0,0.0
DDO170,8,0.0,0.0
ESO079-G014,15,0.0,0.0
ESO116-G012,15,0.0,0.0
ESO444-G084,7,0.0,0.0
ESO563-G021,30,0.0,0.0
F561-1,6,0.0,0.0
F563-1,17,0.0,0.0
F563-V1,6,0.0,0.0
F563-V2,10,0.0,0.0
F565-V2,7,0.0,0.0
F567-2,5,0.0,0.0
F568-1,12,0.0,0.0
F568-3,18,0.0,0.0
F568-V1,15,0.0,0.0
F571-8,13,0.0,0.0
F571-V1,7,0.0,0.0
F574-1,14,0.0,0.0
F574-2,5,0.0,0.0
F579-V1,14,0.0,0.0
F583-1,25,0.0,0.0
F583-4,12,0.0,0.0
IC2574,34,0.0,0.0
IC4202,32,0.0,0.0
KK98-251,15,0.0,0.0
NGC0024,29,0.0,0.0
NGC0055,21,0.0,0.0
NGC0100,21,0.0,0.0
NGC0247,26,0.0,0.0
NGC0289,28,0.0,0.0
NGC0300,25,0.0,0.0
NGC0801,13,0.0,0.0
NGC0891,18,0.0,0.0
NGC1003,36,0.0,0.0
NGC1090,24,0.0,0.0
NGC1705,14,0.0,0.0
NGC2366,26,0.0,0.0
NGC2403,73,0.0,0.0
NGC2683,11,0.0,0.0
NGC2841,50,0.0,0.0
NGC2903,34,0.0,0.0
NGC2915,30,0.0,0.0
NGC2955,24,0.0,0.0
NGC2976,27,0.0,0.0
NGC2998,13,0.0,0.0
NGC3109,25,0.0,0.0
NGC3198,43,0.0,0.0
NGC3521,41,0.0,0.0
NGC3726,12,0.0,0.0
NGC3741,21,0.0,0.0
NGC3769,12,0.0,0.0
NGC3877,13,0.0,0.0
NGC3893,10,0.0,0.0
NGC3917,17,0.0,0.0
NGC3949,7,0.0,0.0
NGC3953,8,0.0,0.0
NGC3972,10,0.0,0.0
NGC3992,9,0.0,0.0
NGC4010,12,0.0,0.0
