cohort,system,Q90,member_sources,median_coherence,median_cancellation,median_tidal_balance
historical_development,A2163,0.5228271173126605,69,0.7222891363513468,0.2777108636486532,0.6933605790713262
historical_development,A3192,0.5149562986748896,115,0.6201044395009783,0.37989556049902173,0.6901945147729867
historical_development,ACT-CL J0102-4915,0.3558755194724353,104,0.32994970925084643,0.6700502907491536,0.7025983179810227
historical_development,CL J0152.7-1357,0.4127752481254851,111,0.6528626009969716,0.3471373990030285,0.7164763480749134
historical_development,MACS J0035.4-2015,0.37833759499953473,66,0.5084175429278263,0.49158245707217374,0.6132849972747647
historical_development,MACS J0257.1-2325,0.4578163354950004,61,0.37231717954570537,0.6276828204542946,0.7003819395335342
historical_development,MACS J0553.4-3342,0.3759625635292242,77,0.7155629856213181,0.2844370143786818,0.7299626046609813
historical_development,RXC J0032.1+1808,0.48895090293890936,87,0.365681792123978,0.634318207876022,0.6335423382410145
historical_development,RXC J0142.9+4438,0.24895123344281087,77,0.6535487544650339,0.3464512455349661,0.7410146111819556
historical_development,RXC J0600.1-2007,0.24429315448486055,65,0.6758422947832237,0.32415770521677634,0.6896043017162015
historical_development,A2537,0.40044014087035573,97,0.5550392453623896,0.4449607546376105,0.6831547093631777
historical_development,MACS J0417,0.29437961349143615,74,0.43782323207451856,0.5621767679254814,0.648136140501586
historical_development,MACS J0949,0.22945100750913636,70,0.6203826905434546,0.3796173094565453,0.73443976005994
P0573_variant_validation,RXC J2211.7-0350,0.17917269130476346,82,0.6468297096891734,0.3531702903108266,0.7850036495256074
P0573_variant_validation,SMACS J0723.3-7327,0.4206899171902813,41,0.5731175767242316,0.4268824232757684,0.6762863197088267
P0573_variant_validation,SPT-CL J0615-5746,0.5389205379241456,74,0.6005702652431855,0.3994297347568146,0.6560802326188193
