system_label,variant_id,source_family,source_redshift,root_index,root_x_arcsec,root_y_arcsec,root_radius_arcsec,closure_arcsec,signed_jacobian_determinant,signed_magnification,parity,assigned,assigned_image_id,relative_to_faintest_assigned_abs_magnification,potentially_observable_surplus
RXJ2129,source_routing_P0690,1,0.6786,0,-4.144024003614847,0.0017739047641845585,4.14402438328663,0.0,0.8055421698282756,1.2413999383957497,positive,True,1b,1.0,False
RXJ2129,source_routing_P0690,1,0.6786,1,-7.133530525266769,-22.48174749070021,23.586356818943404,4.440892098500626e-16,0.28611242666198944,3.49512956031578,positive,True,1c,2.8154742498477208,False
RXJ2129,source_routing_P0690,1,0.6786,2,-6.218671779518803,4.2424986418775354,7.527992655928689,4.440892098500626e-16,-0.23292254164760384,-4.293272746065655,negative,True,1a,3.458412243530327,False
RXJ2129,source_routing_P0690,2,0.916,0,-7.436580124721911,12.572751665986642,14.607423058362444,4.440892098500626e-16,-0.06514524837140345,-15.350313722020683,negative,True,2a,45.99641551936054,False
RXJ2129,source_routing_P0690,2,0.916,1,-3.5190040638885063,13.636413376147209,14.083151613429088,4.440892098500626e-16,0.05098048114098097,19.61535037762019,positive,False,,58.776375705766064,True
RXJ2129,source_routing_P0690,2,0.916,2,-2.3674564394039104,-3.3735697404174134,4.121386027289248,4.440892098500626e-16,2.996447913203019,0.3337284775062422,positive,True,2b,1.0,False
RXJ2129,source_routing_P0690,2,0.916,3,-24.96679169953184,-10.814726204871043,27.20843601999454,6.280369834735101e-16,0.1696997168990137,5.8927617457080865,positive,False,,17.657353635929574,True
RXJ2129,source_routing_P0690,2,0.916,4,7.250381156655829,-9.820817436074863,12.207230727298553,6.280369834735101e-16,-0.2544815351220603,-3.929558187867568,negative,True,2c,11.77471643184561,False
RXJ2129,source_routing_P0690,3,1.5194,0,0.7569670252542164,5.527551866605917,5.579142292085834,0.0,-0.23074768429580178,-4.333737966003041,negative,True,3b,3.8685411426213188,False
RXJ2129,source_routing_P0690,3,1.5194,1,-0.9750857681116774,1.1341963380098312,1.495725104532531,8.881784197001252e-16,0.8926569102629045,1.120251228106755,positive,True,3c,1.0,False
RXJ2129,source_routing_P0690,3,1.5194,2,-25.12521417237253,-28.911876945605425,38.30369454407003,1.7763568394002505e-15,0.5101859550725686,1.9600696374673046,positive,True,3d,1.7496697064816953,False
RXJ2129,source_routing_P0690,4,1.5202,0,-2.118097706226752,1.0766167598941425,2.376013792217543,0.0,1.2056906378147754,0.8294001534360635,positive,True,4b,1.0,False
RXJ2129,source_routing_P0690,4,1.5202,1,-1.553247819030966,6.564039529030556,6.745309016346111,0.0,-0.2750594265321182,-3.6355780007533456,negative,True,4a,4.383382358553667,False
RXJ2129,source_routing_P0690,4,1.5202,2,-22.29907686083518,-29.667203928571272,37.11322968679591,2.6645352591003757e-15,0.5337805564743769,1.8734290484558012,positive,True,4c,2.2587758643334026,False
RXJ2129,source_routing_P0690,5,1.521,0,4.079563929166757,12.911526616371424,13.540692796804239,0.0,-0.06531855047519207,-15.30958652212895,negative,True,5a,61.08554311357781,False
RXJ2129,source_routing_P0690,5,1.521,1,6.573575176414333,12.265835829442809,13.916271741914704,0.0,0.05603878672604581,17.844783201475312,positive,False,,71.2010263654453,True
RXJ2129,source_routing_P0690,5,1.521,2,13.474938516645773,1.499254942267044,13.558087380205807,8.881784197001252e-16,-0.10120643361050236,-9.880794770899113,negative,True,5b,39.424560167039644,False
RXJ2129,source_routing_P0690,5,1.521,3,-1.99125785247004,-1.9889243301209827,2.814414295367829,1.7763568394002505e-15,3.990019131168754,0.2506253647227703,positive,True,5c,1.0,False
RXJ2129,source_routing_P0690,5,1.521,4,-26.254146109754203,-22.35565949054657,34.48268694880935,1.9860273225978185e-15,0.2748109631062102,3.6388650172355583,positive,False,,14.519141034510595,True
RXJ2129,source_routing_P0690,6,3.0815,0,-3.637351255395985,22.0597347787546,22.357598767849062,4.440892098500626e-16,0.1502012013913863,6.657736361204284,positive,True,6a,10.127943923802412,False
RXJ2129,source_routing_P0690,6,3.0815,1,-0.7771901696259716,-6.444427553188087,6.491122479822194,4.440892098500626e-16,1.5212293449797132,0.6573630750025636,positive,True,6b,1.0,False
RXJ2129,source_routing_P0690,6,3.0815,2,1.7860782724281656,-9.66338479094344,9.827058624689126,4.440892098500626e-16,-0.53370471214316,-1.8736952798943283,negative,True,6c,2.8503202433252297,False
RXJ2129,source_routing_P0690,7,3.427,0,-9.895353716295274,7.125260895348364,12.193742985538906,1.1102230246251565e-16,-0.5606321063718731,-1.783700913013158,negative,True,7a,4.964248326510851,False
RXJ2129,source_routing_P0690,7,3.427,1,-4.796547696417845,-0.32985276900478,4.807876106268906,9.992007221626409e-16,2.7831169958448245,0.3593093648211676,positive,True,7b,1.0,False
RXJ2129,source_routing_P0690,7,3.427,2,-13.552274567063161,-30.595031209551614,33.46221870489918,1.6653345369377348e-15,0.3561449925199468,2.807845178235919,positive,True,7c,7.814561637249326,False
