system_label,variant_id,gamma,training_images,heldout_images,training_RMS_arcsec,training_roots_converged,heldout_RMS_arcsec,heldout_roots_converged,optimizer_cost
MACS0329,P0599_no_route,,20,3,inf,19,21.885875461772617,3,1171.766376224502
MACS0329,gas_route_gamma0,0.0,20,3,inf,19,22.106392474530825,3,1171.904684309756
MACS0329,gas_route_gamma1,1.0,20,3,inf,19,21.940365058425726,3,1171.9841218253998
MACS0429,P0599_no_route,,5,2,3.0808325530527267,5,16.932273704251358,2,88.68855835484635
MACS0429,gas_route_gamma0,0.0,5,2,3.0714806493590188,5,9.945167568064564,2,88.29311848398434
MACS0429,gas_route_gamma1,1.0,5,2,3.0722384061357877,5,9.970762393100564,2,88.30026889790847
MACS1115,P0599_no_route,,4,2,0.10846924124074332,4,24.624357669497815,2,0.812137375359162
MACS1115,gas_route_gamma0,0.0,4,2,0.10852449001282927,4,24.624422974824217,2,0.8121167553483972
MACS1115,gas_route_gamma1,1.0,4,2,0.10841751543833185,4,24.62440097897349,2,0.812073695831302
MACS1931,P0599_no_route,,15,4,0.959009631201659,15,inf,3,29.356439578525794
MACS1931,gas_route_gamma0,0.0,15,4,0.9597320966614108,15,inf,3,29.378988554544883
MACS1931,gas_route_gamma1,1.0,15,4,0.9602231228726462,15,inf,3,29.405529353623656
