system_label,variant,width_over_R80,route_fraction_multiplier,contrast_cap,return_length_over_R80,gate_mode,contrast_mode,R50_kpc,R80_kpc,concentration_R50_over_R80,extent_gate,effective_route_fraction,return_length_kpc,endpoint_width_kpc,route_map_normalization_error,route_centroid_x_arcsec,route_centroid_y_arcsec,travel_mode,sources_crossing_center,source_weight_crossing_center,maximum_travel_arcsec,median_travel_arcsec,maximum_carrier_weighted_annular_mean_error,minimum_light_weight,maximum_light_weight,empty_annuli,contrast_strength,minimum_light_weight_after_strength,maximum_light_weight_after_strength,grid_spacing_arcsec,carrier_convergence_minimum,carrier_convergence_maximum,maximum_annular_convergence_mean_fraction,delta_convergence_minimum,delta_convergence_maximum,raw_correction_RMS_arcsec,raw_correction_maximum_arcsec,maximum_independent_circular_mean_deflection_arcsec,normalized_curl_RMS,maximum_edge_correction_arcsec,maximum_edge_delta_convergence
MACS0329,eta0p18_q0p5_A5p0,0.18,0.5,5.0,0.36,cluster_logistic,tanh,196.85047455638187,244.14229945401135,0.8062940137641419,0.6799536629353456,0.3399768314676728,87.89122780344408,43.94561390172204,0.0,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838243,15.114300602838242,3.5939367118005426e-16,0.0,579.1219283297489,127.0,1.0,0.0,579.1219283297489,1.0,0.005025401364310198,2.006153940456033,8.73628334686501e-17,-0.24051044972080637,10.148992661461136,0.5847799712456095,6.961203589935093,0.0005098842266981762,3.1876321798588014e-17,0.1711494226885672,0.0
MACS0329,eta0p18_q0p5_A10p0,0.18,0.5,10.0,0.36,cluster_logistic,tanh,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.3399768314676732,87.89122780344398,43.94561390172199,0.0,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838227,15.114300602838224,4.4271292520839557e-16,0.0,579.1219283297489,127.0,1.0,0.0,579.1219283297489,1.0,0.005025401364310198,2.006153940456033,1.1856883110942076e-16,-0.24317855670272817,10.148992661461136,0.6087867393888635,7.4444298576940655,0.000519194857621641,3.1078127913235863e-17,0.18064003768080808,0.0
MACS0329,eta0p18_q0p5_A20p0,0.18,0.5,20.0,0.36,cluster_logistic,tanh,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.3399768314676732,87.89122780344398,43.94561390172199,0.0,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838227,15.114300602838224,4.029565404140002e-16,0.0,579.1219283297489,127.0,1.0,0.0,579.1219283297489,1.0,0.005025401364310198,2.006153940456033,2.6306039662638615e-16,-0.24385775080057737,10.148992661461136,0.6232974427434443,7.978677734985229,0.0005215568995898812,2.966537757137186e-17,0.1880010571402581,0.0
MACS0329,eta0p18_q0p75_A5p0,0.18,0.75,5.0,0.36,cluster_logistic,tanh,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.5099652472015098,87.89122780344398,43.94561390172199,0.0,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838227,15.114300602838224,3.8350180027455657e-16,0.0,579.1219283297489,127.0,1.0,0.0,579.1219283297489,1.0,0.005025401364310198,2.006153940456033,1.3153019831319308e-16,-0.275518530690114,10.148992661461136,0.6459298348052851,7.794960864217165,0.00039057657209362606,3.0640863890428034e-17,0.18307478520343842,0.0
MACS0329,eta0p18_q0p75_A10p0,0.18,0.75,10.0,0.36,cluster_logistic,tanh,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.5099652472015098,87.89122780344398,43.94561390172199,0.0,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838227,15.114300602838224,4.1761988491318294e-16,0.0,579.1219283297489,127.0,1.0,0.0,579.1219283297489,1.0,0.005025401364310198,2.006153940456033,1.2061038506022106e-16,-0.27917751278479674,10.148992661461136,0.6714479010346117,8.02194405478204,0.00039500059328756443,3.20317428859183e-17,0.19309110882584601,0.0
MACS0329,eta0p18_q0p75_A20p0,0.18,0.75,20.0,0.36,cluster_logistic,tanh,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.5099652472015098,87.89122780344398,43.94561390172199,0.0,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838227,15.114300602838224,2.683281884446521e-16,0.0,579.1219283297489,127.0,1.0,0.0,579.1219283297489,1.0,0.005025401364310198,2.006153940456033,1.753735977509241e-16,-0.28011316194427743,10.148992661461136,0.6858478706672155,8.100120409406385,0.00039609589796052447,3.3498547745964505e-17,0.20058436630448392,0.0
MACS0329,eta0p18_q1p0_A5p0,0.18,1.0,5.0,0.36,cluster_logistic,tanh,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,43.94561390172199,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838227,15.114300602838224,5.184648769583222e-16,0.0,579.1219283297489,127.0,1.0,0.0,579.1219283297489,1.0,0.005025401364310198,2.006153940456033,2.1921699718865513e-16,-0.3143659703795205,10.148992661461136,0.6996763716957112,9.177221549082303,0.0002707473962439977,3.175188284232165e-17,0.19299323960626438,0.0
MACS0329,eta0p18_q1p0_A10p0,0.18,1.0,10.0,0.36,cluster_logistic,tanh,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,43.94561390172199,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838227,15.114300602838224,4.757516256962175e-16,0.0,579.1219283297489,127.0,1.0,0.0,579.1219283297489,1.0,0.005025401364310198,2.006153940456033,8.73628334686501e-17,-0.31907241193014707,10.148992661461136,0.726524016007843,9.44741555673443,0.00026926755210421316,3.307859310719351e-17,0.2034191914522244,0.0
MACS0329,eta0p18_q1p0_A20p0,0.18,1.0,20.0,0.36,cluster_logistic,tanh,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.6799536629353464,87.89122780344398,43.94561390172199,2.220446049250313e-16,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838227,15.114300602838224,3.3545525725443613e-16,0.0,579.1219283297489,127.0,1.0,0.0,579.1219283297489,1.0,0.005025401364310198,2.006153940456033,1.753735977509241e-16,-0.32027868117416214,10.148992661461136,0.7409100617225465,9.537306411000085,0.00026882329723676435,3.0838517148964596e-17,0.2110164657121213,0.0
MACS0329,eta0p23_q0p5_A5p0,0.23,0.5,5.0,0.36,cluster_logistic,tanh,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.3399768314676732,87.89122780344398,56.15272887442255,0.0,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838227,15.114300602838224,3.76780939573694e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,9.076725822300668e-17,-0.1653488964570835,9.498793648695539,0.5882821961214096,7.068795287834551,0.0003004802876457324,2.936295239833807e-17,0.20455774934315474,0.0
MACS0329,eta0p23_q0p5_A10p0,0.23,0.5,10.0,0.36,cluster_logistic,tanh,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.3399768314676732,87.89122780344398,56.15272887442255,0.0,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838227,15.114300602838224,4.0516339726961755e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,1.3813162757773683e-16,-0.16776613520905342,9.498793648695539,0.6104346004031518,7.447656730442468,0.0003058184439996836,2.880575895479471e-17,0.2144945971389915,0.0
MACS0329,eta0p23_q0p5_A20p0,0.23,0.5,20.0,0.36,cluster_logistic,tanh,196.85047455638184,244.14229945401107,0.8062940137641427,0.6799536629353464,0.3399768314676732,87.89122780344398,56.15272887442255,0.0,-5.784383691089486,-0.9285945012749977,constant,18,0.20954906403913848,15.114300602838227,15.114300602838224,2.904216838310922e-16,0.0,648.3319643396092,114.0,1.0,0.0,648.3319643396092,1.0,0.005025401364310198,2.006153940456033,8.975225904252931e-17,-0.16838043567402544,9.498793648695539,0.624242541741913,7.951899113886391,0.0003071717899574278,2.948203608744759e-17,0.22169886095089114,0.0
