system_label,variant,width_over_R80,route_fraction_multiplier,contrast_cap,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec
MACS0329,eta0p18_q0p5_A5p0,0.18,0.5,5.0,3,3,True,20.49145256504914
MACS0329,eta0p18_q0p5_A10p0,0.18,0.5,10.0,3,3,True,20.642434094197295
MACS0329,eta0p18_q0p5_A20p0,0.18,0.5,20.0,3,3,True,20.73279061511654
MACS0329,eta0p18_q0p75_A5p0,0.18,0.75,5.0,3,3,True,21.087662901632083
MACS0329,eta0p18_q0p75_A10p0,0.18,0.75,10.0,3,3,True,21.65324314591992
MACS0329,eta0p18_q0p75_A20p0,0.18,0.75,20.0,3,3,True,22.29809525505163
MACS0329,eta0p18_q1p0_A5p0,0.18,1.0,5.0,3,2,False,inf
MACS0329,eta0p18_q1p0_A10p0,0.18,1.0,10.0,3,2,False,inf
MACS0329,eta0p18_q1p0_A20p0,0.18,1.0,20.0,3,2,False,inf
MACS0329,eta0p23_q0p5_A5p0,0.23,0.5,5.0,3,3,True,21.512797097759094
MACS0329,eta0p23_q0p5_A10p0,0.23,0.5,10.0,3,3,True,21.520919370414074
MACS0329,eta0p23_q0p5_A20p0,0.23,0.5,20.0,3,3,True,21.54859196852238
MACS0329,eta0p23_q0p75_A5p0,0.23,0.75,5.0,3,3,True,21.447155594806244
MACS0329,eta0p23_q0p75_A10p0,0.23,0.75,10.0,3,3,True,21.5211872033933
MACS0329,eta0p23_q0p75_A20p0,0.23,0.75,20.0,3,3,True,21.58262272240623
MACS0329,eta0p23_q1p0_A5p0,0.23,1.0,5.0,3,3,True,21.294219395265962
MACS0329,eta0p23_q1p0_A10p0,0.23,1.0,10.0,3,3,True,22.152796401746656
MACS0329,eta0p23_q1p0_A20p0,0.23,1.0,20.0,3,3,True,22.592446745866322
MACS0329,eta0p28_q0p5_A5p0,0.28,0.5,5.0,3,3,True,21.740093926129585
MACS0329,eta0p28_q0p5_A10p0,0.28,0.5,10.0,3,3,True,21.73203216135553
MACS0329,eta0p28_q0p5_A20p0,0.28,0.5,20.0,3,3,True,21.746701306510655
MACS0329,eta0p28_q0p75_A5p0,0.28,0.75,5.0,3,3,True,21.679071534419833
MACS0329,eta0p28_q0p75_A10p0,0.28,0.75,10.0,3,3,True,21.689820077166026
MACS0329,eta0p28_q0p75_A20p0,0.28,0.75,20.0,3,3,True,21.71244353339736
MACS0329,eta0p28_q1p0_A5p0,0.28,1.0,5.0,3,3,True,21.72146246259499
MACS0329,eta0p28_q1p0_A10p0,0.28,1.0,10.0,3,3,True,21.772439952702758
MACS0329,eta0p28_q1p0_A20p0,0.28,1.0,20.0,3,3,True,21.817519951509496
MACS0429,eta0p18_q0p5_A5p0,0.18,0.5,5.0,2,2,True,15.35058860756614
MACS0429,eta0p18_q0p5_A10p0,0.18,0.5,10.0,2,2,True,14.951485441076558
MACS0429,eta0p18_q0p5_A20p0,0.18,0.5,20.0,2,2,True,15.403185911409471
MACS0429,eta0p18_q0p75_A5p0,0.18,0.75,5.0,2,2,True,14.982178872432858
MACS0429,eta0p18_q0p75_A10p0,0.18,0.75,10.0,2,2,True,28.847445252159403
MACS0429,eta0p18_q0p75_A20p0,0.18,0.75,20.0,2,2,True,28.869062989370416
MACS0429,eta0p18_q1p0_A5p0,0.18,1.0,5.0,2,2,True,15.407097580525681
MACS0429,eta0p18_q1p0_A10p0,0.18,1.0,10.0,2,2,True,15.430401639045412
