coordinate,impact_label,quantitative_evidence,transfer_evidence,main_limit
angular_phase,largest new raw-lens response,+90 deg: 1.685% mean; 8.241% RXJ2129,A383 +0.174% vs radial -0.442%,only 3/5 opened-data systems improve; A383 remains 9.081 arcsec RMS
spatial_width,most recurrent cross-stage coordinate,P0612 priority 3.046; local response span 0.256 percentage points,mild widening participates in the A383 tangential transfer,aggressive linear widening loses a raw image root
width_return_coupling,largest support-law interaction,local mean-response span 0.289 percentage points,not independently transferred apart from the frozen widened +90 law,changes magnitude but not the cluster-dependent sign
routed_fraction_or_strength,most explosive and destructive coordinate,root-count span 1.111; SPARC span 0.305 km/s,large independent route strengths failed RXJ2129 transfer,route-only galaxy RMSE is 6.854x fixed RAR
amplitude_functional_form,root-safety regulator,Q^2 law: 0.105% four-cluster and 0.826% RXJ2129 at fixed geometry,radial A383 transfer -0.442%,linear Q loses a root; Q^2 radial gain did not transfer
return_length,moderate support coordinate,local mean-response span 0.228 percentage points; RX span 2.052,fixed at 0.36 R80 in the A383 transfer,no tested law resolves all five response signs
center_crossing_rule,low local leverage,local mean-response span 0.095 percentage points,not selected for transfer,"smaller effect than width, return length, or phase"
contrast_cap,interaction-only topology control,main root span 0.000; SPARC span 0.000 km/s,tanh cap 20 retained for numerical safety,near-zero marginal effect in the bounded factorial
