model,training_RMS_arcsec,training_roots_converged,heldout_RMS_arcsec,heldout_roots_converged,optimizer_cost,nuisance_parameters_near_bound
scalar_absolute_AQUAL,7.0869075004738,15,17.83733584047062,7,6201.196216239036,4
compound_absolute_P0673,7.098669971366944,15,17.82661325806193,7,6495.609361974136,3
