name,n_points,bulge_frac,R_d,rms_baseline,rms_wake,improvement,C_wake_inner,C_wake_outer
CamB,9,0.0,0.47,15.800205930985168,15.644269236714791,0.009869282397425905,0.6694617085712141,0.9999997753235402
D564-8,6,0.0,0.61,7.428794914074924,6.876301047787194,0.07437193685895815,0.6846662579502526,0.9999999945122837
D631-7,16,0.0,0.7,10.983376199392247,10.499154623461207,0.04408676959984614,0.8204644845031777,1.0
DDO064,14,0.0,0.69,4.024273574281053,4.2052236666370195,-0.04496465983635156,0.7242217436337721,0.9999999976335281
DDO154,12,0.0,0.37,5.549423446420993,5.132020519157272,0.07521554829861077,0.826668969626165,1.0
DDO161,31,0.0,1.22,20.286042678221285,20.053367945533967,0.011469695513216749,0.7992322043110336,1.0
DDO168,10,0.0,1.02,7.693014237699776,7.288547986930335,0.05257578346694669,0.7386399672852648,0.9999999777676291
DDO170,8,0.0,1.95,15.890690474379431,15.547280416678147,0.02161077004520129,0.7295901158032321,0.999999999975541
ESO079-G014,15,0.0,5.08,11.810484113376441,12.04777345640789,-0.020091415453723727,0.743087444413932,0.9999996184788286
ESO116-G012,15,0.0,1.51,7.972431961321583,8.16764822989967,-0.024486413872853774,0.8257628616049552,0.9999999999971207
ESO444-G084,7,0.0,0.46,9.52659860755404,9.906694359031665,-0.03989836951629622,0.653698571178587,0.9999999999999998
ESO563-G021,30,0.0,5.45,49.459547173117,49.314355263596674,0.0029355689208421243,0.8518548200828946,0.9999999999999238
F561-1,6,0.0,2.79,33.28823431873244,32.681147912674284,0.018237266664412166,0.7284657241076693,0.9999993809892739
F563-1,17,0.0,3.52,18.162846712336464,18.387784063812962,-0.012384476675879164,0.7777597238493648,0.9999999997779991
F563-V1,6,0.0,3.79,28.942659855528014,28.583988994113206,0.012392463692182165,0.6978960268890279,0.9999539176886705
F563-V2,10,0.0,2.43,23.42965678697012,23.60361213329857,-0.00742457936580565,0.6237230256425176,0.9999999997883227
F565-V2,7,0.0,2.17,5.924207388281638,6.1623498925677715,-0.04019820520753381,0.6341271458719853,0.9999999699227772
F567-2,5,0.0,3.08,20.076991708922645,19.700246160478176,0.018765039798120497,0.5418982507217224,0.9999993265051803
F568-1,12,0.0,5.18,31.033920268124415,31.21098816236056,-0.00570562444919398,0.713376085036658,0.9999931156292513
F568-3,18,0.0,4.99,8.131065944233296,7.821488164387243,0.0380734558014022,0.7009374618472043,0.9999980904165263
F568-V1,15,0.0,2.85,25.391207841832337,25.503316267060292,-0.004415245857003036,0.804176374662039,0.9999999893877641
F571-8,13,0.0,3.56,24.317173316132322,24.06218107238034,0.010486097230010594,0.696776302066784,0.9999981583073101
F571-V1,7,0.0,2.47,7.498351211597781,6.817597414533778,0.09078713144445316,0.6971361326714873,0.9999999996492605
F574-1,14,0.0,4.46,9.431927984153946,9.594748836925902,-0.017262732820426674,0.7397440018885495,0.999999576039071
F574-2,5,0.0,3.76,39.17790744810589,38.31100448002104,0.02212734228424862,0.36934858230419004,0.9999989345835719
F579-V1,14,0.0,3.37,20.164121749614164,20.554234499758984,-0.01934687535559454,0.8054093908152722,0.9999999854212255
F583-1,25,0.0,2.36,10.47423496271028,10.440859135753975,0.0031864691860673533,0.6997887810149617,0.9999999421869472
F583-4,12,0.0,1.93,6.262976433654427,6.475442822963539,-0.033924187893700664,0.7480630843052292,0.9999999964211274
IC2574,34,0.0,2.78,13.899179559926154,13.597307938757343,0.021718664750483674,0.8032810408785847,0.9999998864734071
IC4202,32,0.7647274633571133,4.78,26.85368775750316,26.377602810004014,0.017728847963018546,0.831697201487805,0.9999999999555997
KK98-251,15,0.0,1.34,10.450813290543865,10.264935245870339,0.017785988468640324,0.6440249927400902,0.999978404585895
NGC0024,29,0.0,1.34,22.469443355038948,22.59508199344967,-0.005591533195794529,0.7961139553919855,0.999996798958851
NGC0055,21,0.0,6.11,16.177037090388968,15.664807080724454,0.03166401899200921,0.810814830346365,0.9999550380881582
NGC0100,21,0.0,1.66,5.0660655543771265,4.796714574886582,0.053167685376242946,0.8352248034618918,0.9999999999952419
NGC0247,26,0.0,3.74,7.143674015806111,7.828151671279331,-0.09581591404629375,0.8681479653541221,0.9999999628917332
NGC0289,28,0.0,6.74,28.106369124199897,28.187737598722332,-0.0028950190671328535,0.951941603783253,0.9999999999999996
NGC0300,25,0.0,1.75,4.48028479891198,4.550784871606906,-0.015735623037188784,0.8966381032911082,0.9999999999899859
NGC0801,13,0.0,8.72,38.00311350652715,38.048056250611005,-0.0011826068955149704,0.7672867291429633,0.9999999999678701
NGC0891,18,0.34509524319509194,2.55,24.05967852302026,24.059452799107877,9.381834099153608e-06,0.9445529026486071,0.9999999999995458
NGC1003,36,0.0,1.61,9.904602602793572,9.724056438860874,0.018228511649904577,0.948086041770234,1.0
NGC1090,24,0.0,3.53,20.01334091760269,19.88195807890486,0.006564762936820512,0.8685692593465176,0.999999999999999
NGC1705,14,0.0,0.39,16.120825940022847,16.30547172798093,-0.011453866485814812,0.9059420921779897,1.0
NGC2366,26,0.0,0.65,12.694459614531251,12.669172071490241,0.0019920141391496227,0.8619612084202143,1.0
NGC2403,73,0.0,1.39,6.179266119710012,6.306676690034789,-0.02061904566925432,0.9166690450248831,1.0
NGC2683,11,0.13397723764833327,2.18,18.998799646696266,19.194045542907283,-0.010276749049509926,0.9240485698681074,1.0
NGC2841,50,0.5252751174687267,3.64,61.07300355747573,61.2337659074414,-0.0026322980793695994,0.9480302156066657,1.0
NGC2903,34,0.0,2.33,22.85507503171502,22.74678667675988,0.00473804416764656,0.8741382579220827,0.9999999999999993
NGC2915,30,0.0,0.55,18.72043343684742,18.477173517221146,0.012994352959128763,0.9083089778797022,1.0
NGC2955,24,0.7100655659077262,18.76,15.886877940682442,15.950537000589934,-0.004007021401258193,0.7925556524079893,0.999742134479528
NGC2976,27,0.0,1.01,3.3340394677448937,2.7439566070977657,0.1769873651334588,0.6907594324465425,0.9999904228946497
NGC2998,13,0.0,6.2,34.20270019902876,34.502587991945525,-0.00876795665756469,0.8048052304447091,0.9999999999971723
NGC3109,25,0.0,1.56,4.106357712903754,4.159562181053705,-0.012956608232829181,0.7915411891872037,0.999999995608466
NGC3198,43,0.0,3.14,12.315534518441801,12.024886996490455,0.02360007367249206,0.8577405672550968,0.9999999999999952
NGC3521,41,0.0,2.4,11.59269992222941,11.634372289031534,-0.0035947076247713206,0.9237274867046478,0.9999978993661112
NGC3726,12,0.0,3.4,24.225066102668688,23.659652749550222,0.023340012808310884,0.8853018916675557,0.9999999999998819
NGC3741,21,0.0,0.2,2.3187119410738326,18.169485119963355,-6.8360251647079435,0.8958264868874627,0.1809247118615285
NGC3769,12,0.0,3.38,15.697516517848163,15.380292066867638,0.020208575708128063,0.9039007315488601,0.9999999999614868
NGC3877,13,0.0,2.53,20.137825031010415,19.324599931936305,0.04038296577817202,0.7702379086910061,0.9999999949927914
NGC3893,10,0.0,2.38,9.50718852935614,9.412632267783648,0.009945764857878125,0.89021457148168,0.9999999999998952
NGC3917,17,0.0,2.63,6.9586699102919605,6.084823638026724,0.1255766236264213,0.8027185796913179,0.9999999999763738
NGC3949,7,0.0,3.59,5.315366236463362,5.470964425909886,-0.02927327723518336,0.7789024896785974,0.9995184610982238
