feature,r_with_rms,p_with_rms,r_with_delta,p_with_delta,n,abs_r_rms
V_max,0.633391647185712,6.689497820902155e-21,0.35715263694065313,1.3133167553436388e-06,174,0.633391647185712
V_flat,0.6238514747218942,3.736948747205431e-20,0.3486137627294138,2.4275390339940657e-06,174,0.6238514747218942
M_bar_est,0.5825122464677346,3.409711884840585e-17,0.23882542163236653,0.0015052446625153841,174,0.5825122464677346
V_bar_outer,0.5446702518962856,7.899432855642904e-15,0.10358945766191219,0.17375013020908836,174,0.5446702518962856
V_bar_max,0.5446494389662351,7.921653417855179e-15,0.1281188295556249,0.09203244221498001,174,0.5446494389662351
R_d,0.5318954546145634,4.27361578056926e-14,0.3181637213826276,1.883042295468075e-05,174,0.5318954546145634
R_max,0.5254549104862087,9.747701064823538e-14,0.30640694718620254,3.9224714657403516e-05,174,0.5254549104862087
V_inner,0.5208450226707978,1.740253078805436e-13,0.2897329210854006,0.00010540481029599683,174,0.5208450226707978
h_mean,-0.4232134055932678,5.952980849164281e-09,-0.05670119652563954,0.45739249532681414,174,0.4232134055932678
gas_fraction_outer,-0.4214077581049535,7.0114821121449144e-09,-0.029978920549138723,0.6945505965882874,174,0.4214077581049535
mean_residual,0.40154269046587404,3.987205132033229e-08,0.8300688164221866,1.7337814465484504e-45,174,0.40154269046587404
bulge_fraction,0.3664272161137556,6.601803971367442e-07,0.07518005666572765,0.3241619339824084,174,0.3664272161137556
R_min,0.3484137139782897,2.4622020354556662e-06,0.178826806937601,0.01822824614993399,174,0.3484137139782897
h_inner,-0.34404459154130995,3.347749786791244e-06,-0.07921826491836023,0.2987755390505388,174,0.34404459154130995
g_mean,0.3193662200208441,1.7438168631623278e-05,0.1172585215397709,0.12333668873812752,174,0.3193662200208441
h_outer,-0.29410428006972544,8.181692694254161e-05,0.048548877838569635,0.5246701309398519,174,0.29410428006972544
n_points,0.26904887539438327,0.0003308780296176213,0.2576760542283756,0.000597750170797386,174,0.26904887539438327
W_outer,0.2579837402782137,0.0005884639157112178,0.15714993064917945,0.038368711779067935,174,0.2579837402782137
g_max,0.24388171741791087,0.0011830211590014117,0.12715228944960746,0.09453260963733974,174,0.24388171741791087
g_inner,0.22972642721884692,0.0022933950362363387,0.1022783533688115,0.17928998793167905,174,0.22972642721884692
g_inner_norm,0.2297264272188469,0.0022933950362363387,0.10227835336881148,0.17928998793167905,174,0.2297264272188469
gas_fraction_inner,-0.22730355178267658,0.0025586951031056934,-0.10569647474586011,0.16511441355413847,174,0.22730355178267658
g_min,0.22156524201018116,0.0033013644007281115,-0.06866885902078465,0.36793989339956357,174,0.22156524201018116
g_range,0.2120937569293591,0.00496061496915547,0.17477519099376923,0.02107664021603603,174,0.2120937569293591
g_outer_norm,0.19535562941469753,0.009786499946557118,-0.0771139783345116,0.3118353773032097,174,0.19535562941469753
g_outer,0.19535562941469747,0.009786499946557118,-0.0771139783345116,0.3118353773032097,174,0.19535562941469747
disk_fraction,0.1565532514239955,0.03911905473013246,0.02666136457334286,0.7269280831605371,174,0.1565532514239955
W_inner,-0.14862679242034493,0.050315052525249426,-0.19370042906320084,0.010438051487777647,174,0.14862679242034493
W_mean,-0.11848108808934313,0.11944727105290093,-0.14230371686512136,0.06105054152452494,174,0.11848108808934313
flatness,-0.11083001998371964,0.1454202466260948,-0.22294719154321002,0.00310659923881116,174,0.11083001998371964
V_ratio_outer_inner,-0.10936371952176847,0.15085412835394882,-0.07900416345089964,0.3000875300614114,174,0.10936371952176847
dV_dR_inner,0.10121483046632195,0.1838785082132189,0.14895904815921604,0.049797338888537455,174,0.10121483046632195
dV_dR_outer,-0.02915919228791326,0.7025021354567021,-0.06905201024745047,0.3652669814137149,174,0.02915919228791326
residual_trend,-0.024000295633638584,0.7532559430949822,-0.17044939316709448,0.024534314338292607,174,0.024000295633638584
