name,rms_sigma,rms_mond,wins,delta_rms,R_d,R_max,R_min,n_points,V_flat,V_max,V_inner,V_bar_max,V_bar_outer,dV_dR_inner,dV_dR_outer,g_inner,g_outer,g_mean,g_min,g_max,g_range,g_inner_norm,g_outer_norm,gas_fraction_inner,gas_fraction_outer,bulge_fraction,disk_fraction,V_ratio_outer_inner,flatness,mean_residual,residual_trend,W_inner,W_outer,W_mean,h_inner,h_outer,h_mean,M_bar_est,rms_quartile,mass_proxy,surface_density_proxy,dynamical_time,acceleration_contrast
CamB,14.601067691679214,15.603007318618458,True,-1.0019396269392438,1.22,1.79,0.16,9,14.7,20.1,1.99,13.845266339077773,13.397187591873944,11.4,10.3125,2.1246860823071936e-12,4.039027795110776e-12,4.775998171333532e-12,2.1246860823071936e-12,6.212417546320547e-12,2.923922549337026,0.022119870945966166,0.04204987001091637,0.3297730879766654,0.34795027504675563,0.0,0.6546714332588429,10.100502512562814,0.21080441895284377,-14.115373140848291,-0.5679428053618572,0.45176169057340093,0.9021408823641774,0.7757857763381003,6.5781969817048145,4.679820197490006,4.4719924735917145,66123790.41207015,Fair,386.80109999999996,145.18274657350173,0.08299319727891157,0.5260389851436814
D512-2,5.5426739087396575,6.543759558134856,True,-1.0010856493951987,2.88,3.83,0.96,4,35.9,37.2,22.9,16.3417043174817,16.305023265809645,11.041666666666668,-1.3684210526315832,4.283715772845106e-12,3.237279475295847e-12,3.498888549683162e-12,2.2594357741269003e-12,4.449827176496005e-12,1.9694417639357436,0.04459728938481062,0.033702957253718135,0.131169397589507,0.20046962755034614,0.0,0.8090435785856387,1.5676855895196506,0.0,-4.688668570769723,-0.9592913410406642,0.6768350624564384,0.8931140180506095,0.809980841862753,4.533116431020824,5.269510042336155,5.207074996695324,237776213.44982064,Best,4936.1422999999995,155.3831500771605,0.08022284122562674,1.3232455849223916
D564-8,5.978652022329951,7.158481513181475,True,-1.1798294908515246,2.04,3.07,0.51,6,21.9,25.0,8.54,9.238011149592753,9.076963429521628,12.862745098039216,1.960784313725491,2.0500997547431156e-12,1.0797243360713915e-12,1.518230990901488e-12,8.319894828172205e-13,2.093791696847242e-12,2.51660837076618,0.021343360969367925,0.011240890204911246,0.3731795683961605,0.5918270316794588,0.0,0.4683601972909851,2.927400468384075,0.16632475294507554,-5.964917471223136,-0.5830902123325234,0.6110154703516573,0.9043572712440517,0.8081678431235385,6.701882742736262,9.327065460091712,8.177474635667878,56255559.10798276,Best,1472.4026999999999,115.24653979238754,0.09315068493150686,1.8987251525722422
D631-7,8.112446296423618,10.481380306840629,True,-2.3689340104170107,4.04,7.19,0.45,16,57.7,58.5,8.41,24.510016319864008,18.8978974672956,20.866666666666667,-0.8888888888889012,8.674303305249515e-12,1.7289189858022119e-12,5.61186725354958e-12,1.499184256235482e-12,1.1866705071889779e-11,7.915441362549791,0.09030720879478384,0.01799958363752593,0.5857543642062244,0.8149335075186672,0.0,0.2687114173640706,6.813317479191438,0.012254883556092671,-5.663314232557606,0.9166866212386717,0.41171617231502794,0.9179130445852483,0.8016702568887955,3.0520377906521055,7.321855776143885,4.659431241387612,556011343.0124298,Best,23937.595100000006,203.980614645623,0.07001733102253033,5.017183208977643
DDO064,3.390162935495769,3.522012240990801,True,-0.13184930549503182,2.08,2.98,0.1,14,46.4,46.9,6.29,25.290333133432625,24.623780651553588,38.050000000000004,0.8196721311475411,2.0865197666882704e-13,7.813780839246605e-12,5.874685504627762e-12,2.0865197666882704e-13,8.974838322692736e-12,43.01343541517281,0.0021722525670819994,0.08134840492601693,1.983071905575399,0.7266503121434079,0.0,0.40728127278498694,7.456279809220986,0.004832101661782972,-0.31245848957620875,-0.7094059170903577,0.23199580241080256,0.900018709073066,0.7348179495648004,21.409299925914013,3.2423495640089754,5.258980783926552,443098521.07372695,Best,6415.8208,497.6331360946745,0.04482758620689656,0.02670307511324377
DDO154,2.6896380946749043,4.433539644725978,True,-1.7439015500510737,3.46,5.92,0.49,12,47.4,48.2,13.8,18.733780985161538,16.932468039106514,15.600000000000001,-3.8775510204081587,5.935670638962003e-12,1.7305636293308226e-12,3.3547058660735632e-12,1.446174747333205e-12,5.935670638962003e-12,4.1043937808398185,0.06179560811591781,0.01801670583873388,0.15584088578267774,0.9247653457274454,0.0,0.18426927513581315,3.2971014492753623,0.020183978894502214,-2.4913647257234373,-0.2068959487877471,0.4708477484409736,0.9148966670060473,0.8030958996695876,3.788613218284583,7.31825269223876,5.5279360933243895,363609352.4127985,Best,13300.819199999998,187.67416218383505,0.0729957805907173,3.42990603659989
DDO161,16.09284379624178,18.513686610093117,True,-2.420842813851337,7.69,13.37,0.6,31,66.6,67.5,16.0,35.34630390861257,30.27278688834986,4.6153846153846265,-0.4255319148936241,6.792312054439403e-12,2.3096681521350605e-12,5.97080210765133e-12,2.098264485884815e-12,1.061470197570632e-11,5.058800759919557,0.07071400679849092,0.024045698740473513,0.36983154092367243,0.895064111518715,0.0,0.2099912542556541,4.13125,0.004187729488028909,-15.167580709757875,-0.7545413894025305,0.32896513102736386,0.9161360989493645,0.7564937073733217,3.5121559611739714,6.297409883074908,4.097030488846638,2690877346.8169184,Fair,59303.43719999999,75.00596082595908,0.11546546546546547,2.940817298000399
DDO168,5.3398528473170455,7.824048223736936,True,-2.4841953764198905,3.3,4.12,0.41,10,52.9,55.0,15.0,25.904295975764327,25.692060136432897,20.487804878048777,-7.317073170731705,1.127414918672842e-11,5.817367943368166e-12,9.493188328647471e-12,5.120966359191841e-12,1.6084607116323916e-11,3.1409320015260342,0.11737391566343659,0.060563971884623834,0.7596926124784696,0.7833807951867301,0.0,0.21980321496062835,3.466666666666667,0.02430797656235525,-4.106241335711151,0.41152424543592664,0.43840359355158487,0.8869348933979617,0.7601196108640845,2.6122556344592343,3.831386420769515,3.0501424817294303,623615947.8296349,Best,11529.4492,256.97061524334254,0.062381852551984876,1.9380154902495066
DDO170,12.845754596544754,14.338052654109765,True,-1.4922980575650104,7.85,12.33,1.87,8,59.0,62.2,27.7,30.221086181671236,28.788376793547695,9.865771812080538,1.4666666666666686,4.172378448816634e-12,2.54126435437746e-12,3.4707911002628243e-12,1.9254999555851996e-12,4.172378448816634e-12,2.166906541188967,0.043438168863672404,0.026456821093011743,0.31290912530481596,0.8422557403026982,0.0,0.2398004271585824,2.245487364620939,0.03624579232044462,-11.367896307748135,-0.9226256594957177,0.5994807336473666,0.9079952425342267,0.8136008615469345,4.598302375441129,5.9894988334218295,5.213264421750461,2100102655.8055363,Good,42920.73,56.48910706316687,0.1330508474576271,1.6418514042545378
ESO079-G014,15.3395931895712,11.589833205187102,False,3.7497599843840987,13.36,16.67,0.41,15,175.0,178.0,33.2,100.76512318257741,98.8479043286132,30.17543859649122,0.6211180124223598,3.350578932393342e-11,2.1308398400065187e-11,2.829280941114886e-11,1.8186874387922158e-11,3.810255994815296e-11,2.0950581796208336,0.34882505324425683,0.2218393703425814,0.011520860433082545,0.1536040806163634,0.0,0.9157440888884603,5.361445783132529,0.03207034183800243,12.292711541848082,0.3396579067452156,0.16165216143971395,0.8868761988275448,0.6740416365048977,1.255279803487846,1.737667078401823,1.4545978539420046,36257689452.86213,Fair,510518.75000000006,171.57862418874825,0.07634285714285714,1.5724217604186959
