galaxy,rms_base,rms_formula_mass,delta
NGC6015,42.6102280592021,87.06815487497377,44.45792681577167
NGC2915,48.67405553769961,88.07277851062551,39.3987229729259
NGC5985,40.79840930344115,79.22832387295364,38.42991456951249
UGC03205,30.67847409380547,62.969076483440446,32.29060238963498
NGC4013,39.27064458383943,70.26858494131993,30.997940357480502
NGC2841,84.15161804240093,111.42750499313712,27.275886950736194
NGC1003,48.097782870857365,71.44727171564686,23.349488844789498
NGC0024,20.735134251347343,43.84810973611581,23.112975484768466
NGC3741,25.04358426396026,48.0582449060445,23.01466064208424
NGC4100,28.52626487423136,50.55630804418928,22.03004316995792
