galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
NGC3949,ok,7,2.8271,0.8579,2.566191329631375,0.8579,sigma_power,constant,False,31.91970255462947
NGC3953,ok,8,2.8271,0.8579,2.9342896527298885,0.8579,sigma_power,constant,False,18.26639069797791
NGC3972,ok,10,2.8271,0.8579,2.2498861887038397,0.8579,sigma_power,constant,False,13.25501589146865
NGC3992,ok,9,2.8271,0.8579,3.081128737669084,0.8579,sigma_power,constant,False,48.787532837758185
NGC4010,ok,12,2.8271,0.8579,2.2930657756668493,0.8579,sigma_power,constant,False,11.719682820608528
NGC4013,ok,36,2.8271,0.8579,2.698343118341774,0.8579,sigma_power,constant,False,39.27077070484997
NGC4051,ok,7,2.8271,0.8579,2.5398364094062127,0.8579,sigma_power,constant,False,29.682131008832762
NGC4068,ok,6,2.8271,0.8579,1.2586339522813481,0.8579,sigma_power,constant,False,5.451735153218275
NGC4085,ok,7,2.8271,0.8579,2.357494350757119,0.8579,sigma_power,constant,False,33.53583468853068
NGC4088,ok,12,2.8271,0.8579,2.66467846482765,0.8579,sigma_power,constant,False,50.78966686170323
NGC4100,ok,24,2.8271,0.8579,2.6584887208960684,0.8579,sigma_power,constant,False,28.5838651619686
NGC4138,ok,7,2.8271,0.8579,2.598574534572908,0.8579,sigma_power,constant,False,31.298422223590254
NGC4157,ok,17,2.8271,0.8579,2.7373335511084695,0.8579,sigma_power,constant,False,40.00853929761737
NGC4183,ok,23,2.8271,0.8579,2.2258005551446938,0.8579,sigma_power,constant,False,30.517701166954385
NGC4214,ok,14,2.8271,0.8579,1.9605692137986213,0.8579,sigma_power,constant,False,32.34745577704535
NGC4217,ok,19,2.8271,0.8579,2.7373335511084695,0.8579,sigma_power,constant,False,64.40439463879278
NGC4389,ok,6,2.8271,0.8579,1.923325496665517,0.8579,sigma_power,constant,False,57.39781645079807
NGC4559,ok,32,2.8271,0.8579,2.319920510897467,0.8579,sigma_power,constant,False,23.869274502034884
NGC5005,ok,18,2.8271,0.8579,3.1591536072421302,0.8579,sigma_power,constant,False,57.02955192190641
NGC5033,ok,22,2.8271,0.8579,2.8129111355901353,0.8579,sigma_power,constant,False,60.84636976295256
NGC5055,ok,28,2.8271,0.8579,2.7074157653864463,0.8579,sigma_power,constant,False,58.2632221340033
NGC5371,ok,19,2.8271,0.8579,2.899218943640513,0.8579,sigma_power,constant,False,35.62745617971017
NGC5585,ok,24,2.8271,0.8579,2.051837464013833,0.8579,sigma_power,constant,False,23.220710322081477
NGC5907,ok,19,2.8271,0.8579,2.912782670616454,0.8579,sigma_power,constant,False,42.00402219499372
