galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
CamB,ok,9,2.8271,0.8579,9.05279257736813,0.8579,sigma_power,constant,False,4.45210905671748
D564-8,ok,6,2.8271,0.8579,6.984104761183453,0.8579,sigma_power,constant,False,9.24906216729536
D631-7,ok,16,2.8271,0.8579,4.714233511911105,0.8579,sigma_power,constant,False,24.545272417890715
DDO064,ok,14,2.8271,0.8579,5.122780355452198,0.8579,sigma_power,constant,False,8.129007404892578
DDO154,ok,12,2.8271,0.8579,5.131865325344592,0.8579,sigma_power,constant,False,22.592363286981076
DDO161,ok,31,2.8271,0.8579,4.39293902046465,0.8579,sigma_power,constant,False,21.255759477836364
DDO168,ok,10,2.8271,0.8579,5.003301494981933,0.8579,sigma_power,constant,False,16.481936792893073
DDO170,ok,8,2.8271,0.8579,4.667654752564739,0.8579,sigma_power,constant,False,24.078318551403108
ESO079-G014,ok,15,2.8271,0.8579,3.10271197770022,0.8579,sigma_power,constant,False,7.632931732169059
ESO116-G012,ok,15,2.8271,0.8579,3.6106157609516805,0.8579,sigma_power,constant,False,30.49923133738574
ESO444-G084,ok,7,2.8271,0.8579,4.816145510899499,0.8579,sigma_power,constant,False,30.362607758285964
ESO563-G021,ok,30,2.8271,0.8579,2.3649020633046307,0.8579,sigma_power,constant,False,57.93923841021748
F561-1,ok,6,2.8271,0.8579,5.030662423831288,0.8579,sigma_power,constant,False,4.151914409328485
F563-1,ok,17,2.8271,0.8579,3.641007666414179,0.8579,sigma_power,constant,False,56.28919939705855
F563-V1,ok,6,2.8271,0.8579,6.211556558326219,0.8579,sigma_power,constant,False,1.5528864771231206
F563-V2,ok,10,2.8271,0.8579,3.6879669374562187,0.8579,sigma_power,constant,False,40.39889675282922
F565-V2,ok,7,2.8271,0.8579,4.339872196140857,0.8579,sigma_power,constant,False,36.55506316775513
F568-1,ok,12,2.8271,0.8579,3.4622494113455415,0.8579,sigma_power,constant,False,44.18230729559973
F568-3,ok,18,2.8271,0.8579,3.7862778539864794,0.8579,sigma_power,constant,False,21.72367566154502
F568-V1,ok,15,2.8271,0.8579,3.5650527463757915,0.8579,sigma_power,constant,False,46.12512552956181
F571-8,ok,13,2.8271,0.8579,3.5399019128749143,0.8579,sigma_power,constant,False,46.46974385733765
F571-V1,ok,7,2.8271,0.8579,4.141492496000255,0.8579,sigma_power,constant,False,32.398097278947205
F574-1,ok,14,2.8271,0.8579,3.799721972399078,0.8579,sigma_power,constant,False,24.755023101407627
F579-V1,ok,14,2.8271,0.8579,3.5778652274387004,0.8579,sigma_power,constant,False,15.782112519587209
F583-1,ok,25,2.8271,0.8579,4.179752509125424,0.8579,sigma_power,constant,False,28.00118826213856
F583-4,ok,12,2.8271,0.8579,4.551889776836268,0.8579,sigma_power,constant,False,13.364897202221432
IC2574,ok,34,2.8271,0.8579,4.504839609906384,0.8579,sigma_power,constant,False,16.891597921042674
IC4202,ok,32,2.8271,0.8579,2.610942083591537,0.8579,sigma_power,constant,False,33.13540008709275
KK98-251,ok,15,2.8271,0.8579,6.13756597795657,0.8579,sigma_power,constant,False,4.146623124243765
NGC0024,ok,29,2.8271,0.8579,3.637586469257977,0.8579,sigma_power,constant,False,20.60763174020912
NGC0055,ok,21,2.8271,0.8579,3.966975491717887,0.8579,sigma_power,constant,False,17.67501167639987
NGC0100,ok,21,2.8271,0.8579,3.974401688639568,0.8579,sigma_power,constant,False,24.244378219365025
NGC0247,ok,26,2.8271,0.8579,3.658284266398405,0.8579,sigma_power,constant,False,25.113371914736437
NGC0289,ok,28,2.8271,0.8579,3.0169881217780414,0.8579,sigma_power,constant,False,55.62299008161513
NGC0300,ok,25,2.8271,0.8579,3.837779557320529,0.8579,sigma_power,constant,False,33.54449820872353
NGC0801,ok,13,2.8271,0.8579,2.716415872046476,0.8579,sigma_power,constant,False,37.65179848155928
NGC0891,ok,18,2.8271,0.8579,2.726311797786541,0.8579,sigma_power,constant,False,69.84124965435068
NGC1003,ok,36,2.8271,0.8579,3.5778652274387004,0.8579,sigma_power,constant,False,48.07047354992663
NGC1090,ok,24,2.8271,0.8579,3.0606638190346684,0.8579,sigma_power,constant,False,25.477135820443312
NGC1705,ok,14,2.8271,0.8579,4.266097257218925,0.8579,sigma_power,constant,False,36.47462439587292
NGC2366,ok,26,2.8271,0.8579,4.891112858687351,0.8579,sigma_power,constant,False,15.945961756799253
NGC2403,ok,73,2.8271,0.8579,3.3133266611980345,0.8579,sigma_power,constant,False,37.14292400893254
NGC2683,ok,11,2.8271,0.8579,3.013446014419961,0.8579,sigma_power,constant,False,33.0325296437676
NGC2841,ok,50,2.8271,0.8579,2.4553887437380832,0.8579,sigma_power,constant,False,84.3014920761024
NGC2903,ok,34,2.8271,0.8579,2.926164528620785,0.8579,sigma_power,constant,False,61.42657801007169
NGC2915,ok,30,2.8271,0.8579,4.0366017673245445,0.8579,sigma_power,constant,False,48.604127152287674
NGC2955,ok,24,2.8271,0.8579,2.511032055319223,0.8579,sigma_power,constant,False,43.90921670521304
NGC2976,ok,27,2.8271,0.8579,4.1138501110441625,0.8579,sigma_power,constant,False,3.200077542212936
NGC2998,ok,13,2.8271,0.8579,2.759367819387668,0.8579,sigma_power,constant,False,29.588592142703206
NGC3109,ok,25,2.8271,0.8579,4.472053051584456,0.8579,sigma_power,constant,False,28.954249834056682
NGC3198,ok,43,2.8271,0.8579,3.184656438474552,0.8579,sigma_power,constant,False,36.60679343312227
NGC3521,ok,41,2.8271,0.8579,2.7724610337922004,0.8579,sigma_power,constant,False,52.35421147126849
NGC3726,ok,12,2.8271,0.8579,3.0833499495914523,0.8579,sigma_power,constant,False,35.2967765816304
NGC3741,ok,21,2.8271,0.8579,5.020077106253976,0.8579,sigma_power,constant,False,25.000486235566648
NGC3769,ok,12,2.8271,0.8579,3.47380956583629,0.8579,sigma_power,constant,False,38.48843913459111
NGC3877,ok,13,2.8271,0.8579,3.0313037458339656,0.8579,sigma_power,constant,False,28.910061460426665
NGC3893,ok,10,2.8271,0.8579,2.932567527858683,0.8579,sigma_power,constant,False,33.13651485375465
NGC3917,ok,17,2.8271,0.8579,3.28900809211428,0.8579,sigma_power,constant,False,18.642532577981022
NGC3949,ok,7,2.8271,0.8579,3.1145356613562,0.8579,sigma_power,constant,False,31.91970255462947
NGC3953,ok,8,2.8271,0.8579,2.723825987173509,0.8579,sigma_power,constant,False,18.26639069797791
NGC3972,ok,10,2.8271,0.8579,3.552399428081506,0.8579,sigma_power,constant,False,9.575955915007976
NGC3992,ok,9,2.8271,0.8579,2.594015080345663,0.8579,sigma_power,constant,False,49.0176770061108
NGC4010,ok,12,2.8271,0.8579,3.4855059522554224,0.8579,sigma_power,constant,False,9.211941649843961
NGC4013,ok,36,2.8271,0.8579,2.9620007758359757,0.8579,sigma_power,constant,False,39.27050657069561
NGC4051,ok,7,2.8271,0.8579,3.146854017998963,0.8579,sigma_power,constant,False,29.682131008832762
NGC4068,ok,6,2.8271,0.8579,6.350134123994617,0.8579,sigma_power,constant,False,2.395657095839032
NGC4085,ok,7,2.8271,0.8579,3.390249655288964,0.8579,sigma_power,constant,False,33.53583468853068
NGC4088,ok,12,2.8271,0.8579,2.999421699652214,0.8579,sigma_power,constant,False,50.789666285479484
NGC4100,ok,24,2.8271,0.8579,3.006405235868767,0.8579,sigma_power,constant,False,28.463116078530405
NGC4138,ok,7,2.8271,0.8579,3.0757225947007973,0.8579,sigma_power,constant,False,31.22150573258221
NGC4157,ok,17,2.8271,0.8579,2.919810195130762,0.8579,sigma_power,constant,False,40.008308422261806
NGC4183,ok,23,2.8271,0.8579,3.59084033451525,0.8579,sigma_power,constant,False,29.358400752089498
NGC4214,ok,14,2.8271,0.8579,4.076619358168165,0.8579,sigma_power,constant,False,31.696106277868335
NGC4217,ok,19,2.8271,0.8579,2.919810195130762,0.8579,sigma_power,constant,False,64.40384865331427
NGC4389,ok,6,2.8271,0.8579,4.155559952725966,0.8579,sigma_power,constant,False,57.39781645079807
NGC4559,ok,32,2.8271,0.8579,3.4451587338688965,0.8579,sigma_power,constant,False,23.815843832085665
NGC5005,ok,18,2.8271,0.8579,2.529948018886384,0.8579,sigma_power,constant,False,57.02955192190641
NGC5033,ok,22,2.8271,0.8579,2.8413604357690505,0.8579,sigma_power,constant,False,60.84073189668697
NGC5055,ok,28,2.8271,0.8579,2.952075005317546,0.8579,sigma_power,constant,False,58.262170940403955
NGC5371,ok,19,2.8271,0.8579,2.756775036784192,0.8579,sigma_power,constant,False,35.62745617971017
NGC5585,ok,24,2.8271,0.8579,3.895286322711436,0.8579,sigma_power,constant,False,22.840597626816493
NGC5907,ok,19,2.8271,0.8579,2.743937778340493,0.8579,sigma_power,constant,False,42.03150704896965
NGC5985,ok,33,2.8271,0.8579,2.431631413273772,0.8579,sigma_power,constant,False,43.61376579015517
NGC6015,ok,44,2.8271,0.8579,3.1345974456757637,0.8579,sigma_power,constant,False,42.587087362007814
NGC6195,ok,23,2.8271,0.8579,2.5795144977946762,0.8579,sigma_power,constant,False,43.74184960708544
NGC6503,ok,31,2.8271,0.8579,3.527556940666271,0.8579,sigma_power,constant,False,41.58203663730752
NGC6674,ok,15,2.8271,0.8579,2.6195519912081795,0.8579,sigma_power,constant,False,75.66150352019578
