galaxy,sigma_v,Q,K_mean,G_emp
CamB,1.635,122.32415902140673,1.5564425720712871,0.9918912887147568
D564-8,3.1275,63.948840927258196,1.4703068995079502,0.9846032664213362
D631-7,8.355,23.937761819269898,1.410096940537493,0.9599001703822803
DDO064,6.7875,29.46593001841621,1.4193323066637618,0.9671764492534607
DDO154,6.757499999999999,29.59674435812061,1.4195422772581985,0.967316784155351
DDO161,9.967499999999998,20.06521193880111,1.4030073289351184,0.9525283674854442
DDO168,7.199999999999999,27.777777777777782,1.4165921736419025,0.9652509652509652
DDO170,8.565,23.35084646818447,1.4090636534901244,0.9589336657636708
ESO079-G014,23.775,8.412197686645637,1.3722994344831279,0.8937548877220423
ESO116-G012,16.275,12.28878648233487,1.385325731438347,0.9247485839787308
ESO444-G084,7.919999999999999,25.252525252525256,1.412368765351883,0.9619084263178146
ESO563-G021,46.875,4.266666666666667,1.3473775990956018,0.810126582278481
F561-1,7.1025,28.159098908834917,1.417216328604641,0.9657053874289301
F563-1,15.9375,12.549019607843137,1.3860490799521408,0.9261939218523878
F563-V1,4.1925,47.70423375074538,1.4468309702990583,0.9794679040611188
F563-V2,15.435,12.957563977972141,1.3871577663856693,0.9283542599856105
F565-V2,10.275,19.464720194647203,1.401839927364285,0.9511354179051242
F568-1,18.075,11.065006915629322,1.381719997002632,0.9171156712140318
F568-3,14.4525,13.838436256702993,1.3894470460245032,0.932607453865075
F568-V1,16.8,11.904761904761905,1.3842321247662328,0.922509225092251
F571-8,17.099999999999998,11.69590643274854,1.3836234655735353,0.921234454168586
F571-V1,11.55,17.316017316017316,1.3974611071265601,0.9454029780193808
F574-1,14.325,13.961605584642234,1.3897570821608671,0.9331622535868425
F579-V1,16.65,12.012012012012013,1.384540803051078,0.9231479344564967
F583-1,11.2875,17.718715393133998,1.3983086032250245,0.946577530615867
F583-4,9.12,21.92982456140351,1.4065058329856168,0.9563886763580719
IC2574,9.36,21.36752136752137,1.40546928398413,0.9552923194497517
IC4202,36.6,5.46448087431694,1.3568798350339044,0.8453085376162299
KK98-251,4.32,46.29629629629629,1.4447794333307151,0.9788566953797964
NGC0024,15.975,12.519561815336463,1.3859678878107105,0.9260331056835281
NGC0055,12.8625,15.549076773566568,1.3935638613417076,0.9395736684479418
NGC0100,12.802499999999998,15.621948838117557,1.3937310171907575,0.9398385827234172
NGC0247,15.75,12.698412698412698,1.3864582047177663,0.9269988412514484
NGC0289,25.5,7.8431372549019605,1.369864602043324,0.8869179600886917
NGC0300,13.9725,14.313830738951511,1.390631163306372,0.9346995525125892
NGC0801,33.15,6.033182503770739,1.360525460897818,0.8578168561012224
NGC0891,32.85,6.0882800608828,1.3608563856216715,0.8589220528237063
NGC1003,16.65,12.012012012012013,1.384540803051078,0.9231479344564967
NGC1090,24.6,8.130081300813007,1.3711159470875738,0.8904719501335708
NGC1705,10.725,18.64801864801865,1.4002152481489534,0.9491042828330762
NGC2366,7.619999999999999,26.24671916010499,1.4140515776593552,0.963298333493883
NGC2403,20.175,9.913258983890954,1.377952647795549,0.9083683433632338
NGC2683,25.575,7.820136852394917,1.369762092811666,0.8866230743655104
NGC2841,42.675,4.6865846514352665,1.35105496105546,0.8241475224065108
NGC2903,27.525,7.266121707538602,1.3671845558130156,0.8790242830458191
NGC2915,12.315,16.240357287860334,1.3951259972644865,0.9419965617125498
NGC2955,40.35,4.956629491945477,1.3532059075258036,0.8321198252548367
NGC2976,11.745,17.028522775649215,1.3968475248273293,0.9445323384259369
NGC2998,31.875,6.2745098039215685,1.361948866525123,0.862533692722372
NGC3109,9.5325,20.98085496984002,1.4047476198982924,0.9545058642454034
NGC3198,22.275,8.978675645342312,1.3745503368629461,0.899786300753571
NGC3521,31.5,6.349206349206349,1.3623762232483525,0.8639308855291576
NGC3726,24.15,8.281573498964804,1.3717569812905317,0.8922596475574393
NGC3741,7.14,28.011204481792717,1.4169746323602133,0.9655305590421936
NGC3769,17.925,11.15760111576011,1.3820058012881666,0.9177469312836986
NGC3877,25.2,7.936507936507937,1.3702773116837488,0.8880994671403197
NGC3893,27.375,7.30593607305936,1.367377144230732,0.879604178119846
NGC3917,20.55,9.732360097323602,1.3773209500226167,0.906823849467241
NGC3949,23.55,8.492569002123142,1.3726286339682499,0.8946544397226571
NGC3953,32.925,6.074411541381929,1.3607734292873865,0.8586454867446603
NGC3972,16.95,11.799410029498526,1.3839263675493647,0.9218713989398479
NGC3992,37.2,5.376344086021505,1.356273338064493,0.8431703204047217
NGC4010,17.775,11.251758087201127,1.382294082501451,0.9183790609574102
NGC4013,26.7,7.490636704119851,1.368255142512627,0.882223202470225
NGC4051,22.95,8.714596949891067,1.3735207204252728,0.8970621215519174
NGC4068,3.9675,50.40957781978576,1.4507594631905385,0.9805483716768603
NGC4085,19.05,10.498687664041995,1.379919237098282,0.9130335539831089
NGC4088,25.875,7.729468599033816,1.369354675217482,0.8854454897620366
NGC4100,25.725,7.774538386783284,1.3695578636423813,0.886033890796323
NGC4138,24.3,8.23045267489712,1.371542122160513,0.8916629514043691
NGC4157,27.675,7.226738934056007,1.366992860278889,0.878445152080817
NGC4183,16.5,12.121212121212121,1.384852470527818,0.9237875288683602
NGC4214,12.015,16.645859342488556,1.3960191688793475,0.9433294814046176
NGC4217,27.675,7.226738934056007,1.366992860278889,0.878445152080817
NGC4389,11.4525,17.463435931019426,1.397772939533009,0.9458388999893593
NGC4559,18.3,10.92896174863388,1.3812958227044527,0.9161704076958315
NGC5005,39.6,5.05050505050505,1.3539194068486051,0.8347245409015025
NGC5033,29.625,6.751054852320675,1.3645774073261232,0.8709853021230267
NGC5055,26.925,7.428040854224698,1.367960378213623,0.8813484631486175
NGC5371,31.95,6.259780907668231,1.3618638830030683,0.8622547962923044
NGC5585,13.4625,14.856081708449397,1.3919426741437804,0.936932716519295
NGC5907,32.325,6.187161639597834,1.3614413594075643,0.8608630151727106
NGC5985,43.725,4.574042309891366,1.3501117939503078,0.8205969843060826
NGC6015,23.175,8.629989212513484,1.3731837149897095,0.8961577237593816
NGC6195,37.725,5.301524188204109,1.3557487676157733,0.8413082343043432
NGC6503,17.25,11.594202898550725,1.3833233552089041,0.9205983889528193
NGC6674,36.3,5.5096418732782375,1.3571859546921097,0.8463817181548878
NGC6946,23.55,8.492569002123142,1.3726286339682499,0.8946544397226571
NGC7331,35.775,5.590496156533892,1.3577263974035254,0.8482663556356697
NGC7793,16.2,12.345679012345679,1.3854850576762667,0.9250693802035153
NGC7814,32.1,6.230529595015576,1.3616943971826034,0.8616975441619992
PGC51017,2.8575,69.9912510936133,1.4790368208209845,0.9859137571940895
UGC00128,19.575,10.217113665389528,1.3789876075128027,0.9108505066605943
UGC00191,8.64,23.148148148148145,1.4087038094353912,0.9585889570552147
UGC00731,10.4625,19.115890083632017,1.4011514385098907,0.9502880560669953
UGC01230,15.6,12.820512820512821,1.3867893806507197,0.9276437847866419
UGC01281,8.032499999999999,24.898848428260198,1.4117631087804718,0.9613882446252389
UGC02259,12.4875,16.016016016016014,1.3946246820949266,0.9412318371668922
UGC02455,5.4075,36.98566805362922,1.4309990599739284,0.973674281610944
UGC02487,49.875,4.010025062656641,1.344893455999829,0.80040020010005
UGC02885,44.7,4.47427293064877,1.3492506804387365,0.8173273395995097
UGC02916,31.425,6.364359586316627,1.362462188295293,0.8642108674516582
UGC02953,39.45,5.069708491761723,1.3540633201986785,0.8352474420547087
UGC03205,32.55,6.144393241167435,1.3611897317562804,0.8600301010535368
UGC03546,29.175,6.855184233076264,1.365122728299101,0.8726955383440602
UGC03580,18.45,10.840108401084011,1.381015989114812,0.9155413138017853
UGC04278,12.57,15.910898965791567,1.3943879573360725,0.9408665380815732
UGC04305,5.010000000000001,39.92015968063872,1.4353949772766375,0.9755621676991366
UGC04325,13.41,14.914243102162565,1.3920810231123588,0.9371632069724942
UGC04483,3.12,64.1025641025641,1.4705287231445663,0.9846396218983852
UGC04499,10.035,19.930244145490782,1.4027468292413088,0.9522222486728402
UGC05005,11.3325,17.648356496801235,1.3981615044160836,0.9463759715140833
UGC05253,32.775,6.102212051868802,1.3609394932869328,0.859198797121684
UGC05414,7.334999999999999,27.266530334015,1.4157501783491333,0.9646224708804592
UGC05716,10.815,18.49283402681461,1.3999013515722807,0.9486990963641108
UGC05721,11.7825,16.974326331423722,1.3967310289797612,0.9443650915443911
UGC05750,8.3475,23.95926924228811,1.4101345690479996,0.9599347244387382
UGC05764,7.4925,26.693360026693362,1.4147987535607613,0.9638902610937745
UGC05829,7.484999999999999,26.720106880427522,1.4148433337423998,0.9639251030194954
UGC05918,5.714999999999999,34.99562554680666,1.4279774607982947,0.9722188464623387
UGC05986,16.95,11.799410029498526,1.3839263675493647,0.9218713989398479
UGC06399,11.625,17.204301075268816,1.3972235451365838,0.9450679267572357
UGC06446,12.254999999999995,16.319869441044478,1.3953024277861534,0.9422628442203953
UGC06614,29.025,6.890611541774333,1.3653060585602959,0.8732671105774479
UGC06628,6.21,32.2061191626409,1.4236700540724017,0.9698850686193686
UGC06667,11.595,17.248814144027598,1.3973183317618463,0.9452019187598951
UGC06786,33.75,5.925925925925926,1.359870689785407,0.8556149732620321
UGC06787,37.425,5.344021376085505,1.3560478340961928,0.8423712751395177
