galaxy,rms_base,rms_gravity,delta
UGC01230,39.9159400278339,39.206452280738375,-0.7094877470955225
F563-1,56.64238709244974,56.315045224726525,-0.32734186772321294
NGC3741,25.04358426396026,24.859098477448985,-0.18448578651127434
UGC06446,36.084987880651255,35.959700065142016,-0.12528781550923895
UGC00128,64.85312811111339,64.75264265282081,-0.1004854582925816
F568-V1,48.74626218437627,48.67273747058967,-0.07352471378660397
DDO154,22.634922954175067,22.62221219547017,-0.01271075870489824
UGC05716,34.4106932148905,34.400900834176866,-0.009792380713633975
UGC12506,67.37621359432588,67.36817547299678,-0.008038121329093428
UGC12732,37.68278573975085,37.68263832718685,-0.00014741256399730673
