galaxy,n_points,sigma_v_true,Q_gal,G_sigma,K_mean,rms_gr,rms_theory,delta_rms
CamB,9,1.635,10.645746184713625,0.9141317366754382,-0.4856159431729876,4.616823441597752,3.6036973193227686,-1.0131261222749837
D512-2,4,25.0,0.870331642936753,0.4653354640197274,-0.2125749539112091,12.493950382400962,14.430439648531179,1.9364892661302164
D564-8,6,3.1275,3.4504444399966245,0.7753033402657739,-0.28738481057121185,10.049576841590154,11.30238660851811,1.2528097669279568
D631-7,16,8.355,2.5498138258852525,0.7182950855878703,-0.0996574544820247,24.5852323730351,25.034719139622894,0.44948676658779263
DDO064,14,6.7875,4.059304311555797,0.8023443662568525,-0.15435518642392979,14.591505838594633,15.824102337076939,1.2325964984823052
DDO154,12,6.757499999999999,2.7048938944541407,0.730086737032631,-0.13401285019205897,22.680803776816237,23.45477677859682,0.7739730017805826
DDO161,31,9.967499999999998,3.275675808415369,0.766118844176211,-0.11472237781267076,21.31489016029167,21.935287010900815,0.6203968506091435
DDO168,10,7.199999999999999,3.956683866853937,0.7982522132010184,-0.15347885686511092,18.767038568918075,19.983187822789247,1.2161492538711727
DDO170,8,8.565,3.644219987399465,0.7846785891466888,-0.3828873494520497,24.535484730575124,30.021570467568015,5.486085736992891
ESO079-G014,15,23.775,5.653841209911213,0.8497108709912625,-0.06984236889868228,28.886704382352235,29.711969311636842,0.8252649292846073
ESO116-G012,15,16.275,3.769604683109307,0.7903390183380775,-0.04926891697832484,34.256228959673145,34.75692375674014,0.5006947970669984
ESO444-G084,7,7.919999999999999,2.772073171269245,0.7348937959060017,-0.10769989272959604,31.693305766747677,32.41194551172946,0.7186397449817861
ESO563-G021,30,46.875,4.40740649200613,0.8150684618442652,-0.03390997374655298,62.93505741241875,62.59195667960977,-0.3431007328089777
F561-1,6,7.1025,6.862049005908539,0.8728066946353967,-0.4372848120223937,4.42316040510831,12.630922234655975,8.207761829547664
F563-1,17,15.9375,2.5596616462289896,0.7190744235314125,-0.15505807323903745,57.23862337544333,58.84868588620551,1.6100625107621767
F563-V1,6,4.1925,6.976913391319507,0.8746382277275064,-0.41840715473974815,1.9045179143635556,6.283845167493542,4.379327253129986
F563-V2,10,15.435,3.544499705092454,0.7799537760164392,-0.06822956470023582,51.070448240065694,51.61447922901979,0.5440309889540984
F565-V2,7,10.275,2.8851451420596006,0.7426093586120497,-0.2867959311471462,37.81055917316258,40.360499797900566,2.549940624737985
F567-2,5,25.0,1.3811625248318895,0.5800370661088746,-0.3454046378000407,11.042301659590876,16.629630174818566,5.587328515227689
F568-1,12,18.075,3.3706838952899774,0.7712028542998409,-0.07634877220232338,59.47223904806734,60.22435209259889,0.7521130445315549
F568-3,18,14.4525,4.286959603660106,0.8108553734158077,-0.11731139459080817,33.872109024328516,35.02902199119399,1.1569129668654767
F568-V1,15,16.8,2.9831686050747876,0.7489435926146982,-0.05945538704590054,55.10144891123267,55.72039696404375,0.6189480528110778
F571-8,13,17.099999999999998,4.056912289873269,0.8022508711486747,-0.046029657208916865,47.869589054996254,46.952075064595974,-0.9175139904002805
F571-V1,7,11.55,3.591684705226429,0.7822150116575378,-0.37959535640349795,33.703220222549966,40.122156337320526,6.41893611477056
F574-1,14,14.325,3.9230055283251803,0.7968720542265564,-0.07485104409630948,36.44732159054748,37.2714762247349,0.8241546341874155
F574-2,5,25.0,1.496320821214488,0.5994104637906722,-0.3829030573913085,7.294377305917471,3.2683074785912405,-4.02606982732623
F579-V1,14,16.65,4.53339738739637,0.8192792004641238,-0.06911278420041148,38.60867712662157,39.97620987726568,1.3675327506441093
F583-1,25,11.2875,3.4201294221425065,0.77376228058153,-0.06026975899165412,32.7530184892085,33.052822993826965,0.2998045046184643
F583-4,12,9.12,4.412521574465283,0.8152432306750126,-0.06318090826247148,19.018287399996733,19.55683721789839,0.5385498179016572
IC2574,34,9.36,3.825412526926844,0.7927638322278595,-0.1577669086396779,18.897457874966218,20.120267772361764,1.2228098973955461
IC4202,32,36.6,5.561352400608512,0.8475923957525497,-0.0705570656848404,35.22311818624543,28.05980732479874,-7.163310861446689
KK98-251,15,4.32,4.954518148693562,0.8320602985785839,-0.19429022352587702,7.801556034620339,8.983872094541665,1.1823160599213258
NGC0024,29,15.975,3.3359133630120286,0.7693680855040586,-0.07078376013244742,32.600734022504845,33.83309960104015,1.2323655785353083
NGC0055,21,12.8625,4.465229828174872,0.8170250782785556,-0.20508530764517768,22.25378039182271,25.725825716986495,3.472045325163787
NGC0100,21,12.802499999999998,3.6191926395942033,0.783511951541417,-0.04337182260902189,26.631135883562084,26.92965281440692,0.298516930844837
NGC0247,26,15.75,3.974356754874476,0.7989689824679183,-0.15824656987713284,32.17495623382241,35.243245786493006,3.068289552670599
NGC0289,28,25.5,3.5257002925467567,0.7790397208478717,-0.11425458281318697,55.649949442799354,58.88828893852934,3.2383394957299885
NGC0300,25,13.9725,3.0956821919759077,0.7558404306957316,-0.14313333494065075,36.12032545823501,38.387231513654264,2.2669060554192555
NGC0801,13,33.15,5.805452561138789,0.853059000703303,-0.21669953866867728,37.740963726026024,28.81425635254539,-8.926707373480635
NGC0891,18,32.85,6.480227995882293,0.8663142352678984,-0.11834161155210794,69.84503892878418,55.75795012730444,-14.087088801479737
NGC1003,36,16.65,2.717663032648767,0.7310138139960689,-0.09788885960746989,48.153251971836,49.318461910113214,1.165209938277215
NGC1090,24,24.6,4.973854072785542,0.8326038788668115,-0.033303391223656595,25.712295442140153,24.72314091869669,-0.9891545234434638
NGC1705,14,10.725,2.3367224919976417,0.70030471446209,-0.056124057478251256,38.06804446988434,38.82052998363813,0.7524855137537898
NGC2366,26,7.619999999999999,3.944237019952895,0.7977443241567073,-0.07014119671133069,16.360956127974482,16.873066025968853,0.512109897994371
NGC2403,73,20.175,3.0605890334693844,0.7537303106131882,-0.027829425081039756,37.895599436401874,37.97598548886849,0.0803860524666149
NGC2683,11,25.575,4.395406842445674,0.8146571650291506,-0.32994451659191604,33.117970053884335,73.022659734905,39.90468968102067
NGC2841,50,42.675,3.172918132883218,0.7603595450100372,-0.39674068813503843,87.87483219228517,159.4329484519153,71.55811625963014
NGC2903,34,27.525,4.662506576988285,0.8233997636199004,-0.04050143354349266,61.46052574802574,54.60367369739243,-6.856852050633307
NGC2915,30,12.315,2.122239564308874,0.67971708147214,-0.049495243787926906,48.7574283509878,48.92860241453149,0.17117406354368825
NGC2955,24,40.35,5.92121323107485,0.85551666064698,-0.08668539794111296,44.136667183471666,38.442571728792544,-5.694095454679122
NGC2976,27,11.745,7.106352154758122,0.8766399508793807,-0.11488603600368433,3.6845505539647445,3.069012200192034,-0.6155383537727106
NGC2998,13,31.875,5.149415577265974,0.8373829207938164,-0.05265189051355852,35.122227450196725,37.043179523306364,1.920952073109639
NGC3109,25,9.5325,2.461223756637931,0.711084844462251,-0.06155583825584641,29.986977397240718,30.308610567028712,0.3216331697879937
NGC3198,43,22.275,3.60786828862372,0.7829799079828558,-0.03414041813633608,37.60592238748666,37.196060973978305,-0.40986141350835226
