galaxy,rms_base,rms_mass_adaptive,delta
UGC06786,47.68541604902616,596.0512036013716,548.3657875523455
UGC06787,62.19721472470859,562.1289525609794,499.9317378362708
UGC09133,60.44118445872697,430.9186679945855,370.47748353585854
UGC08699,35.78295266038885,379.7674377334625,343.98448507307364
NGC7814,52.58927965499632,354.88477945792454,302.29549980292825
UGC02953,59.89133460148048,360.4650277129345,300.573693111454
UGC03205,30.67847409380547,319.3375606582298,288.65908656442434
NGC2403,37.23948368905386,250.1995544963674,212.96007080731354
NGC5055,58.26271602751799,242.5648279608416,184.3021119333236
UGC02916,38.19773487996451,216.4121118053876,178.2143769254231
