galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,shell_mode,shell_params,budget_factor,force_match,rms_velocity
CamB,ok,9,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 7.16, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,5.710276361772014
D564-8,ok,6,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 12.28, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,9.85924198984721
D631-7,ok,16,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 28.76, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,24.803648122173332
DDO064,ok,14,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 11.92, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,13.37507719473891
DDO154,ok,12,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 23.68, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,22.68716572675178
DDO161,ok,31,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 53.48, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,21.48330474294651
DDO168,ok,10,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 16.48, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,18.110754652871055
DDO170,ok,8,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 49.32, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,24.348816467830755
ESO079-G014,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 66.68, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,85.75250761245204
ESO116-G012,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 39.44, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,56.13374199914339
ESO444-G084,ok,7,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 17.76, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,30.982856184801694
ESO563-G021,ok,30,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 169.64, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,211.00455008518938
F561-1,ok,6,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 38.64, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,9.792081662545858
F563-1,ok,17,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 80.4, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,56.646664644042765
F563-V1,ok,6,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 31.48, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,2.657336841852531
F563-V2,ok,10,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 41.88, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,43.25499080505876
F565-V2,ok,7,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 35.2, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,37.25194177455892
F568-1,ok,12,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 52.92, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,49.12998418728693
F568-3,ok,18,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 71.92, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,30.6462550503552
F568-V1,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 70.52, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,49.016409122277864
F571-8,ok,13,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 62.2, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,136.6692395685324
F571-V1,ok,7,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 54.36, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,33.03689127411431
F574-1,ok,14,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 50.4, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,30.232335619692936
F579-V1,ok,14,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 60.64, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,19.302162209586562
F583-1,ok,25,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 65.04, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,30.367107885231373
F583-4,ok,12,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 29.16, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,17.565979060344915
IC2574,ok,34,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 40.92, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,17.95969971055499
IC4202,ok,32,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 103.6, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,180.01405666398526
KK98-251,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 12.52, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,6.5199799654679715
NGC0024,ok,29,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 45.08, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,117.45859549067299
NGC0055,ok,21,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 54.0, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,20.711308773407225
NGC0100,ok,21,2.8271,0.8579,2.8271,0.8579,constant,constant,mass_adaptive,"{'R_coh': 38.48, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,33.32861047729317
