galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
CamB,ok,9,2.8271,0.8579,2.8271,0.8579,constant,constant,False,4.567825538058284
D564-8,ok,6,2.8271,0.8579,2.8271,0.8579,constant,constant,False,9.824077270856401
D631-7,ok,16,2.8271,0.8579,2.8271,0.8579,constant,constant,False,24.568486682628606
DDO064,ok,14,2.8271,0.8579,2.8271,0.8579,constant,constant,False,10.63892197908248
DDO154,ok,12,2.8271,0.8579,2.8271,0.8579,constant,constant,False,22.634922954175067
DDO161,ok,31,2.8271,0.8579,2.8271,0.8579,constant,constant,False,21.28261480985839
DDO168,ok,10,2.8271,0.8579,2.8271,0.8579,constant,constant,False,17.878166118531034
DDO170,ok,8,2.8271,0.8579,2.8271,0.8579,constant,constant,False,24.344418965251535
ESO079-G014,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,False,8.839758472865633
ESO116-G012,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,False,31.006143184100623
ESO444-G084,ok,7,2.8271,0.8579,2.8271,0.8579,constant,constant,False,30.947492899579643
ESO563-G021,ok,30,2.8271,0.8579,2.8271,0.8579,constant,constant,False,57.65645376983528
F561-1,ok,6,2.8271,0.8579,2.8271,0.8579,constant,constant,False,4.151914409328485
F563-1,ok,17,2.8271,0.8579,2.8271,0.8579,constant,constant,False,56.64238709244974
F563-V1,ok,6,2.8271,0.8579,2.8271,0.8579,constant,constant,False,1.5528864771231206
F563-V2,ok,10,2.8271,0.8579,2.8271,0.8579,constant,constant,False,42.21164278044988
F565-V2,ok,7,2.8271,0.8579,2.8271,0.8579,constant,constant,False,37.21064552445521
F568-1,ok,12,2.8271,0.8579,2.8271,0.8579,constant,constant,False,48.301854147591236
F568-3,ok,18,2.8271,0.8579,2.8271,0.8579,constant,constant,False,24.166816384321415
F568-V1,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,False,48.74626218437627
