galaxy,rms_base,rms_formula_radius,delta
NGC2841,84.15161804240093,82.2752915361292,-1.8763265062717238
UGC00128,64.85312811111339,63.16556339873977,-1.6875647123736215
F563-1,56.64238709244974,55.01657212051176,-1.6258149719379773
NGC2915,48.67405553769961,47.16733688460139,-1.5067186530982184
NGC1003,48.097782870857365,46.73446455894478,-1.363318311912586
NGC3741,25.04358426396026,23.88055665971381,-1.163027604246448
NGC0289,55.626200322234816,54.492198580334005,-1.1340017419008106
NGC6503,41.60826725876995,40.6311466215282,-0.9771206372417467
DDO154,22.634922954175067,21.936144494699256,-0.6987784594758111
UGC00731,35.88906164435356,35.21080397563299,-0.678257668720569
