galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,shell_mode,shell_params,budget_factor,force_match,rms_velocity
CamB,ok,9,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 5.37, 'R_stop': 7.16, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'mass_formula', 'spill_weights': [0.0026592743828755916, 0.0052158773610313566, 0.007160414084383094, 0.009170353678351903, 0.010531640163384957, 0.01139869363848315, 0.012511736723769599, 0.012464150312908153, 0.011488756676863637, 0.010366765889348534, 0.011630262853025939, 0.0129047765081672, 0.014187907600028367, 0.015478129550201865, 0.01677459927163446, 0.01807699449224137, 0.0193853771516558, 0.020700081376832314, 0.022021623735177714, 0.02335063299757949, 0.024687796487000816, 0.026033820165119088, 0.027389399837936913, 0.02875520117151416, 0.030131846548695294, 0.03151990713186047, 0.03291989880433278, 0.034332280933614664, 0.03575745712967349, 0.03371281470422037, 0.035139996244336245, 0.03663100277561743, 0.038189014246261165, 0.039817371845300806, 0.04151958511597162, 0.04329933939331607, 0.045160503588814384, 0.04710713834560397, 0.04914350458857015, 0.0512740724942956]}",1.0,False,4.617009180062414
D564-8,ok,6,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 9.209999999999999, 'R_stop': 12.28, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'mass_formula', 'spill_weights': [0.08197312031256973, 0.1120498448683905, 0.13294168003402707, 0.13680926792796558, 0.14168935649316497, 0.13512523422469722, 0.12648026651923214, 0.10441768392618919, 0.028513545693763655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,7.0779124875095425
D631-7,ok,16,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 21.57, 'R_stop': 28.76, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'mass_formula', 'spill_weights': [0.09914901459359673, 0.16982320792669686, 0.15820828171492368, 0.14870509661904083, 0.13797160197850675, 0.10953557423811482, 0.08602042313213856, 0.05644480171785025, 0.03414199807913151, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,28.951785192904264
DDO064,ok,14,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 8.94, 'R_stop': 11.92, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'mass_formula', 'spill_weights': [0.020044762524995572, 0.056752827861205404, 0.0863420647661661, 0.11688497110496167, 0.14089402892544362, 0.1547834648030757, 0.14772568992897883, 0.14760257710679942, 0.12896961297837356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,9.383279812299147
DDO154,ok,12,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 17.759999999999998, 'R_stop': 23.68, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'mass_formula', 'spill_weights': [0.24071198568740304, 0.2738713821274392, 0.18940411974638804, 0.1400935099247911, 0.09486980669110019, 0.061049195822878356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,36.56913860185916
DDO161,ok,31,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 40.11, 'R_stop': 53.48, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'mass_formula', 'spill_weights': [0.09545682299735204, 0.16356510290525175, 0.18706999245278347, 0.15936752827845535, 0.14280558443414443, 0.10914774927251267, 0.07861362928690911, 0.06397359037259122, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,22.715551845627054
DDO168,ok,10,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 12.36, 'R_stop': 16.48, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'mass_formula', 'spill_weights': [0.04169146030291017, 0.07218661428038303, 0.09496004962182446, 0.11425112408087318, 0.12929673068529607, 0.14061205794437173, 0.14955229545273224, 0.14744047766386506, 0.11000918996774416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,10.351769362756182
DDO170,ok,8,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 36.99, 'R_stop': 49.32, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'mass_formula', 'spill_weights': [0.09323298238744776, 0.11664622915703353, 0.1384680351623685, 0.1423344683239613, 0.14005840282863455, 0.12844991823979632, 0.1068252077510165, 0.0915570051390717, 0.04242775101066994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,13.049996845339306
ESO079-G014,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 50.010000000000005, 'R_stop': 66.68, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'mass_formula', 'spill_weights': [0.0008294216386879667, 0.0021932483967594244, 0.0035734589340730245, 0.005226944230704984, 0.006953077182172277, 0.008137495778044696, 0.008714015400012562, 0.008562550632483977, 0.00864376122611592, 0.008551579082745875, 0.009775136439323503, 0.011053008800170282, 0.012371436498041762, 0.013728358397247124, 0.015122021459480106, 0.01655091849967457, 0.018013739297935014, 0.01950933211389877, 0.021036673384151564, 0.02259484387731535, 0.02418300994126465, 0.025800408754529193, 0.02744633671527633, 0.029120140280206173, 0.030821208710640265, 0.03254896829996585, 0.034302877750155995, 0.03608242443936793, 0.037887121381118244, 0.0356688214482414, 0.037368338080273664, 0.03914933245695839, 0.04101574354180948, 0.042971700746401775, 0.04502153304363096, 0.047169778520250845, 0.04942119439045526, 0.05178076749327032, 0.05425372529756511, 0.05684554743957936]}",1.0,False,28.74723614375457
ESO116-G012,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 29.58, 'R_stop': 39.44, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'mass_formula', 'spill_weights': [0.030770703560982077, 0.07658055960974289, 0.10837900948143653, 0.1394267390052169, 0.15004346524824058, 0.12785455973588983, 0.1229382649554541, 0.12318592194379606, 0.11017288063684891, 0.010647895822392195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,23.608542352983996
