galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
CamB,ok,9,2.8271,0.8579,48.41583457044982,0.8579,mass_power,constant,False,4.45210905671748
D564-8,ok,6,2.8271,0.8579,23.223604966256193,0.8579,mass_power,constant,False,7.45859361363155
D631-7,ok,16,2.8271,0.8579,7.528251526501036,0.8579,mass_power,constant,False,24.500664109756734
DDO064,ok,14,2.8271,0.8579,12.644115685742943,0.8579,mass_power,constant,False,5.0336332543766575
DDO154,ok,12,2.8271,0.8579,9.642403789454606,0.8579,mass_power,constant,False,22.51420806828894
DDO161,ok,31,2.8271,0.8579,5.100600181839945,0.8579,mass_power,constant,False,21.24215964692852
DDO168,ok,10,2.8271,0.8579,10.595414636039942,0.8579,mass_power,constant,False,12.574017710897467
DDO170,ok,8,2.8271,0.8579,5.948065138658682,0.8579,mass_power,constant,False,23.875992476045784
ESO079-G014,ok,15,2.8271,0.8579,2.3295507707459833,0.8579,mass_power,constant,False,11.093623227801933
ESO116-G012,ok,15,2.8271,0.8579,3.892021911783817,0.8579,mass_power,constant,False,30.305939859871753
ESO444-G084,ok,7,2.8271,0.8579,9.528170218215692,0.8579,mass_power,constant,False,29.306158880837888
ESO563-G021,ok,30,2.8271,0.8579,0.9315421422904726,0.8579,mass_power,constant,False,59.74157623369974
F561-1,ok,6,2.8271,0.8579,7.617684751141492,0.8579,mass_power,constant,False,4.151914409328485
F563-1,ok,17,2.8271,0.8579,2.9766533360012692,0.8579,mass_power,constant,False,56.58242620010071
F563-V1,ok,6,2.8271,0.8579,12.605918368212112,0.8579,mass_power,constant,False,1.5528864771231206
F563-V2,ok,10,2.8271,0.8579,3.9642301541434297,0.8579,mass_power,constant,False,39.887593545696014
F565-V2,ok,7,2.8271,0.8579,5.884699723019658,0.8579,mass_power,constant,False,35.768535857195324
F568-1,ok,12,2.8271,0.8579,3.1816782415527367,0.8579,mass_power,constant,False,46.02854129067973
F568-3,ok,18,2.8271,0.8579,3.3656781477598097,0.8579,mass_power,constant,False,22.644053177624176
F568-V1,ok,15,2.8271,0.8579,3.00742281538621,0.8579,mass_power,constant,False,48.11143722353517
F571-8,ok,13,2.8271,0.8579,3.1178397865954817,0.8579,mass_power,constant,False,46.76355702730854
F571-V1,ok,7,2.8271,0.8579,4.503907581153141,0.8579,mass_power,constant,False,32.22480183172491
F574-1,ok,14,2.8271,0.8579,3.907679331821597,0.8579,mass_power,constant,False,24.272652487936018
F579-V1,ok,14,2.8271,0.8579,3.2175978986538993,0.8579,mass_power,constant,False,16.60920645566106
F583-1,ok,25,2.8271,0.8579,4.269887308933544,0.8579,mass_power,constant,False,27.86898931780956
F583-4,ok,12,2.8271,0.8579,6.980008611459325,0.8579,mass_power,constant,False,10.819516253151532
IC2574,ok,34,2.8271,0.8579,5.969966689896697,0.8579,mass_power,constant,False,16.181491078882917
IC4202,ok,32,2.8271,0.8579,1.3830505906413888,0.8579,mass_power,constant,False,34.05382500213111
KK98-251,ok,15,2.8271,0.8579,17.79664379288449,0.8579,mass_power,constant,False,3.3040373411816115
NGC0024,ok,29,2.8271,0.8579,3.744730608558566,0.8579,mass_power,constant,False,20.58887130009942
NGC0055,ok,21,2.8271,0.8579,4.143325213335105,0.8579,mass_power,constant,False,17.31941231787329
NGC0100,ok,21,2.8271,0.8579,4.762521880769043,0.8579,mass_power,constant,False,23.729019343113467
NGC0247,ok,26,2.8271,0.8579,3.4205239158973555,0.8579,mass_power,constant,False,25.555102841202125
NGC0289,ok,28,2.8271,0.8579,1.2328606662820591,0.8579,mass_power,constant,False,55.645347594809756
NGC0300,ok,25,2.8271,0.8579,4.092330899768918,0.8579,mass_power,constant,False,33.346385287457345
NGC0801,ok,13,2.8271,0.8579,1.0710690026104943,0.8579,mass_power,constant,False,37.72539599368421
NGC0891,ok,18,2.8271,0.8579,1.7799776019987041,0.8579,mass_power,constant,False,69.84327142340815
NGC1003,ok,36,2.8271,0.8579,2.4410615801465108,0.8579,mass_power,constant,False,48.11050691361438
NGC1090,ok,24,2.8271,0.8579,1.7898880957841468,0.8579,mass_power,constant,False,25.568441692647067
NGC1705,ok,14,2.8271,0.8579,6.627725295489633,0.8579,mass_power,constant,False,35.9920491066641
NGC2366,ok,26,2.8271,0.8579,8.677403920119591,0.8579,mass_power,constant,False,15.553112892128402
NGC2403,ok,73,2.8271,0.8579,2.428192011953825,0.8579,mass_power,constant,False,37.32633949309569
NGC2683,ok,11,2.8271,0.8579,1.6404367917614937,0.8579,mass_power,constant,False,33.084956797926864
NGC2841,ok,50,2.8271,0.8579,0.8537131050937466,0.8579,mass_power,constant,False,85.39981870245873
NGC2903,ok,34,2.8271,0.8579,1.7630439790788435,0.8579,mass_power,constant,False,61.44742033762556
NGC2915,ok,30,2.8271,0.8579,4.829496129560655,0.8579,mass_power,constant,False,48.550295248608364
NGC2955,ok,24,2.8271,0.8579,1.128546733941323,0.8579,mass_power,constant,False,44.059899459607315
NGC2976,ok,27,2.8271,0.8579,9.091804334153979,0.8579,mass_power,constant,False,3.200077542212936
NGC2998,ok,13,2.8271,0.8579,1.26978061950321,0.8579,mass_power,constant,False,30.237968648286277
NGC3109,ok,25,2.8271,0.8579,7.075440829617851,0.8579,mass_power,constant,False,27.947391280957078
NGC3198,ok,43,2.8271,0.8579,1.6633821470038437,0.8579,mass_power,constant,False,36.98156269314078
NGC3521,ok,41,2.8271,0.8579,1.814316086330655,0.8579,mass_power,constant,False,52.427331220209616
NGC3726,ok,12,2.8271,0.8579,1.7609576743794986,0.8579,mass_power,constant,False,35.30607045533021
NGC3741,ok,21,2.8271,0.8579,8.628693744575749,0.8579,mass_power,constant,False,24.926741094333668
NGC3769,ok,12,2.8271,0.8579,2.1190696275239262,0.8579,mass_power,constant,False,38.58674042866931
NGC3877,ok,13,2.8271,0.8579,2.5931286482553593,0.8579,mass_power,constant,False,28.910061460426665
NGC3893,ok,10,2.8271,0.8579,1.972883979183795,0.8579,mass_power,constant,False,33.439411940255596
NGC3917,ok,17,2.8271,0.8579,2.7408537068497494,0.8579,mass_power,constant,False,19.279285890380415
NGC3949,ok,7,2.8271,0.8579,3.308128308856816,0.8579,mass_power,constant,False,31.91970255462947
NGC3953,ok,8,2.8271,0.8579,1.8398558167926655,0.8579,mass_power,constant,False,18.26639069797791
NGC3972,ok,10,2.8271,0.8579,3.9573137532789175,0.8579,mass_power,constant,False,8.365244626728835
NGC3992,ok,9,2.8271,0.8579,1.084750459523709,0.8579,mass_power,constant,False,50.047925680698505
NGC4010,ok,12,2.8271,0.8579,3.5409229789531342,0.8579,mass_power,constant,False,9.120630243620681
NGC4013,ok,36,2.8271,0.8579,1.6562775865009516,0.8579,mass_power,constant,False,39.271583968766876
NGC4051,ok,7,2.8271,0.8579,2.7159089500304003,0.8579,mass_power,constant,False,29.682131008832762
NGC4068,ok,6,2.8271,0.8579,21.438131161280637,0.8579,mass_power,constant,False,1.8988634554342736
NGC4085,ok,7,2.8271,0.8579,4.131142545468626,0.8579,mass_power,constant,False,33.53583468853068
NGC4088,ok,12,2.8271,0.8579,1.967092773092312,0.8579,mass_power,constant,False,50.78966833691929
NGC4100,ok,24,2.8271,0.8579,1.9310327107575134,0.8579,mass_power,constant,False,28.805630458717797
NGC4138,ok,7,2.8271,0.8579,2.1919948914774374,0.8579,mass_power,constant,False,31.358067504293494
NGC4157,ok,17,2.8271,0.8579,1.6394469714931454,0.8579,mass_power,constant,False,40.00962415683502
NGC4183,ok,23,2.8271,0.8579,2.8438232490111246,0.8579,mass_power,constant,False,29.80953528935629
NGC4214,ok,14,2.8271,0.8579,6.208125136487478,0.8579,mass_power,constant,False,31.168147112992052
NGC4217,ok,19,2.8271,0.8579,2.060526610394094,0.8579,mass_power,constant,False,64.4061308360231
NGC4389,ok,6,2.8271,0.8579,6.598693358315487,0.8579,mass_power,constant,False,57.39781645079807
NGC4559,ok,32,2.8271,0.8579,2.6202491962976144,0.8579,mass_power,constant,False,23.856080986613954
NGC5005,ok,18,2.8271,0.8579,1.7987107263411384,0.8579,mass_power,constant,False,57.02955192190641
NGC5033,ok,22,2.8271,0.8579,1.3180174624082084,0.8579,mass_power,constant,False,61.08680021801351
NGC5055,ok,28,2.8271,0.8579,1.312118422411163,0.8579,mass_power,constant,False,58.26774591019898
NGC5371,ok,19,2.8271,0.8579,1.22281010861774,0.8579,mass_power,constant,False,35.62745617971017
NGC5585,ok,24,2.8271,0.8579,4.3422822137013375,0.8579,mass_power,constant,False,22.75186014571958
NGC5907,ok,19,2.8271,0.8579,1.1710656475461168,0.8579,mass_power,constant,False,42.30277671071573
