system_label,variant_id,source_family,image_id,observed_x_arcsec,observed_y_arcsec,assigned,assigned_root_index,assigned_root_x_arcsec,assigned_root_y_arcsec,assigned_distance_arcsec,assigned_signed_magnification
RXJ2129,coherent_monopole_projected_routing_P0697,1,1a,-5.748113029341908,4.227443603999998,True,0.0,-5.053666970652393,2.56801360694306,1.7988783292823862,24.92150871387995
RXJ2129,coherent_monopole_projected_routing_P0697,1,1b,-4.783674198960802,-0.969769187999997,False,,,,,
RXJ2129,coherent_monopole_projected_routing_P0697,1,1c,0.456839445991538,-8.935221672000038,False,,,,,
RXJ2129,coherent_monopole_projected_routing_P0697,2,2a,-6.776271782658472,11.277998675999983,True,0.0,-5.442922296821954,7.508744248937105,3.998137039586514,4.577217963069553
RXJ2129,coherent_monopole_projected_routing_P0697,2,2b,-0.7772390574582798,-4.156659036000021,False,,,,,
RXJ2129,coherent_monopole_projected_routing_P0697,2,2c,0.24443970348725166,-5.292556488000027,False,,,,,
RXJ2129,coherent_monopole_projected_routing_P0697,3,3a,-2.0174375536347493,8.154932903999962,True,2.0,-0.8519296291523939,9.621175362867252,1.8730391534125401,5.431295996473093
RXJ2129,coherent_monopole_projected_routing_P0697,3,3b,2.98907637506174,5.134105511999998,True,0.0,1.8872356580269334,4.6738447712789215,1.1941075810683437,-11.237657783227482
RXJ2129,coherent_monopole_projected_routing_P0697,3,3c,1.5634781039797112,3.965703875999982,True,1.0,2.998446147649976,1.2408088097120298,3.079640629787068,9.584518655128146
RXJ2129,coherent_monopole_projected_routing_P0697,3,3d,7.381071049134713,-15.531179832000019,False,,,,,
RXJ2129,coherent_monopole_projected_routing_P0697,4,4a,-3.4189158540684597,10.495438775999993,True,2.0,-2.236783640286334,10.383269531717238,1.1874420028887278,3.8638408719105652
RXJ2129,coherent_monopole_projected_routing_P0697,4,4b,3.486595771864287,3.41780230799999,True,0.0,1.8259209677498482,2.6663439990082,1.8227809509574457,-36.72402795419608
RXJ2129,coherent_monopole_projected_routing_P0697,4,4c,6.864471675477358,-13.912761239999998,True,1.0,2.0526937298883245,1.8173381958222172,16.449596811427064,37.48953436294772
RXJ2129,coherent_monopole_projected_routing_P0697,5,5a,5.239793645663579,14.528709863999984,True,0.0,7.649780456357091,7.7426580104747,7.201287120123084,4.9662924976558385
RXJ2129,coherent_monopole_projected_routing_P0697,5,5b,13.2029839889991,1.9107456839999704,False,,,,,
RXJ2129,coherent_monopole_projected_routing_P0697,5,5c,13.970143058665721,-3.314626776000029,False,,,,,
RXJ2129,coherent_monopole_projected_routing_P0697,6,6a,-9.90574798751465,17.874595907999986,True,2.0,-7.6251985357821255,12.84171477266321,5.525468154303878,2.4606131150396338
RXJ2129,coherent_monopole_projected_routing_P0697,6,6b,0.8049590237318596,-5.299632900000001,True,1.0,-1.674275261621279,-1.8058963402805142,4.284016548799857,14.833048916531855
RXJ2129,coherent_monopole_projected_routing_P0697,6,6c,1.7125179231929197,-6.634811124000012,True,0.0,-2.237559033396039,-0.5589603161123616,7.247004277816048,-15.327472556540181
RXJ2129,coherent_monopole_projected_routing_P0697,7,7a,-10.01842785083087,10.257536087999991,True,2.0,-10.465882442610562,9.601042114462379,0.7944809305426623,3.4430735757753825
RXJ2129,coherent_monopole_projected_routing_P0697,7,7b,-7.485830922116288,-2.1700512000000174,True,0.0,-6.51962339038258,-1.6419635267511852,1.1011056193736868,-7.050248808343878
RXJ2129,coherent_monopole_projected_routing_P0697,7,7c,3.7040355081620837,-19.321482528000033,True,1.0,-4.5806690062275575,-4.888704185877267,16.64155700538853,6.531598636295372
