domain,variant,systems,median_activation,minimum_activation,maximum_activation
sealed_cluster_baryons_only,component_cancellation,4,0.022257062978768,0.008424246325346132,0.04813471953485075
sealed_cluster_baryons_only,hybrid,4,0.08166670244647076,0.01792083699675847,0.12181808949712096
sealed_cluster_baryons_only,path_incoherence,4,0.06192255533696179,0.009863857087710233,0.08060873420933061
sealed_galaxy_baryons_only,component_cancellation,13,0.02388006892876114,0.010412074722798481,0.043853919867766614
sealed_galaxy_baryons_only,hybrid,13,0.09666363819440354,0.044136002006082364,0.169201981247794
sealed_galaxy_baryons_only,path_incoherence,13,0.07669108029904717,0.028792894077510532,0.14808437313255438
