case,domain,variant,cell_kpc,geometry_weighted_mean,geometry_median,geometry_p90,geometry_maximum,geometry_r80_kpc,geometry_active_pixels,activation_weighted_mean,activation_median,activation_p90,activation_maximum,activation_r80_kpc,activation_active_pixels,median_trace_length_kpc,median_screen
CVnIdwA,sealed_galaxy_baryons_only,path_incoherence,0.11410718438405265,0.060885041562480174,0.007599517942756595,0.12313110625684709,0.9107174354136715,1.4380676828974952,721,0.05704056361860907,0.0071963425138170615,0.11490309817714786,0.8641886787056564,1.4380676828974952,721,1.127884491633201,0.9880544604198401
CVnIdwA,sealed_galaxy_baryons_only,component_cancellation,0.11410718438405265,0.017983982366215085,0.0017244514909428021,0.04690260279922753,0.7866640830365443,1.4380676828974952,721,0.01709016648698754,0.0016294231285593323,0.04464304373127861,0.7748403921174346,1.4380676828974952,721,1.127884491633201,0.9880544604198401
CVnIdwA,sealed_galaxy_baryons_only,hybrid,0.11410718438405265,0.07738482710105235,0.013765203961128791,0.2622675380766277,0.9126114003105761,1.4380676828974952,721,0.07272564181353719,0.012996116769313216,0.24740924632466685,0.8659858805139511,1.4380676828974952,721,1.127884491633201,0.9880544604198401
DDO101,sealed_galaxy_baryons_only,path_incoherence,0.14813792082686206,0.10152856507453967,0.00557297228412168,0.3840277578588715,0.9494577117496767,2.4837681943627357,1267,0.09827586940475085,0.005419145696806144,0.37177965289666215,0.9228850370932505,2.4837681943627357,1267,1.541181926124779,0.9865579782697833
DDO101,sealed_galaxy_baryons_only,component_cancellation,0.14813792082686206,0.014199934476890802,0.0021984420539027383,0.040810135428108546,0.577875579070297,2.4837681943627357,1267,0.013782845303442277,0.0021318846360198315,0.039612143994937586,0.5747903859222736,2.4837681943627357,1267,1.541181926124779,0.9865579782697833
DDO101,sealed_galaxy_baryons_only,hybrid,0.14813792082686206,0.11381061831104411,0.013218580043469985,0.4004514687979673,0.9495456401508965,2.4837681943627357,1267,0.11020206630514064,0.012916704235165988,0.3875462250120142,0.9229705046236282,2.4837681943627357,1267,1.541181926124779,0.9865579782697833
DDO126,sealed_galaxy_baryons_only,path_incoherence,0.22690453540566047,0.07907626755869251,0.013010828810392061,0.2092925996976724,0.9132636458389384,3.37119138389492,1000,0.07669108029904717,0.01264684004315424,0.20461665569295487,0.8884752223394876,3.37119138389492,1000,2.251944481037536,0.9916438189912256
DDO126,sealed_galaxy_baryons_only,component_cancellation,0.22690453540566047,0.012252249727582896,0.0024745663371825155,0.04345604168437434,0.32794980334692625,3.37119138389492,1000,0.011981342985486372,0.0024112444292636627,0.0426066150779354,0.32361441295199633,3.37119138389492,1000,2.251944481037536,0.9916438189912256
DDO126,sealed_galaxy_baryons_only,hybrid,0.22690453540566047,0.09035684867048745,0.024846837070346295,0.2475571966473158,0.9139554071794839,3.37119138389492,1000,0.08772485138079317,0.024247763498384894,0.24180200019819453,0.8891482074228723,3.37119138389492,1000,2.251944481037536,0.9916438189912256
DDO133,sealed_galaxy_baryons_only,path_incoherence,0.2851490045969207,0.07700227966619612,0.018847732355777247,0.18496486726466627,0.862016435408284,4.7705035317132,1268,0.07444152991131595,0.018469927104611088,0.17893389492197595,0.8313179106834048,4.7705035317132,1268,2.727760227173274,0.9875430965986775
DDO133,sealed_galaxy_baryons_only,component_cancellation,0.2851490045969207,0.020708821566900668,0.0051523717570542416,0.08508740551263455,0.9571316969285436,4.7705035317132,1268,0.02024147655033366,0.005049954673878991,0.08317802352306257,0.9563376586295623,4.7705035317132,1268,2.727760227173274,0.9875430965986775
DDO133,sealed_galaxy_baryons_only,hybrid,0.2851490045969207,0.09614351470335225,0.03870171001048006,0.2826326725003163,0.9674077258946783,4.7705035317132,1268,0.09315189171697201,0.0375412887021947,0.2784088091523484,0.9666051625822776,4.7705035317132,1268,2.727760227173274,0.9875430965986775
DDO210,sealed_galaxy_baryons_only,path_incoherence,0.04344171314303513,0.089514174262313,0.008222802335299817,0.20437968493818268,0.9634863129499583,0.716505744129723,1233,0.08794096694075074,0.008133528037211245,0.20075953006892946,0.9427274256036249,0.716505744129723,1233,0.34053294887960966,0.9963621890496646
DDO210,sealed_galaxy_baryons_only,component_cancellation,0.04344171314303513,0.044404763048189,0.0071473726655467695,0.15093511655676164,0.9465094052618679,0.716505744129723,1233,0.043853919867766614,0.007112769320827592,0.1488893908793552,0.9451818253963081,0.716505744129723,1233,0.34053294887960966,0.9963621890496646
DDO210,sealed_galaxy_baryons_only,hybrid,0.04344171314303513,0.12938936953517463,0.02916710855041804,0.3655914986030764,0.963661275971322,0.716505744129723,1233,0.12732928858319809,0.028802233295572337,0.36163943659200376,0.9603139614458629,0.716505744129723,1233,0.34053294887960966,0.9963621890496646
DDO216,sealed_galaxy_baryons_only,path_incoherence,0.08272547059992252,0.06704965385098144,0.007256526859180212,0.15967399654331874,0.8622135200017064,1.483225777087622,1449,0.0659174421949281,0.007144156336928736,0.15795671681155163,0.8488407373796707,1.483225777087622,1449,0.5454615849353542,0.9964223399069455
DDO216,sealed_galaxy_baryons_only,component_cancellation,0.08272547059992252,0.026840549897244596,0.007397357948479177,0.07694422638108558,0.8575057271780272,1.483225777087622,1449,0.026490192797382198,0.007299152508766179,0.07592998109383615,0.8567546260916686,1.483225777087622,1449,0.5454615849353542,0.9964223399069455
DDO216,sealed_galaxy_baryons_only,hybrid,0.08272547059992252,0.090527643627025,0.021359178877686458,0.25618407395541515,0.8737845818054991,1.483225777087622,1449,0.08909267819908168,0.021176435690646287,0.25147944812881506,0.8730192218459835,1.483225777087622,1449,0.5454615849353542,0.9964223399069455
DDO47,sealed_galaxy_baryons_only,path_incoherence,0.391351365955547,0.09866608393359944,0.011565452954253985,0.22499811714713217,0.9247611857858562,8.194402482146042,1980,0.09680493052936104,0.011479318105438155,0.2207884120791555,0.9061340817203556,8.194402482146042,1980,4.910202884322508,0.9964644917923628
DDO47,sealed_galaxy_baryons_only,component_cancellation,0.391351365955547,0.029686927631162086,0.002891336430888014,0.11446968993864605,0.9448892362392671,8.194402482146042,1980,0.029327715224795037,0.0028641149567632043,0.11291039660181831,0.9433257733181502,8.194402482146042,1980,4.910202884322508,0.9964644917923628
DDO47,sealed_galaxy_baryons_only,hybrid,0.391351365955547,0.12523369543915958,0.026379968248063046,0.3554470333403421,0.9463528330569235,8.194402482146042,1980,0.12305124640378513,0.025962433254165078,0.35202762025332074,0.9447869483923174,8.194402482146042,1980,4.910202884322508,0.9964644917923628
DDO50,sealed_galaxy_baryons_only,path_incoherence,0.21575836120636716,0.08289563424274932,0.014084979414171861,0.20395841939397696,0.9309541321382162,5.744909487872629,3207,0.07778596645053354,0.013513034928305231,0.19277485646080014,0.895165133897191,5.744909487872629,3207,3.625612433800789,0.9892097999571712
DDO50,sealed_galaxy_baryons_only,component_cancellation,0.21575836120636716,0.04010576965587692,0.0067932606525120676,0.16465463476167505,0.8969293272273379,5.744909487872629,3207,0.03841319451832425,0.00645517757029331,0.15513149872020054,0.8927240319073958,5.744909487872629,3207,3.625612433800789,0.9892097999571712
