bin_id,pixels,science_counts,scaled_background_counts,background_variance,net_counts,signal_to_noise,source_fraction,valid,gate_target_signal_to_noise,gate_minimum_net_counts,gate_minimum_source_fraction
0,246,1897.0,26.813668425000003,1.7451956802921287,1870.186331575,42.91919173169885,0.9858652248682129,True,True,True,True
1,273,2018.0,28.155557582,1.851178151245468,1989.844442418,44.27508875400756,0.9860477910891972,True,True,True,True
2,246,1650.0,23.960262569,1.5338115628338487,1626.039737431,40.01173834309801,0.9854786287460606,True,True,True,True
3,239,1680.0,27.233175531,1.8399270355027773,1652.766824469,40.30131875865455,0.9837897764696429,True,True,True,True
4,1596,2493.0,170.502509106,10.759347646594966,2322.497490894,46.41506485445859,0.9316074973501804,True,True,True,True
5,302,1668.0,33.118240414,2.147054935385633,1634.881759586,40.004513419238506,0.9801449397997603,True,True,True,True
6,261,1661.0,27.473741439,1.8374841569865303,1633.526258561,40.059102695894474,0.9834595174960867,True,True,True,True
7,299,1761.0,27.462940998,1.807067662251015,1733.537059002,41.28865528864877,0.9844049170936967,True,True,True,True
8,1188,1952.0,115.95552432199999,7.428320111692509,1836.044475678,41.47806681230777,0.9405965551629099,True,True,True,True
9,338,1660.0,26.895412355999994,1.761846965015161,1633.104587644,40.06172145327473,0.9837979443638555,True,True,True,True
10,333,1974.0,37.469337031,2.4916226726557857,1936.530662969,43.55889850587532,0.9810185729326242,True,True,True,True
11,336,1680.0,37.206631965,2.431591785561586,1642.793368035,40.05108018552271,0.9778531952589286,True,True,True,True
12,1840,3042.0,175.248256817,10.886608764120272,2866.751743183,51.88415502691612,0.9423904481206443,True,True,True,True
13,1508,2869.0,176.46627395899998,11.719157934691701,2692.533726041,50.16614065008041,0.9384920620568142,True,True,True,True
14,282,1661.0,29.197136086,1.9279698803008345,1631.802863914,40.01575100023076,0.982421952988561,True,True,True,True
15,391,1677.0,29.746367250999995,1.7955195515073332,1647.253632749,40.203288020106235,0.9822621542927847,True,True,True,True
16,1806,2994.0,172.62208166,11.053995419527972,2821.37791834,51.46774292466679,0.9423439941015365,True,True,True,True
17,333,1777.0,32.089220596000004,2.1377188600714563,1744.910779404,41.3683731328044,0.9819419130016883,True,True,True,True
18,839,2206.0,91.03786317500001,6.047519153437383,2114.962136825,44.968186212202816,0.9587317030031731,True,True,True,True
19,1376,2108.0,134.81083383,8.56855045770925,1973.18916617,42.88965500766499,0.9360479915417457,True,True,True,True
20,575,1728.0,62.010443711,4.082431382081613,1665.989556289,40.03022178223682,0.9641143265561342,True,True,True,True
21,580,1710.0,50.44327263299999,3.1446274093025175,1659.556727367,40.095449615429544,0.9705010101561403,True,True,True,True
22,917,2490.0,106.87642729000001,7.061766182408125,2383.12357271,47.69050486432706,0.9570777400441768,True,True,True,True
23,404,1697.0,47.61859953,3.1460967198676224,1649.38140047,40.001656069456786,0.9719395406423099,True,True,True,True
24,342,1717.0,42.881140432,2.847811463748835,1674.118859568,40.36837614526407,0.9750255443028538,True,True,True,True
25,574,1703.0,46.253069137,2.8809042377692533,1656.746930863,40.11269310966079,0.9728402412583675,True,True,True,True
26,441,1701.0,48.994626834,3.221854697061164,1652.005373166,40.01735595695814,0.9711965744656085,True,True,True,True
27,362,1687.0,40.14715431,2.6422907910603355,1646.85284569,40.06428614609527,0.9762020424955543,True,True,True,True
28,576,1741.0,66.13589617599999,4.36271750251766,1674.864103824,40.09006194845113,0.9620126960505457,True,True,True,True
