group_id,label,root_bin_id,member_bins,cells,expected_full_pha_source_counts,combined_full_pha_source_counts,full_pha_count_conservation_exact,links_exact,source_path,source_sha256,background_path,background_sha256,arf_path,arf_sha256,rmf_path,rmf_sha256
13,BULLET_primary8000_region013,92,8,72,13591,13591,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region013/BULLET_primary8000_region013_src.pi,fff1ff439014d15b899bacbff0c69098e8459d59a2938c99d3a76dba3f679045,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region013/BULLET_primary8000_region013_bkg.pi,c1b353a69c343db75b42871a57a5135255575e908e7ce5414ff71fe70e862362,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region013/BULLET_primary8000_region013_src.arf,8049c9cba402403fbdf83631940335c28671be79f71baab25ca3c6cb6600449b,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region013/BULLET_primary8000_region013_src.rmf,210fdff585e5ba6e936a9f8dc77e86a729942709fed5bc40f32f7c0d9b0dff59
14,BULLET_primary8000_region014,94,8,72,13619,13619,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region014/BULLET_primary8000_region014_src.pi,ef67ed0cb8fd3c22860a2072bea510262b460f8567a4249062528e92ccb30119,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region014/BULLET_primary8000_region014_bkg.pi,3b97970465bcd025f12aee1df0f71db36567077f495dcc022e27a50d026cbebf,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region014/BULLET_primary8000_region014_src.arf,8cb1fb64f87b1483df2baea996570261ec8abe4e65d6e8b19d28faa3fa90f249,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region014/BULLET_primary8000_region014_src.rmf,5335cf4e5d0dfc84e3f6ec645d2c0a7468a91a07d6b6903c6e5346c7154d9d1c
15,BULLET_primary8000_region015,100,7,80,16825,16825,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region015/BULLET_primary8000_region015_src.pi,c1c540241182090118fef7046e08e341b2d93fd45bb85270d89f252c5e884693,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region015/BULLET_primary8000_region015_bkg.pi,1acfd728236dcf1f72b3b127f4223a78c38acb76e03b6d1754de9f2bc0dcb031,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region015/BULLET_primary8000_region015_src.arf,329c1f5ff07a2cc44e6cac4fb54d305e419eb9d8eec0ffb784c99fb039117070,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region015/BULLET_primary8000_region015_src.rmf,8a850828ad9037a9999dfccf8089ffe0ca9a5f96616c0cef64dba07bbd0608a5
16,BULLET_primary8000_region016,101,15,135,33770,33770,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region016/BULLET_primary8000_region016_src.pi,92d95465c1d035cdd20fa6280cae2ae7f093f2dd5905c759f017c9db51ddeee1,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region016/BULLET_primary8000_region016_bkg.pi,184cf9ae0b7b76b2c471391b0d094d089c51d93fee2385e43331d26e6b81fff0,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region016/BULLET_primary8000_region016_src.arf,193595678f0c7acb07a3746ef55c428e4f7d2371b0aac5f0fad06baef43a95b2,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region016/BULLET_primary8000_region016_src.rmf,2f067b16405d4d7c66ce54a173556e2161df6f813ee5203d7b8a90b6c8fe7077
17,BULLET_primary8000_region017,109,6,64,10225,10225,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region017/BULLET_primary8000_region017_src.pi,65bd61f2dd21d4458e1752f589312a009fdfcdd64fe7c5cb61823fe201b5ce72,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region017/BULLET_primary8000_region017_bkg.pi,76558c34dbfa30bd960c81f4e040abb98de8779754466c6d38484a01871e0e31,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region017/BULLET_primary8000_region017_src.arf,d8f5794007b19712788fb303282509e21f68f5cba6ba1cd08e0071eef8f12ef4,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region017/BULLET_primary8000_region017_src.rmf,3c8b8f47efd63a972515f08a06f2db13f28ee73ec5da5b07e9ce0de99dfa0ddc
18,BULLET_primary8000_region018,114,13,117,22495,22495,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region018/BULLET_primary8000_region018_src.pi,341219ddc1440216664aa19d98bdff1be98140d2cae2f9fc6b0f4135275b7a90,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region018/BULLET_primary8000_region018_bkg.pi,34e2ffc3a0796826d0968208df19a8e3407f41fa7cbf89fb3bd9ffc5a91897e3,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region018/BULLET_primary8000_region018_src.arf,650d4f75db6f4233f250d6458a2e8278928ef786626864dddeeed70a250e9cd5,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region018/BULLET_primary8000_region018_src.rmf,4f1a72f120bdcba63c98c0708c5c4fcb527038d2a4bdd9063ddf1c0de76c1e0e
19,BULLET_primary8000_region019,117,7,65,16530,16530,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region019/BULLET_primary8000_region019_src.pi,51838973c02d48420b6f17e2777fce63ac1ace43813dcba96099bebccbb31e53,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region019/BULLET_primary8000_region019_bkg.pi,7e93e0d4c4d28362c855d7309f53e790f78c3a8b5f833d408f0a417bb9d8554e,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region019/BULLET_primary8000_region019_src.arf,75927b67195ec3821007f3706b9265368ce7b9cb23c8f579b8eca0fa24cb4e3b,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region019/BULLET_primary8000_region019_src.rmf,a4c8a543e06fe500ddb155e0a1846ac21429990560f2ef420f60bf5e39b00192
20,BULLET_primary8000_region020,120,12,131,25376,25376,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region020/BULLET_primary8000_region020_src.pi,30d20b3a61c113059f7ecd555999745d16fc13a26aae2f29e22f03c2f3da3a3b,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region020/BULLET_primary8000_region020_bkg.pi,b0fe3dd1603e28ae5e98f65e1eee523014edf8bff96d5205b87115017eba46a7,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region020/BULLET_primary8000_region020_src.arf,ab7e69ebec215cefb110c2d84537787ebf48db134bd0d4c490daea162a13f588,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region020/BULLET_primary8000_region020_src.rmf,901a6dfdf39586d6ede8ff2b1b26f7f650cdfa6f5b128cf0973915de9f984a8b
21,BULLET_primary8000_region021,128,6,61,10339,10339,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region021/BULLET_primary8000_region021_src.pi,ec706a6c2abded00f6142cf17bef66948316a259c55c36461bceabd48468e0b0,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region021/BULLET_primary8000_region021_bkg.pi,921e3e1342639daed0e8809ba26c85921ea05012889430575ca6d8bec94c0cbb,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region021/BULLET_primary8000_region021_src.arf,73fa72acaf820ec1b1fb5c7021e834150957b93d134b729e1eccbb5a0bced02e,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region021/BULLET_primary8000_region021_src.rmf,ce0e27f666294a86c01d50fc4da7396223c66b0b0246f1172765c99bfc535649
22,BULLET_primary8000_region022,129,5,45,12075,12075,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region022/BULLET_primary8000_region022_src.pi,5d92ace72682634f141ba1eaf031f069cd4428b0184acfa3cfe2e8e496abbe93,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region022/BULLET_primary8000_region022_bkg.pi,eccf964007e60aa4bb2988c9db2dbf57b383c7f294be5592acda6138f4f5a699,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region022/BULLET_primary8000_region022_src.arf,80364a41e90caaad62532615e20db8e3b81c9b07cf72b47cd0f97f6dd7ade675,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region022/BULLET_primary8000_region022_src.rmf,8b6e30754e1c04ac0920d48265c1e56830eedb1a46d3c653a1c3fe1648c12e8f
