group_id,label,root_bin_id,member_bins,cells,expected_full_pha_source_counts,combined_full_pha_source_counts,full_pha_count_conservation_exact,links_exact,source_path,source_sha256,background_path,background_sha256,arf_path,arf_sha256,rmf_path,rmf_sha256
33,BULLET_primary8000_region033,224,5,45,9003,9003,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region033/BULLET_primary8000_region033_src.pi,7bf30336187f8753865b70771b7ddea8994ba203e85d790ecd2cc1f2b926309d,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region033/BULLET_primary8000_region033_bkg.pi,1ed031147ec2f18551069a74d3d71a2ff2e19cd576aa906eaddc632715e2842c,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region033/BULLET_primary8000_region033_src.arf,93091c946e8dacf513fac2aee91a9e22835190090bcc38278d67cb87e3848b9f,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region033/BULLET_primary8000_region033_src.rmf,4a82e69393617f71b7b59031f59f03cf1d00c469aecaead58dbe7e8a56e6e6bc
34,BULLET_primary8000_region034,225,11,114,20204,20204,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region034/BULLET_primary8000_region034_src.pi,b85e2881609544303c6b00b736ce22b22a37a779878bd3e5c652047b26ba0eae,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region034/BULLET_primary8000_region034_bkg.pi,1835a99f90087187a8a3f7367cb7d4b6756ebbeef11eb27d3aa3a1ba9319bdab,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region034/BULLET_primary8000_region034_src.arf,a1cdd860e20ac2267174c2fe7d155e713e1c11cd111aabcffbd1fc6b19bfa985,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region034/BULLET_primary8000_region034_src.rmf,c43dcff83396bd53fef21e0c8062797f3a55b181eeba00c7c0926f70182ee911
35,BULLET_primary8000_region035,232,11,99,19975,19975,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region035/BULLET_primary8000_region035_src.pi,366a5bca204c3ad03606446e8f230a631b00b6023c24a94c7d88d8a3e1e1c21f,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region035/BULLET_primary8000_region035_bkg.pi,132f3dc658b00a0d72fd86e65961c4aa1948994b96873d6b1cf90d66e39f442b,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region035/BULLET_primary8000_region035_src.arf,bccf88166f8aa90fc4d4c16bbbcabc591f321558ea2f78e170e5694d53d89567,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region035/BULLET_primary8000_region035_src.rmf,5b264a4668950036d4fcabcf60ca064d727bc41546cbe8be67e7581e56b433d3
36,BULLET_primary8000_region036,238,7,65,13132,13132,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region036/BULLET_primary8000_region036_src.pi,b2de24b22f723e659022a91fc798d752beae408469fbb1a85a63a044677ad695,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region036/BULLET_primary8000_region036_bkg.pi,1b9944890209fed85c926515c669a6507c54e81f8245ec2f9f2699e257667d1c,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region036/BULLET_primary8000_region036_src.arf,bf5e43788f34a56db57304e92eaae53035376745192332c9c9d051c32e0f1687,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region036/BULLET_primary8000_region036_src.rmf,98daa9739b190b451950657a2f2848210d763725ac031f183984f0375bcefe6c
37,BULLET_primary8000_region037,250,5,45,10478,10478,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region037/BULLET_primary8000_region037_src.pi,350588ad04261735a685d98c4352c7d37c752af2085664ffd055a39d84ca016d,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region037/BULLET_primary8000_region037_bkg.pi,0ce49ea033e3acb27172dc6c543301e68e3c7632785810b40f88862ee50e8999,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region037/BULLET_primary8000_region037_src.arf,26e652ed7053ff4676392948e5ac31fb4564084df5e8c849975060aa557f367e,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region037/BULLET_primary8000_region037_src.rmf,79cc233fb1a973360c8f907f7090de35bc09b4328466185dd8a04a9686412222
38,BULLET_primary8000_region038,258,9,81,16253,16253,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region038/BULLET_primary8000_region038_src.pi,7a0dd3788a7ca3d5e96b6609718371ba78be35067bf64fd8c098f806b8ddbaf9,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region038/BULLET_primary8000_region038_bkg.pi,df710832354ceb7807d5881c06ef0635ad46861397041fe64f87d82ee56eba51,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region038/BULLET_primary8000_region038_src.arf,3b7af4f620d17f697540fa25f4ccb44f150fec36a7fdd8e8684721ebea80c4a1,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region038/BULLET_primary8000_region038_src.rmf,046085c97932fb79900a990c5682f2ac18aedd4e85f09d86eebc7ae34fed946c
39,BULLET_primary8000_region039,263,6,54,10312,10312,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region039/BULLET_primary8000_region039_src.pi,3b75ed1da81cb5b3e130b51b39ae2ce159b654f8e165a7c05e2f833bc574d0de,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region039/BULLET_primary8000_region039_bkg.pi,5544e3c1944da652a29d4ecadfdfa809555e986926ade24c89543ff03d89d448,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region039/BULLET_primary8000_region039_src.arf,8d078a778a437231f4e89bd8d9484795a45afeccaa636c51c6bc5a902feb355d,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region039/BULLET_primary8000_region039_src.rmf,e6307a09dd65f4b249bb1a5d2f7c205234c276e927b21f1b27c34e11e2a4e7df
40,BULLET_primary8000_region040,293,5,55,8640,8640,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region040/BULLET_primary8000_region040_src.pi,ece3bd87541e115d5ba4633f012492a3d0f2979cc8d26869b2f75717b1c326f5,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region040/BULLET_primary8000_region040_bkg.pi,4e582f4e7526d3c108ef06c7ce92800951c8cd0c190abf64a24a68ee6d2d7c95,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region040/BULLET_primary8000_region040_src.arf,30c6c883956917966525c7d86597d102e6d506d14b101a4b2c595c2cdd7dfd95,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region040/BULLET_primary8000_region040_src.rmf,80da0b0db8907991908da6c844b547cd9d48e87b62033f64bdd8ed66c71bd548
41,BULLET_primary8000_region041,294,7,65,12948,12948,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region041/BULLET_primary8000_region041_src.pi,2cf2735e40d18c05bd025fc1a728a2b670d951faf113c35ba6b30b3dd169df7e,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region041/BULLET_primary8000_region041_bkg.pi,e9b8a0cd600d395d327875d798f897dee22e1b828654d6d0c151603385840df2,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region041/BULLET_primary8000_region041_src.arf,0224b05be77445679bd33d9e3afbf0a6d77d1fa97cd78a97604395ef9f5d6a43,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region041/BULLET_primary8000_region041_src.rmf,c9ea8faed71209822663f3f8325f3668af7912c2238025a964ce2ed8b0404eb1
42,BULLET_primary8000_region042,295,8,87,14215,14215,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region042/BULLET_primary8000_region042_src.pi,75c479e0cbf9b9086507d083f0885003ab2216e966b81b7dadd87a2b3047a55a,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region042/BULLET_primary8000_region042_bkg.pi,601b720982f5960d2a4d1cca3745b582f6d38ce6a87f78698adb6145a64cca01,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region042/BULLET_primary8000_region042_src.arf,b5dd569af4a2a1e042bfa2d31a484af75b94402f61890c192f9922c69a46158d,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region042/BULLET_primary8000_region042_src.rmf,8269a8bb784037058c8490df8315619cd01847e0125e280449036cfcfec569fb
43,BULLET_primary8000_region043,315,5,54,8525,8525,True,True,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region043/BULLET_primary8000_region043_src.pi,f68f0f963c3708010e53ec1d540d7e9604785beb0e686e38ff22ba9368995d8f,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region043/BULLET_primary8000_region043_bkg.pi,87e63de469f0483beb8fd2bf5b103a97b84a67ef7d4011c31c122dd85b2b949a,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region043/BULLET_primary8000_region043_src.arf,ca02bce01569d4527d3db4ef59c2aae69fde3530a7f8f10b3c54fbb3bba6b4fe,results/sigma_v19db_bullet_velocity_combination/frozen_products/BULLET_primary8000_region043/BULLET_primary8000_region043_src.rmf,e2c50c7fde33ca23b721522424865f339fbfa51331a30187dd6cb2e7732c7fb0
