system,validObservationPoints,rmseMPerS,inverseVarianceWeightedRmseMPerS,chiSquare,rmseKmS
DDO53,9,2715.697373011621,3880.9307355952837,9.510462095137335,2.715697373011621
DDO101,10,28349.27441019462,30298.18445007462,996.4615235098631,28.34927441019462
DDO50,26,10999.458924837842,9135.2808071189,92.05478769469778,10.99945892483784
