galaxy,cv_fold,C_R50_over_R80,shape_activation,effective_route_fraction,R80_kpc,simple_shape_RMSE_km_s,fixed_RAR_RMSE_km_s,delta_MSE_km_s2
CamB,2,0.7427406370153302,0.8064968764940043,0.24194906294820126,0.8834191145732155,2.8409843878708028,3.3043278563028333,2.8473902898132355
D631-7,4,0.6237092011259662,0.5589968971989756,0.16769906915969268,3.437369032454009,13.899962156881562,12.39114705452396,-39.66842263590175
DDO064,1,0.7422700402562312,0.8057614053095579,0.24172842159286734,2.3487244501598172,2.2013107855342833,3.561524398895069,7.838686869415319
DDO154,0,0.7603293383254923,0.8324781776838271,0.24974345330514813,3.4368927435069634,2.6647520408656673,1.0644384071953121,-5.967874316585246
DDO161,1,0.7356408719774632,0.795175400596733,0.23855262017901988,4.60215540696504,5.4664177389280715,3.036988474004326,-20.658423905232368
DDO168,0,0.6584516519323614,0.6421059938872763,0.1926317981661829,3.0461010407160156,6.396081018902664,4.3999194102732755,-21.550561583467406
DDO170,3,0.7427673812111837,0.8065386099752324,0.2419615829925697,5.574447345329753,1.4012280467636407,4.198389602418979,15.66303521466275
ESO079-G014,1,0.7585739785608185,0.8300158762460101,0.24900476287380302,13.997870598242486,9.588660283357765,1.89564376298376,-88.3489407535034
ESO116-G012,3,0.6061131190138883,0.5152780399662235,0.15458341198986703,11.079186526401863,3.27298587818601,2.9872376500580446,-1.7888477808807384
ESO563-G021,0,0.6371788733244474,0.5918911286337624,0.17756733859012871,19.71627085279749,14.9201432776992,11.098557526849449,-99.43269625028604
F568-3,4,0.7301487775940422,0.7860852668156065,0.23582558004468196,13.817226935760239,5.632466190861184,10.416073442941265,76.76991057755198
F568-V1,3,0.7281167640663961,0.7826484691453621,0.23479454074360862,13.869997373981077,14.893839294078077,19.611871525410436,162.79905581138047
F571-8,3,0.308761587129883,0.05154475573932869,0.015463426721798608,7.441445937492403,47.069008653363085,46.839840522143895,-21.52091547049622
F574-1,0,0.7702212278992244,0.8458234504492862,0.25374703513478586,11.59251165423477,6.1664551878174825,11.145093570735817,86.1879411170957
F583-1,0,0.7704529293754183,0.8461253613536607,0.2538376084060982,17.92757499341419,15.165172900392353,18.917064943406817,127.87287697427658
F583-4,2,0.6866170728628539,0.7039482820566808,0.21118448461700423,5.334457196896905,2.760010142214344,1.4982179192625789,-5.372999051526553
IC2574,3,0.7977530480593363,0.8784176636340097,0.2635252990902029,8.933388064884491,6.022921245594296,3.212630753904274,-25.9545839696996
IC4202,4,0.6626198368050237,0.6516269547257906,0.19548808641773716,14.176724895325526,8.915658475264243,19.389473242200264,296.4627065624489
KK98-251,4,0.762348078956195,0.8352746139772442,0.25058238419317325,1.1365168825579473,4.79379880683317,3.1811870515801317,-12.860555943254031
NGC0024,2,0.47642115996725226,0.22516992631391278,0.06755097789417383,5.163064265650039,3.372212199303209,3.389364747027769,0.11597827126522908
NGC0055,4,0.7081480760336993,0.7467741011905399,0.22403223035716197,7.370642203774981,2.875417111472938,1.4589396382392692,-6.139518696925644
NGC0100,2,0.5195167240192342,0.30899269493548503,0.0926978084806455,7.404946077084186,9.960783245116845,8.507647938742156,-26.837129406616825
NGC0247,2,0.777139694614586,0.8546313089431921,0.25638939268295763,9.731307366693196,1.4261546293429475,5.193305372848477,24.936503668860542
NGC0289,4,0.3035511255876582,0.049056183268282615,0.014716854980484783,22.011884235313538,13.940649341949307,13.098622997003092,-22.767779657573385
NGC0300,1,0.7497770407229684,0.8172417048575856,0.24517251145727567,6.729840752997619,5.436954443591024,2.776954369316797,-21.848998052416533
NGC0801,2,0.5049910166551959,0.27886675610392125,0.08366002683117638,16.60360635938944,12.90943848187188,15.892204085529205,85.9085487788766
NGC0891,4,0.38591113830001855,0.10518572204406616,0.03155571661321985,8.49744758976669,3.5022808908024436,2.647853104722187,-5.254845373893033
NGC1003,3,0.4650944215398736,0.20602478233484625,0.06180743470045387,25.01763914617727,7.147758110455754,7.6890538296697875,8.031102789973602
NGC1090,1,0.614646066519878,0.5365498545681742,0.16096495637045224,9.28844298788343,2.5894923954439624,3.713687595644349,7.086004691980595
NGC2403,1,0.5842287326792992,0.46065335460976187,0.13819600638292856,12.1389973206539,1.127901273150836,3.355710148049685,9.988629315748362
NGC2683,4,0.5849208437897693,0.4623733789442478,0.13871201368327432,6.68326787456025,27.923228741268133,22.488791450595592,-273.9609624288014
