candidate_id,mass_regime,galaxies,equal_galaxy_RMSE_km_s,mean_residual_km_s,constant_equal_galaxy_RMSE_km_s,constant_mean_residual_km_s
L100_beta0p5,dwarf_below_1e9,20,7.350396575297072,-1.6851599812530154,9.794820243956925,-6.305241370733169
L100_beta0p5,giant_above_1e10,62,12.226853384498478,0.11938877219379969,13.910463131127315,1.4185756964160634
L100_beta0p5,intermediate_1e9_to_1e10,49,11.27437061444036,0.9860591030993802,12.023499294086825,-4.630309454454923
L100_beta1,dwarf_below_1e9,20,7.348370516350694,-1.6816729597758322,9.794820243956925,-6.305241370733169
L100_beta1,giant_above_1e10,62,12.191909553141903,0.1464410787070816,13.910463131127315,1.4185756964160634
L100_beta1,intermediate_1e9_to_1e10,49,11.26128314174994,1.0192432069474806,12.023499294086825,-4.630309454454923
L10_beta0p5,dwarf_below_1e9,20,7.443511361677287,-1.9013562742757848,9.794820243956925,-6.305241370733169
L10_beta0p5,giant_above_1e10,62,12.714911870032727,1.4358311828327999,13.910463131127315,1.4185756964160634
L10_beta0p5,intermediate_1e9_to_1e10,49,11.066082511938196,0.11470825362506927,12.023499294086825,-4.630309454454923
L10_beta1,dwarf_below_1e9,20,7.278855367889396,-1.608449284904425,9.794820243956925,-6.305241370733169
L10_beta1,giant_above_1e10,62,12.47949139787871,1.6716775241360033,13.910463131127315,1.4185756964160634
L10_beta1,intermediate_1e9_to_1e10,49,11.02128089373022,1.3950537110060208,12.023499294086825,-4.630309454454923
L30_beta0p5,dwarf_below_1e9,20,7.361050273264283,-1.7104222101189783,9.794820243956925,-6.305241370733169
L30_beta0p5,giant_above_1e10,62,12.295184272784365,0.7021376153776981,13.910463131127315,1.4185756964160634
L30_beta0p5,intermediate_1e9_to_1e10,49,11.218249888614501,0.8454051171514616,12.023499294086825,-4.630309454454923
L30_beta1,dwarf_below_1e9,20,7.339069172456254,-1.672432992759442,9.794820243956925,-6.305241370733169
L30_beta1,giant_above_1e10,62,12.184277230894068,0.8246779219652983,13.910463131127315,1.4185756964160634
L30_beta1,intermediate_1e9_to_1e10,49,11.147087326671123,1.1429444439345553,12.023499294086825,-4.630309454454923
constant,dwarf_below_1e9,20,9.794820243956925,-6.305241370733169,9.794820243956925,-6.305241370733169
constant,giant_above_1e10,62,13.910463131127315,1.4185756964160634,13.910463131127315,1.4185756964160634
constant,intermediate_1e9_to_1e10,49,12.023499294086823,-4.630309454454922,12.023499294086825,-4.630309454454923
