cohort,system_label,candidate_id,coherence_scale_kpc,porous_beta,phase_degrees,epsilon,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec
P0581_four,MACS0329,L10_beta0p5,10.0,0.5,-67.5,0.00961032954760917,3,3,True,19.755433357983073
P0581_four,MACS0329,L10_beta0p5,10.0,0.5,-45.0,0.00961032954760917,3,3,True,19.757852611115055
P0581_four,MACS0329,L10_beta1,10.0,1.0,-67.5,0.00971715708472966,3,3,True,19.805542722198954
P0581_four,MACS0329,L10_beta1,10.0,1.0,-45.0,0.00971715708472966,3,3,True,19.80827115219476
P0581_four,MACS0329,L30_beta0p5,30.0,0.5,-67.5,0.009695675280621686,3,3,True,19.79853412141889
P0581_four,MACS0329,L30_beta0p5,30.0,0.5,-45.0,0.009695675280621686,3,3,True,19.801264991796007
P0581_four,MACS0329,L30_beta1,30.0,1.0,-67.5,0.009801322297849212,3,3,True,19.849378518923693
P0581_four,MACS0329,L30_beta1,30.0,1.0,-45.0,0.009801322297849212,3,3,True,19.852370339132758
P0581_four,MACS0329,L100_beta0p5,100.0,0.5,-67.5,0.010474399441874652,3,3,True,20.240311139549195
P0581_four,MACS0329,L100_beta0p5,100.0,0.5,-45.0,0.010474399441874652,3,3,True,20.246052958106535
P0581_four,MACS0329,L100_beta1,100.0,1.0,-67.5,0.010567589666039068,3,3,True,20.29248330369772
P0581_four,MACS0329,L100_beta1,100.0,1.0,-45.0,0.010567589666039068,3,3,True,20.29851155352303
P0581_four,MACS0429,L10_beta0p5,10.0,0.5,-67.5,0.00627414464511519,2,2,True,13.1795785436937
P0581_four,MACS0429,L10_beta0p5,10.0,0.5,-45.0,0.00627414464511519,2,2,True,13.194603798463111
P0581_four,MACS0429,L10_beta1,10.0,1.0,-67.5,0.0063317931509059054,2,2,True,13.1098240968503
P0581_four,MACS0429,L10_beta1,10.0,1.0,-45.0,0.0063317931509059054,2,2,True,13.124901555132006
P0581_four,MACS0429,L30_beta0p5,30.0,0.5,-67.5,0.006329669350072813,2,2,True,13.091441023006658
P0581_four,MACS0429,L30_beta0p5,30.0,0.5,-45.0,0.006329669350072813,2,2,True,13.106533148006577
P0581_four,MACS0429,L30_beta1,30.0,1.0,-67.5,0.006386664686290999,2,2,True,13.024948014854232
P0581_four,MACS0429,L30_beta1,30.0,1.0,-45.0,0.006386664686290999,2,2,True,13.040066745616057
P0581_four,MACS0429,L100_beta0p5,100.0,0.5,-67.5,0.006834827252436085,2,2,True,12.425485682027231
P0581_four,MACS0429,L100_beta0p5,100.0,0.5,-45.0,0.006834827252436085,2,2,True,12.441288700113377
P0581_four,MACS0429,L100_beta1,100.0,1.0,-67.5,0.006884963573191429,2,2,True,12.386653544175482
P0581_four,MACS0429,L100_beta1,100.0,1.0,-45.0,0.006884963573191429,2,2,True,12.402507181926294
P0581_four,MACS1115,L10_beta0p5,10.0,0.5,-67.5,0.01753309661214712,2,2,True,27.141336441340883
P0581_four,MACS1115,L10_beta0p5,10.0,0.5,-45.0,0.01753309661214712,2,2,True,27.18236893352453
P0581_four,MACS1115,L10_beta1,10.0,1.0,-67.5,0.017759475394548002,2,2,True,27.533762908282764
P0581_four,MACS1115,L10_beta1,10.0,1.0,-45.0,0.017759475394548002,2,2,True,27.56534739910621
P0581_four,MACS1115,L30_beta0p5,30.0,0.5,-67.5,0.017694798496229056,2,2,True,27.479173071523125
P0581_four,MACS1115,L30_beta0p5,30.0,0.5,-45.0,0.017694798496229056,2,2,True,27.512628207784363
P0581_four,MACS1115,L30_beta1,30.0,1.0,-67.5,0.017918941182275692,2,2,True,27.867186114975723
P0581_four,MACS1115,L30_beta1,30.0,1.0,-45.0,0.017918941182275692,2,2,True,27.889682447063063
P0581_four,MACS1115,L100_beta0p5,100.0,0.5,-67.5,0.019183336256799955,2,2,True,30.28956676318288
P0581_four,MACS1115,L100_beta0p5,100.0,0.5,-45.0,0.019183336256799955,2,2,True,30.177502130594544
P0581_four,MACS1115,L100_beta1,100.0,1.0,-67.5,0.01938328855967749,2,2,True,30.489235966847385
P0581_four,MACS1115,L100_beta1,100.0,1.0,-45.0,0.01938328855967749,2,2,True,30.365314212448023
P0581_four,MACS1931,L10_beta0p5,10.0,0.5,-67.5,0.021154777554973254,4,4,True,26.896901366083064
P0581_four,MACS1931,L10_beta0p5,10.0,0.5,-45.0,0.021154777554973254,4,4,True,26.93224096836944
P0581_four,MACS1931,L10_beta1,10.0,1.0,-67.5,0.021081792605049235,4,4,True,26.973993132908653
