candidate_id,coherence_scale_kpc,porous_beta,phase_degrees,galaxy_RMSE_km_s,galaxy_improvement_fraction,galaxy_fold_wins,dwarf_mean_residual_km_s,dwarf_constant_mean_residual_km_s,dwarf_bias_improves,giant_mean_residual_km_s,giant_constant_mean_residual_km_s,giant_bias_improves,derived_cluster_improvement_fraction,Solar_potential_endpoint_pass,raw_roots,raw_RMS_arcsec,raw_original_scalar_RMS_arcsec,raw_improvement_vs_original_fraction,all_diagnostic_rules_pass
L10_beta0p5,10.0,0.5,-67.5,11.435863353291683,0.09676616692519058,5,-1.9013562742757848,-6.305241370733169,True,1.4358311828327999,1.4185756964160634,False,0.0021429392423772953,True,18,20.130144856444737,20.14511674755416,0.000743202002601473,False
L10_beta0p5,10.0,0.5,-45.0,11.435863353291683,0.09676616692519058,5,-1.9013562742757848,-6.305241370733169,True,1.4358311828327999,1.4185756964160634,False,0.0021429392423772953,True,18,20.15359344780348,20.14511674755416,-0.0004207818875188174,False
L30_beta0p5,30.0,0.5,-67.5,11.26466647396399,0.11028773576075113,5,-1.7104222101189783,-6.305241370733169,True,0.7021376153776981,1.4185756964160634,True,-0.00034463712093013577,True,18,20.20734612086838,20.14511674755416,-0.0030890549850883797,False
L30_beta0p5,30.0,0.5,-45.0,11.26466647396399,0.11028773576075113,5,-1.7104222101189783,-6.305241370733169,True,0.7021376153776981,1.4185756964160634,True,-0.00034463712093013577,True,18,20.228820809763338,20.14511674755416,-0.004155054709193529,False
L10_beta1,10.0,1.0,-67.5,11.27969717252368,0.10910057261841155,5,-1.608449284904425,-6.305241370733169,True,1.6716775241360033,1.4185756964160634,False,0.004112955257690176,True,18,20.284400261189916,20.14511674755416,-0.00691400875860726,False
L10_beta1,10.0,1.0,-45.0,11.27969717252368,0.10910057261841155,5,-1.608449284904425,-6.305241370733169,True,1.6716775241360033,1.4185756964160634,False,0.004112955257690176,True,18,20.30574951769841,20.14511674755416,-0.007973782041434507,False
L30_beta1,30.0,1.0,-67.5,11.178690498611447,0.11707833891601449,5,-1.672432992759442,-6.305241370733169,True,0.8246779219652983,1.4185756964160634,True,0.0015371627800386811,True,18,20.342744724907213,20.14511674755416,-0.009810217524653941,False
L30_beta1,30.0,1.0,-45.0,11.178690498611447,0.11707833891601449,5,-1.672432992759442,-6.305241370733169,True,0.8246779219652983,1.4185756964160634,True,0.0015371627800386811,True,18,20.361462032345266,20.14511674755416,-0.010739341325354923,False
L100_beta1,100.0,1.0,-67.5,11.226272422167254,0.11332019649417335,5,-1.6816729597758322,-6.305241370733169,True,0.1464410787070816,1.4185756964160634,True,-0.02776537747931207,True,17,inf,20.14511674755416,-inf,False
L100_beta1,100.0,1.0,-45.0,11.226272422167254,0.11332019649417335,5,-1.6816729597758322,-6.305241370733169,True,0.1464410787070816,1.4185756964160634,True,-0.02776537747931207,True,17,inf,20.14511674755416,-inf,False
L100_beta0p5,100.0,0.5,-67.5,11.249351231387346,0.11149737291971484,5,-1.6851599812530154,-6.305241370733169,True,0.11938877219379969,1.4185756964160634,True,-0.0291424967443199,True,17,inf,20.14511674755416,-inf,False
L100_beta0p5,100.0,0.5,-45.0,11.249351231387346,0.11149737291971484,5,-1.6851599812530154,-6.305241370733169,True,0.11938877219379969,1.4185756964160634,True,-0.0291424967443199,True,17,inf,20.14511674755416,-inf,False
