domain,observable,system,radius_kpc,gbar_m_s2,observed_g_m_s2,chi,mean_density_kg_m3,required_enhancement,predicted_enhancement,predicted_g_m_s2,absolute_fractional_error,passes_5_percent
SPARC,dynamics,CamB,0.16,2.124908088041714e-12,8.021131290080394e-13,4.460686565419308e-09,1.5394843868752599e-21,0.37748132896762415,0.18994141753273408,4.0360805436941485e-13,0.49681903989210285,False
SPARC,dynamics,CamB,0.41,4.965352083982455e-12,1.851639007873364e-12,4.1564010189022695e-09,1.4038519644210426e-21,0.3729119257920295,0.19395148916913685,9.630374309374742e-13,0.47990000921208853,False
SPARC,dynamics,CamB,0.57,5.720879452723729e-12,2.6212844287451225e-12,3.862890475754935e-09,1.1634375131010812e-21,0.458196060659366,0.2024307050228784,1.1580816609657633e-12,0.5582006865541992,False
SPARC,dynamics,CamB,0.73,6.2130666738937905e-12,3.492800932571032e-12,3.535109910877321e-09,9.865935590436944e-22,0.5621701996611698,0.21023378131387394,1.3061965004079053e-12,0.6260317935020645,False
SPARC,dynamics,CamB,0.9,6.117615463818251e-12,4.278188748654278e-12,3.1752651635372955e-09,7.879429740530001e-22,0.6993229263847989,0.22145023767389516,1.3547473984600482e-12,0.6833362251989958,False
SPARC,dynamics,CamB,1.06,5.728303637175385e-12,5.087717750532423e-12,2.849902369602951e-09,6.264339504600906e-22,0.8881717996780573,0.2336231952602903,1.338264599138056e-12,0.7369617056689105,False
SPARC,dynamics,CamB,1.22,5.0153888545088644e-12,5.740163907016662e-12,2.554813590381708e-09,4.765405938015557e-22,1.144510241086535,0.24917523788596907,1.2497107109128843e-12,0.7822865808090841,False
SPARC,dynamics,CamB,1.47,4.226051150235345e-12,6.222296235733182e-12,2.1582080280719663e-09,3.3325182491386253e-22,1.4723665224417997,0.2713793021933587,1.1468628121843087e-12,0.8156849547602466,False
SPARC,dynamics,CamB,1.79,2.8769094791518544e-12,7.314565590661553e-12,1.768024861045405e-09,1.8630662049571284e-22,2.542508078084532,0.3126282846632029,8.994032755985528e-13,0.8770394134209674,False
SPARC,dynamics,D631-7,0.45,8.675209672120727e-12,5.093648036927778e-12,1.676183900313528e-08,2.234717284867657e-21,0.5871498476050774,0.17470075140412122,1.5155656483077911e-12,0.7024596836451422,False
SPARC,dynamics,D631-7,0.9,1.0909014020748938e-11,1.1408983445195033e-11,1.5248981517394816e-08,1.4050704890382047e-21,1.0458308535945735,0.19391330517152205,2.1154029649259016e-12,0.8145844478530804,False
SPARC,dynamics,D631-7,1.35,1.1867945008743392e-11,1.6227902219736228e-11,1.3489489106025097e-08,1.0190532505563558e-21,1.3673725491465247,0.20867430113434116,2.4765351306003196e-12,0.8473903097845648,False
SPARC,dynamics,D631-7,1.8,1.0420489048276934e-11,1.7190713740857636e-11,1.1767734655228435e-08,6.710744717731393e-22,1.6497031627992722,0.2298896530042306,2.3955626114427693e-12,0.8606478679387715,False
SPARC,dynamics,D631-7,2.25,8.561608835254895e-12,1.7343066376120295e-11,1.0301390656685628e-08,4.410907856649555e-22,2.0256784337898286,0.2537885201953096,2.1728380367904284e-12,0.8747143100494493,False
SPARC,dynamics,D631-7,2.69,7.237429989004344e-12,1.8136798414502323e-11,9.10805535984959e-09,3.118797787382393e-22,2.505972208651017,0.2757442529063162,1.9956797252797713e-12,0.889965159248613,False
SPARC,dynamics,D631-7,3.14,5.990463889767301e-12,1.864222162916842e-11,8.086216629404218e-09,2.2114948296373693e-22,3.111982973641224,0.2997471991658526,1.7956247726619273e-12,0.9036796789363122,False
SPARC,dynamics,D631-7,3.59,5.0366882766692035e-12,1.8770882516153305e-11,7.234382522369051e-09,1.6263190389258737e-22,3.726830306950546,0.3233018482090382,1.6283706286999488e-12,0.9132501827072513,False
SPARC,dynamics,D631-7,4.04,4.279295435564272e-12,1.9103270868946504e-11,6.5147340993774394e-09,1.2278520148058717e-22,4.464115917350195,0.34676241697050647,1.483898828167123e-12,0.9223222641637099,False
SPARC,dynamics,D631-7,4.49,3.6160315774113514e-12,1.936701251805946e-11,5.904829680327228e-09,9.335573341247599e-23,5.355874832244672,0.37158542811153783,1.3436646417572365e-12,0.9306209648749755,False
SPARC,dynamics,D631-7,4.94,3.094118281920297e-12,1.9700789144479764e-11,5.386478756423811e-09,7.260475842998479e-23,6.367173892348064,0.3962175009884008,1.2259438134249843e-12,0.9377718423138142,False
SPARC,dynamics,D631-7,5.39,2.6453320912270787e-12,1.9261652876609262e-11,4.943113188443028e-09,5.68913916152199e-23,7.28137421403089,0.42197720167173536,1.1162698333484425e-12,0.9420470382007556,False
