case,domain,scenario,downsampling_ratio,added_native_gaussian_sigma_pixels,stellar_filtered_mass_relative_error,stellar_coarse_mass_relative_error,gas_filtered_mass_relative_error,gas_coarse_mass_relative_error
CVnIdwA,registered_galaxy_baryons_only,low,2.0,0.8660254037844386,0.0,0.0,1.1102230246251565e-16,3.3306690738754696e-16
CVnIdwA,registered_galaxy_baryons_only,nominal,2.0,0.8660254037844386,0.0,0.0,1.1102230246251565e-16,3.3306690738754696e-16
CVnIdwA,registered_galaxy_baryons_only,high,2.0,0.8660254037844386,0.0,0.0,1.1102230246251565e-16,3.3306690738754696e-16
DDO101,registered_galaxy_baryons_only,low,2.0,0.8660254037844386,0.0,0.0,0.0,2.220446049250313e-16
DDO101,registered_galaxy_baryons_only,nominal,2.0,0.8660254037844386,0.0,0.0,0.0,2.220446049250313e-16
DDO101,registered_galaxy_baryons_only,high,2.0,0.8660254037844386,0.0,0.0,0.0,2.220446049250313e-16
DDO126,registered_galaxy_baryons_only,low,2.0,0.8660254037844386,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0
DDO126,registered_galaxy_baryons_only,nominal,2.0,0.8660254037844386,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0
DDO126,registered_galaxy_baryons_only,high,2.0,0.8660254037844386,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0
DDO133,registered_galaxy_baryons_only,low,2.0,0.8660254037844386,0.0,0.0,4.440892098500626e-16,0.0
DDO133,registered_galaxy_baryons_only,nominal,2.0,0.8660254037844386,0.0,0.0,4.440892098500626e-16,0.0
DDO133,registered_galaxy_baryons_only,high,2.0,0.8660254037844386,0.0,0.0,4.440892098500626e-16,0.0
DDO210,registered_galaxy_baryons_only,low,2.0,0.8660254037844386,0.0,0.0,0.0,0.0
DDO210,registered_galaxy_baryons_only,nominal,2.0,0.8660254037844386,0.0,0.0,0.0,0.0
DDO210,registered_galaxy_baryons_only,high,2.0,0.8660254037844386,0.0,0.0,0.0,0.0
DDO216,registered_galaxy_baryons_only,low,2.125,0.9375,0.0,0.0,0.0,0.0
DDO216,registered_galaxy_baryons_only,nominal,2.125,0.9375,0.0,0.0,0.0,0.0
DDO216,registered_galaxy_baryons_only,high,2.125,0.9375,0.0,0.0,0.0,0.0
DDO47,registered_galaxy_baryons_only,low,2.8125,1.3143588028008182,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16
DDO47,registered_galaxy_baryons_only,nominal,2.8125,1.3143588028008182,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16
DDO47,registered_galaxy_baryons_only,high,2.8125,1.3143588028008182,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16
DDO50,registered_galaxy_baryons_only,low,4.0,1.9364916731037085,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
DDO50,registered_galaxy_baryons_only,nominal,4.0,1.9364916731037085,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
DDO50,registered_galaxy_baryons_only,high,4.0,1.9364916731037085,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
DDO52,registered_galaxy_baryons_only,low,2.0,0.8660254037844386,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16
DDO52,registered_galaxy_baryons_only,nominal,2.0,0.8660254037844386,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16
DDO52,registered_galaxy_baryons_only,high,2.0,0.8660254037844386,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16
DDO53,registered_galaxy_baryons_only,low,2.5,1.14564392373896,0.0,0.0,0.0,1.1102230246251565e-16
DDO53,registered_galaxy_baryons_only,nominal,2.5,1.14564392373896,0.0,0.0,0.0,1.1102230246251565e-16
DDO53,registered_galaxy_baryons_only,high,2.5,1.14564392373896,0.0,0.0,0.0,1.1102230246251565e-16
DDO87,registered_galaxy_baryons_only,low,2.0,0.8660254037844386,0.0,0.0,0.0,0.0
DDO87,registered_galaxy_baryons_only,nominal,2.0,0.8660254037844386,0.0,0.0,0.0,0.0
DDO87,registered_galaxy_baryons_only,high,2.0,0.8660254037844386,0.0,0.0,0.0,0.0
NGC1569,registered_galaxy_baryons_only,low,16.0,7.984359711335656,0.0,0.0,4.440892098500626e-16,2.220446049250313e-16
NGC1569,registered_galaxy_baryons_only,nominal,16.0,7.984359711335656,0.0,0.0,4.440892098500626e-16,2.220446049250313e-16
NGC1569,registered_galaxy_baryons_only,high,16.0,7.984359711335656,0.0,0.0,4.440892098500626e-16,2.220446049250313e-16
UGC8508,registered_galaxy_baryons_only,low,2.1875,0.9727739010170863,0.0,0.0,0.0,0.0
UGC8508,registered_galaxy_baryons_only,nominal,2.1875,0.9727739010170863,0.0,0.0,0.0,0.0
UGC8508,registered_galaxy_baryons_only,high,2.1875,0.9727739010170863,0.0,0.0,0.0,0.0
AS295,registered_cluster_baryons_only,low,2.0,0.8660254037844386,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16
AS295,registered_cluster_baryons_only,nominal,2.0,0.8660254037844386,0.0,0.0,0.0,0.0
AS295,registered_cluster_baryons_only,high,2.0,0.8660254037844386,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
MACS0025,registered_cluster_baryons_only,low,2.0,0.8660254037844386,2.220446049250313e-16,0.0,1.1102230246251565e-16,2.220446049250313e-16
MACS0025,registered_cluster_baryons_only,nominal,2.0,0.8660254037844386,2.220446049250313e-16,0.0,0.0,0.0
MACS0025,registered_cluster_baryons_only,high,2.0,0.8660254037844386,0.0,0.0,0.0,2.220446049250313e-16
MACS0159,registered_cluster_baryons_only,low,2.0,0.8660254037844386,2.220446049250313e-16,0.0,0.0,0.0
MACS0159,registered_cluster_baryons_only,nominal,2.0,0.8660254037844386,0.0,1.1102230246251565e-16,0.0,0.0
MACS0159,registered_cluster_baryons_only,high,2.0,0.8660254037844386,0.0,0.0,0.0,0.0
PLCKG287,registered_cluster_baryons_only,low,2.0,0.8660254037844386,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
PLCKG287,registered_cluster_baryons_only,nominal,2.0,0.8660254037844386,0.0,0.0,0.0,1.1102230246251565e-16
PLCKG287,registered_cluster_baryons_only,high,2.0,0.8660254037844386,0.0,0.0,0.0,0.0
