case,domain,scenario,common_coarse,common_native,absolute_fractional_change
AS295,registered_cluster_baryons_only,high,0.07953792569458634,0.061657469559554305,0.2899965934826678
AS295,registered_cluster_baryons_only,low,0.07624186648937104,0.05932724739239427,0.28510709396480793
AS295,registered_cluster_baryons_only,nominal,0.07965216533912078,0.061885871843482224,0.28708157397494416
CVnIdwA,registered_galaxy_baryons_only,high,0.0007179952428370533,0.0007882290049867566,0.0891032450028697
CVnIdwA,registered_galaxy_baryons_only,low,0.0009120877789350661,0.0007452475714013201,0.22387219218981058
CVnIdwA,registered_galaxy_baryons_only,nominal,0.0010146092220138475,0.0007202218997116423,0.4087453081058352
DDO101,registered_galaxy_baryons_only,high,0.0007610199395207667,0.0007533899148180038,0.010127590710589773
DDO101,registered_galaxy_baryons_only,low,0.0010758471071434471,0.001027084886745694,0.04747632939304136
DDO101,registered_galaxy_baryons_only,nominal,0.0009383227935732643,0.000912177018319946,0.028663049746061153
DDO126,registered_galaxy_baryons_only,high,0.0025063914542500366,0.0020271999940336617,0.23638094989478287
DDO126,registered_galaxy_baryons_only,low,0.001699992257952905,0.001268894107920289,0.33974320421361526
DDO126,registered_galaxy_baryons_only,nominal,0.0022554416758642742,0.0016682747693805562,0.3519605506602115
DDO133,registered_galaxy_baryons_only,high,0.00657549342652295,0.006029651385664496,0.09052630176202126
DDO133,registered_galaxy_baryons_only,low,0.004443884660047717,0.003910025840052881,0.13653588028145025
DDO133,registered_galaxy_baryons_only,nominal,0.005542748640863054,0.005118820974336861,0.0828174434408917
DDO210,registered_galaxy_baryons_only,high,0.00024761950215894786,0.0001903078829122056,0.3011521034742515
DDO210,registered_galaxy_baryons_only,low,0.00014840098305811048,0.00016135460020215133,0.08028043283434161
DDO210,registered_galaxy_baryons_only,nominal,0.00020571317219103145,0.00019337012467052965,0.06383120216492744
DDO216,registered_galaxy_baryons_only,high,0.0004525684802778711,0.00037105447201977873,0.21968205318853395
DDO216,registered_galaxy_baryons_only,low,0.0004476252067836465,0.00041453633775937805,0.07982139564197932
DDO216,registered_galaxy_baryons_only,nominal,0.0004824095445998188,0.0004424640365640239,0.09027967187117336
DDO47,registered_galaxy_baryons_only,high,0.01993545082135465,0.013797093934737282,0.4449021595165543
DDO47,registered_galaxy_baryons_only,low,0.012770378500216568,0.009809024955475032,0.30190090841685735
DDO47,registered_galaxy_baryons_only,nominal,0.016713633271177745,0.012130930833496978,0.37777005743257663
DDO50,registered_galaxy_baryons_only,high,0.027598955680772648,0.01713811498061452,0.6103845558272147
DDO50,registered_galaxy_baryons_only,low,0.016077483211119514,0.011108952224028879,0.44725469035176935
DDO50,registered_galaxy_baryons_only,nominal,0.022332872709336565,0.014459482166567932,0.5445140048633874
DDO52,registered_galaxy_baryons_only,high,0.0024510627777983365,0.0016752309547177617,0.46311932148560664
DDO52,registered_galaxy_baryons_only,low,0.00163217839546105,0.0012298238669851682,0.327164351967105
DDO52,registered_galaxy_baryons_only,nominal,0.0021591352402506483,0.0015013906622058561,0.43809022834764955
DDO53,registered_galaxy_baryons_only,high,0.0029301780158378335,0.0023438076826821437,0.25017851826676973
DDO53,registered_galaxy_baryons_only,low,0.002120178840301538,0.0017238511488792889,0.22990830251202943
DDO53,registered_galaxy_baryons_only,nominal,0.0026486219520959597,0.0019432076904322352,0.36301537151019425
DDO87,registered_galaxy_baryons_only,high,0.010891054289727952,0.007784335321199846,0.3990988106675304
DDO87,registered_galaxy_baryons_only,low,0.00715710281945413,0.0053177417231287955,0.3458913937706458
DDO87,registered_galaxy_baryons_only,nominal,0.009255176984411053,0.00722893751377824,0.2802956128436347
MACS0025,registered_cluster_baryons_only,high,0.14901352973341728,0.13891159243181006,0.07272206102284895
MACS0025,registered_cluster_baryons_only,low,0.1348363492426453,0.12517011766118485,0.07722475429499354
MACS0025,registered_cluster_baryons_only,nominal,0.14571074388257535,0.135409758890874,0.07607269281088413
MACS0159,registered_cluster_baryons_only,high,0.03535511445732706,0.03271400739962367,0.0807332169807411
MACS0159,registered_cluster_baryons_only,low,0.029820591293155774,0.027550422012850233,0.08240052654172314
MACS0159,registered_cluster_baryons_only,nominal,0.033530001966653886,0.031038876083923188,0.08025825020194577
NGC1569,registered_galaxy_baryons_only,high,0.011768457737202365,0.009035942924086469,0.3024050545773176
NGC1569,registered_galaxy_baryons_only,low,0.02421848383410417,0.01819386687728458,0.3311344969958776
NGC1569,registered_galaxy_baryons_only,nominal,0.01802144183945584,0.013715185126763266,0.3139772939914254
PLCKG287,registered_cluster_baryons_only,high,0.04614908496127933,0.03980620119080895,0.15934411173942697
PLCKG287,registered_cluster_baryons_only,low,0.039811179689917396,0.03446260844809972,0.15519925747560737
PLCKG287,registered_cluster_baryons_only,nominal,0.04420410349819474,0.03816241842159702,0.15831504727642165
UGC8508,registered_galaxy_baryons_only,high,0.00013394100443174522,0.00013024422115759772,0.028383472535601584
UGC8508,registered_galaxy_baryons_only,low,0.00015776009367527506,0.00022915625943021987,0.3115610541578314
UGC8508,registered_galaxy_baryons_only,nominal,0.00015754975646093235,0.00016740397566437874,0.05886490547394585
