case,domain,scenario,resolution,cells,cell_kpc,sigma_weighted_mean,sigma_median,sigma_p90,sigma_maximum,sigma_r80_kpc,sigma_active_pixels,transverse_mismatch_weighted_mean,transverse_mismatch_median,transverse_mismatch_p90,transverse_mismatch_maximum,transverse_mismatch_r80_kpc,transverse_mismatch_active_pixels,survival_weighted_mean,survival_median,survival_p90,survival_maximum,survival_r80_kpc,survival_active_pixels,screen_weighted_mean,screen_median,screen_p90,screen_maximum,screen_r80_kpc,screen_active_pixels,trace_length_kpc_weighted_mean,trace_length_kpc_median,trace_length_kpc_p90,trace_length_kpc_maximum,trace_length_kpc_r80_kpc,trace_length_kpc_active_pixels,sigma_global_minimum,sigma_global_maximum,minimum_eigenvalue_proxy,maximum_direction_norm_error,all_coefficients_finite
CVnIdwA,registered_galaxy_baryons_only,low,common_native,65,0.11410718438405273,0.0007452475714013201,0.0001089586492490976,0.0011101124523890408,0.08199404495992113,1.4534426774688491,728,0.0706553923617149,0.01757820162260826,0.23412764756736565,0.7944318917330053,1.4534426774688491,728,0.008267053694720241,0.006824461655346448,0.011652473305302228,0.2533694550802056,1.4534426774688491,728,0.9474292619566098,0.9510449058277295,0.9635909138331951,0.9941294291302437,1.4534426774688491,728,0.8395673442447286,0.8275176594245153,1.082630501900805,5.405412114824766,1.4534426774688491,728,3.969068653933454e-12,0.08199404495992113,0.0025857280591734468,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,low,common_coarse,33,0.22821436876810547,0.0009120877789350661,9.96859421774279e-05,0.0010107115336330825,0.0840405726459402,1.4597873204293106,184,0.0682568440703584,0.01632740040446301,0.20799915586657627,0.7090029980934823,1.4597873204293106,184,0.009098776184237396,0.007374094147784671,0.0118664740419343,0.25385744498011253,1.4597873204293106,184,0.9475682208762886,0.9512503170578117,0.9639341169111212,0.984298461218434,1.4597873204293106,184,0.8692752407957097,0.8603148934937142,1.0925655289823486,5.41145640760664,1.4597873204293106,184,2.2559837011501996e-10,0.0840405726459402,0.00258569644441971,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,nominal,common_native,65,0.11410718438405273,0.0007202218997116423,0.00014269115046190253,0.0013215417723296495,0.05396051421355062,1.443344789470939,723,0.09369382557465163,0.02431713755201741,0.31488856826275935,0.9297247952018736,1.443344789470939,723,0.007722066872365698,0.006718359427360876,0.011254331730785406,0.23030816071805016,1.443344789470939,723,0.9452265306257929,0.9487769227726054,0.9626371479232981,0.9915563937586513,1.443344789470939,723,0.8178376173075754,0.8210377090537535,1.0638674923770557,5.116298006997177,1.443344789470939,723,5.1456412475672414e-12,0.05396051421355062,0.002672716034078452,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,nominal,common_coarse,33,0.22821436876810547,0.0010146092220138475,0.0001371426804246385,0.0013718109577328835,0.07964249431682119,1.4526081022693493,182,0.09049040517002988,0.022901146938994775,0.2876065832286645,0.8547718988663771,1.4526081022693493,182,0.008615104752817243,0.007185250268527732,0.011521306269078869,0.18965142104531518,1.4526081022693493,182,0.9453101628114948,0.9489222474122344,0.9626496250284721,0.9842034241839953,1.4526081022693493,182,0.8524357651924694,0.8491871501732349,1.076484178613134,4.585747261883735,1.4526081022693493,182,3.1143297068736416e-10,0.07964249431682119,0.00267268932183605,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,high,common_native,65,0.11410718438405273,0.0007882290049867566,0.00018358568327296013,0.0013526669085231087,0.07188543801284764,1.4313415225861092,711,0.11927263030716387,0.03359693059743383,0.4063141617397261,0.9852723443325775,1.4313415225861092,711,0.00736994768492969,0.006429196321109387,0.011170936342453142,0.22095266299526906,1.4313415225861092,711,0.9404723592087835,0.9445656879255513,0.9593407347177441,0.9920721031053242,1.4313415225861092,711,0.7929751727353105,0.8031159701936493,1.0598962144059634,4.996833683287643,1.4313415225861092,711,6.221158642612134e-12,0.07188543801284764,0.0028466742185952955,1.1102230246251565e-16,True
CVnIdwA,registered_galaxy_baryons_only,high,common_coarse,33,0.22821436876810547,0.0007179952428370533,0.00018601023005966076,0.0014896506983171902,0.010470387456446711,1.431279733890346,177,0.11608453432309368,0.032899931953082516,0.3921950312420662,0.9334390346738932,1.431279733890346,177,0.007407641501496401,0.006942251781940523,0.011422038010219772,0.05163046900199619,1.431279733890346,177,0.940399675120662,0.9446984986855204,0.9584469228195043,0.9838723069221672,1.431279733890346,177,0.8146429075706183,0.83465330064182,1.0718079461046883,2.302412909294041,1.431279733890346,177,4.203591817342294e-10,0.010470387456446711,0.002846657291153984,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,low,common_native,65,0.148137920826862,0.001027084886745694,0.0002603765211105812,0.0022489945459048017,0.026658037686154688,2.4800796350978214,1270,0.07829362179915159,0.015948547360998676,0.3069775568062329,0.9951304016943457,2.4800796350978214,1270,0.028736756358129764,0.01792370275821642,0.052234834007532906,0.47452726194966444,2.4800796350978214,1270,0.9796623328639767,0.9805611815461777,0.9870040265473885,0.999591203074318,2.4800796350978214,1270,1.5347181671589336,1.3448523250330218,2.3162140614141915,8.021576952983052,2.4800796350978214,1270,6.141047910600399e-12,0.045638459225611674,0.00040879692486637105,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,low,common_coarse,33,0.296275841653724,0.0010758471071434471,0.0003001687416669833,0.002227878095604181,0.020990949171348045,2.4856477485431596,318,0.07756940390984837,0.01598053277964885,0.3122288690614212,0.9938815886690902,2.4856477485431596,318,0.02982644960240377,0.019464419122703858,0.05065127542439066,0.4470187051960096,2.4856477485431596,318,0.9796780289195209,0.9806485164085648,0.986659390210008,0.9974236411498996,2.4856477485431596,318,1.587653329949604,1.4020103554197503,2.279881789471043,7.696954611919281,2.4856477485431596,318,1.9824053900373644e-10,0.020990949171348045,0.0012957785787927891,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,nominal,common_native,65,0.148137920826862,0.000912177018319946,0.00026109793484192063,0.00226319741001145,0.017109007967526214,2.4917693642585337,1273,0.07556841803839887,0.014965560842234616,0.25597333499422276,0.9684386672674313,2.4917693642585337,1273,0.027310142430383003,0.01910523466305092,0.05199329927501523,0.3719596415336829,2.4917693642585337,1273,0.9699397810840993,0.9714675069375341,0.9779584267759117,0.9975581741582449,2.4917693642585337,1273,1.5171008170877742,1.3888879730944501,2.3107078567046986,6.820196841038361,2.4917693642585337,1273,6.028000555295356e-12,0.02715077244845052,0.00244182579531146,1.1102230246251565e-16,True
DDO101,registered_galaxy_baryons_only,nominal,common_coarse,33,0.296275841653724,0.0009383227935732643,0.0002933549434144866,0.0023492465446620747,0.00940218347003703,2.4941906700581344,317,0.07520848385009332,0.015838507388627094,0.2697158910480526,0.9722976128524741,2.4941906700581344,317,0.027508414344092583,0.020472647885246276,0.0515021635004298,0.2361037210144853,2.4941906700581344,317,0.9699296068097094,0.9713818885292708,0.9781790263293628,0.995307571728627,2.4941906700581344,317,1.549309288019641,1.4382321585550466,2.299473053821584,5.189636398844047,2.4941906700581344,317,1.865025460326608e-10,0.01424491881503625,0.0026100837484927756,1.1102230246251565e-16,True
