system_label,variant_id,effective_strength,training_images,heldout_images,training_RMS_arcsec,training_roots_converged,heldout_RMS_arcsec,heldout_roots_converged,optimizer_cost
A383,P0599_no_route,0.0,10,4,0.7152084846388912,10,9.459411663381385,4,12.23844269647685
A383,P0610_gated_gas_route,1.1957440692021073e-10,10,4,0.7142692268010056,10,9.498700302239914,4,12.237683296227864
MS2137,P0599_no_route,0.0,8,3,inf,7,13.5697703639697,3,281.49124134175173
MS2137,P0610_gated_gas_route,0.0014871505940708765,8,3,inf,7,13.566236821047054,3,281.5303981507503
