galaxy,outer_points,active_outer_points,candidate_MSE_km2_s2,RAR_MSE_km2_s2,median_coherence,p95_formula_velocity_delta_km_s,candidate_RMSE_km_s,RAR_RMSE_km_s,delta_MSE_candidate_minus_RAR_km2_s2,comparison
UGC02916,13,13,232.05271731389095,682.3956974220647,0.6705117378719743,5.213162968778345,15.233276644041194,26.122704634514104,-450.3429801081737,candidate_better
IC4202,10,10,313.52473316318816,375.95167261,0.9070283793362752,0.07652631400184759,17.70662963873103,19.389473242200264,-62.42693944681184,candidate_better
NGC5985,10,10,57.81626137865881,95.77044810106676,0.8634156088690406,0.40767019896078976,7.603700505586659,9.78623768876818,-37.954186722407954,candidate_better
UGC09133,21,21,61.01396834308664,71.36221279509843,0.7988905448538774,1.8950665867851058,7.81114385625349,8.447615805367715,-10.34824445201179,candidate_better
NGC5033,7,7,337.9246196740929,341.0096911314637,0.8751254083765492,0.2524851893832988,18.382726121935587,18.466447712851103,-3.085071457370759,candidate_better
UGC11914,20,20,43.79976833353567,46.29764845061108,0.5695445738994755,2.8600420494232144,6.618139340746436,6.804237536315959,-2.497880117075411,candidate_better
UGC08699,13,13,23.969778215077454,25.44713672009842,0.7649628796334103,1.8615144683145728,4.895894015915526,5.0445155089560805,-1.477358505020966,candidate_better
NGC5005,6,6,39.60617379221073,39.91447188238937,0.8928597401430004,0.13866962262263627,6.2933436098953575,6.317790110662855,-0.3082980901786385,candidate_better
NGC6674,5,5,191.03548369178867,191.17550205163522,0.9587673104478216,0.005387564254948529,13.821558656381294,13.826622944581777,-0.1400183598465503,candidate_better
UGC03546,9,9,10.109706916139494,10.18924004163452,0.8018222043794835,1.8325316755084884,3.1795765309455115,3.192058903221324,-0.07953312549502556,candidate_better
NGC0891,6,6,6.957085737909746,7.011126064186925,0.8544072066161965,0.5554665760701241,2.637628809728493,2.647853104722187,-0.05404032627717914,candidate_better
NGC7331,11,11,96.84309941567768,96.87955702911107,0.9455641899425417,0.013918060467133841,9.840889157778259,9.842741337102742,-0.036457613433384495,candidate_better
ESO116-G012,5,0,8.92358877792431,8.92358877792431,1.0,0.0,2.987237650058045,2.987237650058045,0.0,identical
DDO161,10,0,9.223298991235126,9.223298991235126,1.0,0.0,3.036988474004326,3.036988474004326,0.0,identical
CamB,3,0,10.918582581938876,10.918582581938876,1.0,0.0,3.3043278563028333,3.3043278563028333,0.0,identical
D631-7,5,0,153.54052532683778,153.54052532683778,1.0,0.0,12.391147054523959,12.391147054523959,0.0,identical
F583-4,4,0,2.244656933599491,2.244656933599491,1.0,0.0,1.4982179192625789,1.4982179192625789,0.0,identical
F583-1,8,0,357.8553460730712,357.8553460730712,1.0,0.0,18.917064943406817,18.917064943406817,0.0,identical
KK98-251,5,0,10.11995105714109,10.11995105714109,1.0,0.0,3.1811870515801317,3.1811870515801317,0.0,identical
IC2574,11,0,10.320996360931545,10.320996360931545,1.0,0.0,3.212630753904274,3.212630753904274,0.0,identical
NGC0055,7,0,2.12850486802573,2.12850486802573,1.0,0.0,1.4589396382392692,1.4589396382392692,0.0,identical
NGC0100,7,0,72.38007344958366,72.38007344958366,1.0,0.0,8.507647938742156,8.507647938742156,0.0,identical
NGC0247,8,0,26.97042069565686,26.97042069565686,1.0,0.0,5.193305372848477,5.193305372848477,0.0,identical
NGC0024,9,0,11.487793388394612,11.487793388394612,1.0,0.0,3.389364747027769,3.389364747027769,0.0,identical
NGC0289,9,0,171.5739244176183,171.5739244176183,1.0,0.0,13.098622997003092,13.098622997003092,0.0,identical
ESO563-G021,9,0,123.17797917678656,123.17797917678656,1.0,0.0,11.098557526849449,11.098557526849449,0.0,identical
F568-3,6,0,108.49458596874628,108.49458596874628,1.0,0.0,10.416073442941265,10.416073442941265,0.0,identical
F568-V1,5,0,384.62550472920464,384.62550472920464,1.0,0.0,19.611871525410436,19.611871525410436,0.0,identical
F571-8,4,0,2193.970660139873,2193.970660139873,1.0,0.0,46.839840522143895,46.839840522143895,0.0,identical
DDO168,3,0,19.359290816899527,19.359290816899527,1.0,0.0,4.3999194102732755,4.3999194102732755,0.0,identical
DDO064,5,0,12.684456043924882,12.684456043924882,1.0,0.0,3.561524398895069,3.561524398895069,0.0,identical
DDO154,4,0,1.1330291227124931,1.1330291227124931,1.0,0.0,1.0644384071953121,1.0644384071953121,0.0,identical
NGC5055,9,0,89.4344697798491,89.4344697798491,1.0,0.0,9.456979950272132,9.456979950272132,0.0,identical
NGC3972,3,0,19.775941443065246,19.775941443065246,1.0,0.0,4.44701489125742,4.44701489125742,0.0,identical
NGC2403,22,0,11.260790597723638,11.260790597723638,1.0,0.0,3.3557101480496847,3.3557101480496847,0.0,identical
NGC2903,11,0,52.061767655261754,52.061767655261754,1.0,0.0,7.215384096169916,7.215384096169916,0.0,identical
NGC3198,13,0,170.47758842738384,170.47758842738384,1.0,0.0,13.056706645528337,13.056706645528337,0.0,identical
NGC2915,9,0,6.089793100657036,6.089793100657036,1.0,0.0,2.467750615572213,2.467750615572213,0.0,identical
NGC2976,9,0,23.733983125760783,23.733983125760783,1.0,0.0,4.871753598629634,4.871753598629634,0.0,identical
NGC2998,4,0,66.0738600772641,66.0738600772641,1.0,0.0,8.128582907079444,8.128582907079444,0.0,identical
NGC3893,3,0,44.4582672031654,44.4582672031654,1.0,0.0,6.667703292976181,6.667703292976181,0.0,identical
NGC3741,7,0,7.1496896666583245,7.1496896666583245,1.0,0.0,2.6738903617497716,2.6738903617497716,0.0,identical
NGC3769,4,0,62.39411105585997,62.39411105585997,1.0,0.0,7.8989943066101755,7.8989943066101755,0.0,identical
NGC3877,4,0,339.04883940857013,339.04883940857013,1.0,0.0,18.4132788880354,18.4132788880354,0.0,identical
NGC3953,3,0,287.15476046680664,287.15476046680664,1.0,0.0,16.945641341265507,16.945641341265507,0.0,identical
NGC3109,8,0,47.404802521980706,47.404802521980706,1.0,0.0,6.885114561282238,6.885114561282238,0.0,identical
NGC3521,13,0,104.49432591892653,104.49432591892653,1.0,0.0,10.222246617986016,10.222246617986016,0.0,identical
NGC3726,4,0,194.00075997193568,194.00075997193568,1.0,0.0,13.928415558559978,13.928415558559978,0.0,identical
NGC5907,6,0,41.428983017380425,41.428983017380425,1.0,0.0,6.43653501640288,6.43653501640288,0.0,identical
NGC5371,6,0,96.50932612644833,96.50932612644833,1.0,0.0,9.823916028063774,9.823916028063774,0.0,identical
NGC3917,6,0,33.781092232380594,33.781092232380594,1.0,0.0,5.812150396572735,5.812150396572735,0.0,identical
NGC3992,3,0,110.03819055013594,110.03819055013594,1.0,0.0,10.489908986742256,10.489908986742256,0.0,identical
NGC4183,7,0,32.002678873342795,32.002678873342795,1.0,0.0,5.657091025725395,5.657091025725395,0.0,identical
NGC4010,4,0,39.98404579139433,39.98404579139433,1.0,0.0,6.32329390360707,6.32329390360707,0.0,identical
NGC4088,4,0,29.913964880536504,29.913964880536504,1.0,0.0,5.469366040094273,5.469366040094273,0.0,identical
NGC4100,8,0,181.395801219803,181.395801219803,1.0,0.0,13.468325850669155,13.468325850669155,0.0,identical
NGC5585,8,0,26.871199393046886,26.871199393046886,1.0,0.0,5.18374376228676,5.18374376228676,0.0,identical
NGC0300,8,0,7.711475569267651,7.711475569267651,1.0,0.0,2.776954369316797,2.776954369316797,0.0,identical
NGC0801,4,0,252.56215069611113,252.56215069611113,1.0,0.0,15.892204085529205,15.892204085529205,0.0,identical
NGC1003,11,0,59.121548795559605,59.121548795559605,1.0,0.0,7.689053829669787,7.689053829669787,0.0,identical
NGC1090,8,0,13.791475558042704,13.791475558042704,1.0,0.0,3.7136875956443487,3.7136875956443487,0.0,identical
F574-1,5,0,124.21311070045685,124.21311070045685,1.0,0.0,11.145093570735817,11.145093570735817,0.0,identical
DDO170,3,0,17.626475253699798,17.626475253699798,1.0,0.0,4.198389602418979,4.198389602418979,0.0,identical
ESO079-G014,5,0,3.5934652761392285,3.5934652761392285,1.0,0.0,1.8956437629837597,1.8956437629837597,0.0,identical
UGC08837,3,0,9.366963831786421,9.366963831786421,1.0,0.0,3.0605495963611538,3.0605495963611538,0.0,identical
UGC08550,4,0,25.210882277493695,25.210882277493695,1.0,0.0,5.021043942995689,5.021043942995689,0.0,identical
UGC11455,11,0,94.0943608007497,94.0943608007497,1.0,0.0,9.700224780939342,9.700224780939342,0.0,identical
UGC07524,10,0,149.3054346719344,149.3054346719344,1.0,0.0,12.219060302328261,12.219060302328261,0.0,identical
UGC08286,6,0,2.7651956345535518,2.7651956345535518,1.0,0.0,1.6628877396124946,1.6628877396124946,0.0,identical
UGC08490,9,0,19.136159347877296,19.136159347877296,1.0,0.0,4.374489609986209,4.374489609986209,0.0,identical
NGC4559,10,0,70.88184797798876,70.88184797798876,1.0,0.0,8.419135821329215,8.419135821329215,0.0,identical
NGC7793,14,0,57.055679902758314,57.055679902758314,1.0,0.0,7.553521026829694,7.553521026829694,0.0,identical
UGC01281,8,0,4.401399487375864,4.401399487375864,1.0,0.0,2.0979512595329433,2.0979512595329433,0.0,identical
UGC02259,3,0,47.84241316888261,47.84241316888261,1.0,0.0,6.916821030566181,6.916821030566181,0.0,identical
UGC00191,3,0,180.51996162501277,180.51996162501277,1.0,0.0,13.435771716764645,13.435771716764645,0.0,identical
UGC04499,3,0,19.331784655588113,19.331784655588113,1.0,0.0,4.3967925417954525,4.3967925417954525,0.0,identical
UGC04278,8,0,78.2953601698495,78.2953601698495,1.0,0.0,8.848466543410192,8.848466543410192,0.0,identical
UGC00731,4,0,333.54963851174944,333.54963851174944,1.0,0.0,18.26334138408822,18.26334138408822,0.0,identical
UGC00128,7,0,12.192776626549582,12.192776626549582,1.0,0.0,3.491815663311794,3.491815663311794,0.0,identical
NGC6503,10,0,6.193717778920208,6.193717778920208,1.0,0.0,2.4887180995283913,2.4887180995283913,0.0,identical
UGC05829,4,0,58.2461371646456,58.2461371646456,1.0,0.0,7.63191569428316,7.63191569428316,0.0,identical
UGC05764,3,0,130.83846048453327,130.83846048453327,1.0,0.0,11.438464078910824,11.438464078910824,0.0,identical
UGC05918,3,0,37.889138632239046,37.889138632239046,1.0,0.0,6.155415390714021,6.155415390714021,0.0,identical
UGC05750,4,0,104.45239939260324,104.45239939260324,1.0,0.0,10.22019566312716,10.22019566312716,0.0,identical
UGC05716,4,0,62.18030293039954,62.18030293039954,1.0,0.0,7.885448809700025,7.885448809700025,0.0,identical
UGC05721,7,0,138.92193805924765,138.92193805924765,1.0,0.0,11.786515093921853,11.786515093921853,0.0,identical
UGC05005,4,0,22.452637563799094,22.452637563799094,1.0,0.0,4.738421421085201,4.738421421085201,0.0,identical
UGC07125,4,0,78.16581590447758,78.16581590447758,1.0,0.0,8.841143359570502,8.841143359570502,0.0,identical
UGC06667,3,0,123.45852469006688,123.45852469006688,1.0,0.0,11.111189166334398,11.111189166334398,0.0,identical
UGC06446,6,0,151.08191636893858,151.08191636893858,1.0,0.0,12.291538405298931,12.291538405298931,0.0,identical
UGC06399,3,0,4.034758107584799,4.034758107584799,1.0,0.0,2.0086707315000134,2.0086707315000134,0.0,identical
UGC06818,3,0,122.65662654994863,122.65662654994863,1.0,0.0,11.075045216609665,11.075045216609665,0.0,identical
UGC05986,5,0,18.975911930243818,18.975911930243818,1.0,0.0,4.356134976127785,4.356134976127785,0.0,identical
UGC04325,3,0,214.24961724924268,214.24961724924268,1.0,0.0,14.637268093781799,14.637268093781799,0.0,identical
UGC04483,3,0,12.241879442735295,12.241879442735295,1.0,0.0,3.4988397280720496,3.4988397280720496,0.0,identical
NGC6015,14,0,106.14772426267425,106.14772426267425,1.0,0.0,10.302801767610315,10.302801767610315,0.0,identical
UGC12632,5,0,156.86336076056486,156.86336076056486,1.0,0.0,12.5245104000342,12.5245104000342,0.0,identical
UGC11820,3,0,26.7466876526489,26.7466876526489,1.0,0.0,5.171719989776022,5.171719989776022,0.0,identical
UGC12506,10,0,831.7220505627893,831.7220505627893,1.0,0.0,28.839591719765888,28.839591719765888,0.0,identical
UGC09037,7,0,132.57785705041448,132.57785705041448,1.0,0.0,11.514245830727017,11.514245830727017,0.0,identical
UGC07399,3,0,7.3901804536540645,7.3901804536540645,1.0,0.0,2.718488634085871,2.718488634085871,0.0,identical
UGC06983,6,0,156.49554337404572,156.49554337404572,1.0,0.0,12.509817879331646,12.509817879331646,0.0,identical
UGC07603,4,0,8.011388083676362,8.011388083676362,1.0,0.0,2.8304395566194946,2.8304395566194946,0.0,identical
UGC07577,3,0,139.8563962787275,139.8563962787275,1.0,0.0,11.826089644456763,11.826089644456763,0.0,identical
UGC11557,4,0,69.4097909888026,69.4097909888026,1.0,0.0,8.331253866543895,8.331253866543895,0.0,identical
UGC07151,4,0,47.80885260243893,47.80885260243893,1.0,0.0,6.914394594065263,6.914394594065263,0.0,identical
UGC07323,3,0,5.746585007629295,5.746585007629295,1.0,0.0,2.3972035807643235,2.3972035807643235,0.0,identical
UGC07089,4,0,2.8138959603508384,2.8138959603508384,1.0,0.0,1.6774671264590666,1.6774671264590666,0.0,identical
UGC06930,3,0,96.52867851904692,96.52867851904692,1.0,0.0,9.824900941945772,9.824900941945772,0.0,identical
UGC06917,4,0,20.15562099958281,20.15562099958281,1.0,0.0,4.489501197191377,4.489501197191377,0.0,identical
UGCA442,3,0,30.32058213692515,30.32058213692515,1.0,0.0,5.50641281933394,5.50641281933394,0.0,identical
UGC12732,5,0,106.51401081359741,106.51401081359741,1.0,0.0,10.320562524087405,10.320562524087405,0.0,identical
UGCA444,11,0,3.687144612723027,3.687144612723027,1.0,0.0,1.920193899772371,1.920193899772371,0.0,identical
NGC4157,6,6,61.997750922575186,61.84687836153065,0.9793289818412145,0.00019506087696186114,7.873865056157312,7.864278629444067,0.15087256104453672,candidate_worse
NGC6946,18,18,27.964312899555402,27.136049867256745,0.9425887651714688,0.008663500518433408,5.288129432942749,5.20922737718913,0.8282630322986577,candidate_worse
NGC2683,4,4,507.20902104117795,505.7457409083813,0.9173328303428216,0.051583437618185714,22.521301495277264,22.488791450595592,1.4632801327966263,candidate_worse
UGC02487,6,6,125.57955932176192,123.37073191298026,0.8014086245671016,2.9036459799364707,11.206228594927104,11.107237816531176,2.2088274087816586,candidate_worse
NGC2841,15,15,56.638354750036804,53.37674681611381,0.8047752189341717,3.107809346340053,7.525845783035738,7.305939146756822,3.2616079339229955,candidate_worse
