galaxy,fold
CamB,1
D631-7,4
DDO064,3
DDO154,0
DDO161,0
DDO168,0
DDO170,0
ESO079-G014,2
ESO116-G012,1
ESO563-G021,4
F568-3,1
F568-V1,2
F571-8,2
F574-1,0
F583-1,0
F583-4,4
IC2574,1
IC4202,4
KK98-251,3
NGC0024,2
NGC0055,3
NGC0100,3
NGC0247,0
NGC0289,3
NGC0300,2
NGC0801,0
NGC0891,2
NGC1003,2
NGC1090,4
NGC2403,0
NGC2683,3
NGC2841,4
NGC2903,4
NGC2915,0
NGC2955,4
NGC2976,0
NGC2998,4
NGC3109,0
NGC3198,1
NGC3521,0
NGC3726,2
NGC3741,2
NGC3769,3
NGC3877,2
NGC3893,3
NGC3917,3
NGC3953,2
NGC3972,3
NGC3992,1
NGC4010,1
NGC4013,2
NGC4088,2
NGC4100,1
NGC4157,1
NGC4183,1
NGC4217,0
NGC4559,2
NGC5005,2
NGC5033,4
NGC5055,4
NGC5371,3
NGC5585,1
NGC5907,0
NGC5985,2
NGC6015,3
NGC6195,4
NGC6503,2
NGC6674,4
NGC6946,3
NGC7331,1
NGC7793,0
NGC7814,3
UGC00128,4
UGC00191,0
UGC00731,1
UGC01281,2
UGC02259,4
UGC02487,3
UGC02885,0
UGC02916,3
UGC02953,3
UGC03205,3
UGC03546,3
UGC03580,4
UGC04278,3
UGC04325,3
UGC04483,0
UGC04499,3
UGC05005,4
UGC05253,4
UGC05716,1
UGC05721,1
UGC05750,0
UGC05764,0
UGC05829,2
UGC05918,1
UGC05986,1
UGC06399,1
UGC06446,1
UGC06614,2
UGC06667,3
UGC06786,1
UGC06787,4
UGC06818,0
UGC06917,3
UGC06930,1
UGC06983,4
UGC07089,2
UGC07125,1
UGC07151,3
UGC07323,4
UGC07399,2
UGC07524,0
UGC07577,1
UGC07603,0
UGC08286,1
UGC08490,2
UGC08550,2
UGC08699,4
UGC08837,0
UGC09037,4
UGC09133,4
UGC11455,0
UGC11557,2
UGC11820,0
UGC11914,1
UGC12506,4
UGC12632,1
UGC12732,2
UGCA442,4
UGCA444,3
