priority_rank,coordinate_family,observations,independent_stages,domain_count,domains,median_normalized_leverage,mean_normalized_leverage,maximum_normalized_leverage,rank_one_count,high_leverage_count,impact_priority_score
1,spatial_width,16,13,3,cluster_raw_lensing+cluster_reconstructed_lensing+galaxy_rotation,0.5333333333333333,0.5155388303971494,1.0,5,8,3.0458839376460833
2,residence_rule,3,3,2,cluster_raw_lensing+galaxy_rotation,1.0,0.8576142179680453,1.0,2,3,2.5
3,routed_fraction,12,9,3,cluster_raw_lensing+cluster_reconstructed_lensing+galaxy_rotation,0.35595214224230465,0.44452420793947534,1.0,3,5,1.7736711326250818
4,anisotropy_strength,2,2,1,cluster_raw_lensing,1.0,1.0,1.0,2,2,1.584962500721156
5,path_length,12,8,3,cluster_raw_lensing+cluster_reconstructed_lensing+galaxy_rotation,0.3015935211985529,0.3347949993652933,1.0,1,3,1.4340432646804724
6,destination_topology,3,3,2,cluster_raw_lensing+cluster_reconstructed_lensing,0.4053605618143285,0.38864610277910333,0.5561941204273996,0,1,1.0134014045358213
7,destination_weighting,1,1,1,cluster_raw_lensing,1.0,1.0,1.0,1,1,1.0
8,saturation_shape,1,1,1,cluster_raw_lensing,1.0,1.0,1.0,1,1,1.0
9,operator_shape,1,1,1,cluster_raw_lensing,0.7190153984104932,0.7190153984104932,0.7190153984104932,0,1,0.7190153984104932
10,response_saturation,3,2,1,cluster_raw_lensing,0.3333333333333333,0.2667979637337746,0.4615384615384617,0,0,0.5283208335737186
11,environmental_gate,13,8,3,cluster_raw_lensing+cluster_reconstructed_lensing+galaxy_rotation,0.07404282611139884,0.2181112797573528,1.0,2,2,0.3520653085019532
12,constitutive_strength,2,2,1,cluster_raw_lensing,0.19237354368916024,0.19237354368916024,0.21060194856203457,0,0,0.304904852878162
13,affine_removal,1,1,1,cluster_raw_lensing,0.22838819488641277,0.22838819488641277,0.22838819488641277,0,0,0.22838819488641277
14,anisotropy_shape,1,1,1,cluster_reconstructed_lensing,0.17990386264474612,0.17990386264474612,0.17990386264474612,0,0,0.17990386264474612
15,distance_falloff,2,2,2,cluster_raw_lensing+cluster_reconstructed_lensing,0.0643739114282729,0.0643739114282729,0.12059306286752333,0,0,0.12753779454819703
16,anisotropy_orientation,1,1,1,cluster_reconstructed_lensing,0.019620053149210715,0.019620053149210715,0.019620053149210715,0,0,0.019620053149210715
17,acceleration_scale,1,1,1,cluster_raw_lensing,0.01503362441036229,0.01503362441036229,0.01503362441036229,0,0,0.01503362441036229
