log10_m500_over_1e14,median_log10_fgas500,systems
-0.8386319977650252,-1.8860566476931633,81
-0.6706033116060357,-1.7695510786217261,116
-0.5185573714976951,-1.6197887582883939,171
-0.368556230986828,-1.5086383061657274,308
-0.21324857785443882,-1.3979400086720375,543
-0.06248210798265336,-1.3279021420642825,851
0.09621458534640519,-1.2441251443275085,1454
0.24674470972384135,-1.1870866433571443,2024
0.3966351582454527,-1.1307682802690238,2120
0.5435714239623655,-1.0915149811213503,1444
0.7029472461815558,-1.0457574905606752,751
0.8447877188278464,-1.0087739243075051,366
