candidate_id,family,feature,parameters_json,feature_log10_center,feature_log10_IQR,development_q_min,development_q_median,development_q_max
constant,constant,none,[1.2214174667358473],,,1.2214174667358473,1.2214174667358473,1.2214174667358473
inverse_hill0_m1__potential_depth,inverse_hill_zero_floor,potential_depth,"[1.7876062572497071, 1.074325102309615]",-7.167481648323096,0.9318351528740374,0.8960304008536516,1.3325148824629447,1.7113051788985607
inverse_hillfloor_m2__mean_surface_R80,inverse_hill_free_floor,mean_surface_R80,"[1.1005943604602806, 1.0, -1.853763955436799]",7.859944287847834,1.245871949970872,1.1196612262944217,1.2179371389755778,1.9110292257490922
inverse_hill0_m0.5__pair_surface_L30p0kpc,inverse_hill_zero_floor,pair_surface_L30p0kpc,"[2.2576908670619398, 0.5445379092299357]",6.656260507049973,1.3168293573706968,1.0630130682672485,1.2815778707302539,1.8160373526502502
inverse_hill0_m0.5__pair_count_L30p0kpc,inverse_hill_zero_floor,pair_count_L30p0kpc,"[2.2614414501790487, 0.5421193189319528]",20.881790135419116,2.7365644595094274,1.066194050504451,1.2830356618694696,1.8073853980135683
inverse_hillfloor_m1__pair_surface_L30p0kpc,inverse_hill_free_floor,pair_surface_L30p0kpc,"[0.8470708967650955, 0.2419310558840887, -0.6727229220145498]",6.656260507049973,1.3168293573706968,1.083783751806713,1.268299434951655,1.8861348011839352
inverse_hill0_m0.5__pair_surface_L100p0kpc,inverse_hill_zero_floor,pair_surface_L100p0kpc,"[2.28513600516895, 0.49931153513026266]",5.663105980077811,1.4288933637086672,1.0689046982231178,1.284456145808985,1.8033749901796825
inverse_hillfloor_m1__pair_surface_L100p0kpc,inverse_hill_free_floor,pair_surface_L100p0kpc,"[0.8324746047592181, 0.24311091858016723, -0.6172004791211235]",5.663105980077811,1.4288933637086672,1.0860580651652008,1.2726989119666128,1.8639345579313291
