candidate_id,fold_wins,mean_fold_improvement_fraction,q_min,q_median,q_max,cv_equal_galaxy_RMSE_km_s,cv_pooled_RMSE_km_s,improvement_vs_constant_fraction
inverse_hill0_m1__potential_depth,4,0.13194290697851838,0.9043644732460864,1.3617314812508794,1.7774994923185734,10.83171506191698,10.605696367982278,0.1413244356970741
OR_rms_potential_surface,4,0.11306474103408257,1.0232521563423893,1.322723705659195,1.8176329411865908,11.092442216208454,11.079064083473902,0.12065549868566183
OR_rms_potential_pair30,4,0.11001306357332868,1.0155628731745803,1.3231721573920359,1.8412118149257841,11.132304062727199,11.05327483108439,0.11749548262560294
OR_max_potential_pair30,4,0.09458408398298071,1.0618795279901014,1.3617314812508794,1.9027920142915815,11.258234421072979,10.995832411104368,0.10751245400111331
OR_max_potential_surface,4,0.08973598754565301,1.1044203491099933,1.3617314812508794,1.9704684777457073,11.32986783809053,11.247534203506346,0.10183377205380528
inverse_hill0_m0.5__pair_count_L30p0kpc,4,0.07386293639620647,1.0640030368405162,1.2963894931240305,1.8811305842846913,11.600171324588484,11.665609704305467,0.08040567895175121
inverse_hill0_m0.5__pair_surface_L30p0kpc,4,0.07270543433608301,1.0618795279901014,1.295957417303848,1.9027920142915815,11.600745784747023,11.71351203333076,0.08036013908128903
inverse_hill0_m0.5__pair_surface_L100p0kpc,4,0.07421804368374268,1.0651341678894253,1.2963230521188778,1.8727007757181253,11.606117638905609,11.641646152633115,0.0799342896313534
inverse_hillfloor_m1__pair_surface_L100p0kpc,4,0.07324239652177822,1.0874713577816695,1.280588660725523,2.0236391912658425,11.609006509193625,11.673636964589525,0.07970527674552863
inverse_hillfloor_m1__pair_surface_L30p0kpc,3,0.06959930303482162,1.0780772231214808,1.2771485275691647,2.038953466650203,11.627941455002183,11.754014998305195,0.0782042240327987
inverse_hillfloor_m2__mean_surface_R80,3,0.04834850275282346,1.1044203491099933,1.2420206234454145,1.9704684777457073,11.831350536345704,12.097837227209373,0.06207913149587618
constant,0,0.0,1.2102488147340795,1.2228963348395738,1.2295747164775068,12.6144442816539,12.673863399610559,0.0
