candidate_id,heldout_fold,equal_galaxy_RMSE_km_s,pooled_RMSE_km_s,mean_residual_km_s,q_min,q_median,q_max,baseline_RMSE_km_s,fold_improvement_fraction
constant,0,9.519050126200368,9.631484833207203,-2.9934372902894015,1.2171420547223741,1.2171420547223741,1.2171420547223741,9.519050126200368,0.0
inverse_hill0_m1__potential_depth,0,9.136055618841569,9.057739912312737,-1.2087609375247188,0.954107711220343,1.348496983499861,1.7774994923185734,9.519050126200368,0.04023452994586496
inverse_hillfloor_m2__mean_surface_R80,0,9.992141869201555,11.040553458240081,-3.822614580421911,1.1044203491099933,1.1568926694076627,1.6634086113235083,9.519050126200368,-0.049699469666520946
inverse_hill0_m0.5__pair_surface_L30p0kpc,0,9.488582929238026,9.827576595885745,-0.3845447535877618,1.1560627410362712,1.2966219604438023,1.9027920142915815,9.519050126200368,0.003200655166053057
inverse_hill0_m0.5__pair_count_L30p0kpc,0,9.395204804236572,9.671768587303532,-0.33588264587770056,1.1570067718148112,1.2922893414734538,1.8811305842846913,9.519050126200368,0.01301026051148968
inverse_hillfloor_m1__pair_surface_L30p0kpc,0,9.569979235960973,9.965178030873592,-0.46328284704089795,1.1514369693090039,1.2774022801058493,2.038953466650203,9.519050126200368,-0.00535023023152581
inverse_hill0_m0.5__pair_surface_L100p0kpc,0,9.333134053079752,9.571432891216011,-0.31314826144992736,1.1454801930920566,1.2889409234701592,1.8727007757181253,9.519050126200368,0.019530948010127447
inverse_hillfloor_m1__pair_surface_L100p0kpc,0,9.437810791228118,9.750583665177365,-0.3990022868781237,1.143147327819567,1.2696531942846405,2.0236391912658425,9.519050126200368,0.008534395122959282
OR_max_potential_surface,0,9.165769983627234,8.948565016742974,-0.4866202761517347,1.1044203491099933,1.348496983499861,1.7774994923185734,9.519050126200368,0.03711296168099376
OR_rms_potential_surface,0,9.234127450676318,9.736199854340233,-2.4250684097222743,1.0334817934467717,1.28537826295697,1.6803223794634679,9.519050126200368,0.029931838969922464
OR_max_potential_pair30,0,9.339791335700788,8.99787815838351,0.5359133310465122,1.1560627410362712,1.348496983499861,1.9027920142915815,9.519050126200368,0.01883158383694028
OR_rms_potential_pair30,0,9.179856062656501,9.261809488357944,-0.7494527367307237,1.0706637222468756,1.3204122420713449,1.8412118149257841,9.519050126200368,0.03563318388357506
