candidate_id,q_min,q_median,q_max,maximum_dynamic_fraction_limb_to_Saturn,maximum_lensing_fraction_limb_to_Saturn,Earth_orbit_fractional_change,Saturn_orbit_fractional_change,Mercury_precession_mas_per_century,Cassini_proxy_pass,Earth_proxy_pass,Mercury_proxy_pass,all_solar_proxies_pass
constant,1.2214174667358473,1.2214174667358473,1.2214174667358473,1.1317765358733376e-08,1.980608937778341e-08,3.224752390952469e-11,1.1317765358733376e-08,-1.717663645505648,True,True,True,True
inverse_hill0_m1__potential_depth,0.7562407039500114,1.4132783046417259,1.7001514874605355,1.5753758345050153e-08,2.7569077103837767e-08,4.1438891003154945e-11,1.5753758345050153e-08,-2.129530870646183,True,True,True,True
inverse_hillfloor_m2__mean_surface_R80,1.1005943605445538,1.1005943605445538,1.1005943605445538,1.0198207465525256e-08,1.78468630646692e-08,2.9057585897471183e-11,1.0198207465525256e-08,-1.547751668074646,True,True,True,True
inverse_hill0_m0.5__pair_surface_L30p0kpc,2.2251295363056034,2.2251295363056034,2.2251295363056034,2.0618252702734916e-08,3.60819422297861e-08,5.874725053307492e-11,2.0618252702734916e-08,-3.1291709961108265,True,True,False,False
inverse_hill0_m0.5__pair_count_L30p0kpc,2.2240774258588445,2.2240774258588445,2.2240774258588445,2.0608503751625095e-08,3.606488156534391e-08,5.871947300597111e-11,2.0608503751625095e-08,-3.127691426745995,True,True,False,False
inverse_hillfloor_m1__pair_surface_L30p0kpc,2.0928233711966695,2.0928233711966695,2.0928233711966695,1.9392291740985715e-08,3.3936510546725003e-08,5.525413999640484e-11,1.9392291740985715e-08,-2.9431105408831693,True,True,True,True
inverse_hill0_m0.5__pair_surface_L100p0kpc,,,,,,,,,False,False,False,False
inverse_hillfloor_m1__pair_surface_L100p0kpc,,,,,,,,,False,False,False,False
OR_max_potential_surface,1.1005943605445538,1.4132783046417259,1.7001514874605355,1.5753758345050153e-08,2.7569077103837767e-08,4.1438891003154945e-11,1.5753758345050153e-08,-2.129530870646183,True,True,True,True
OR_rms_potential_surface,0.9442478352565296,1.2666222013311477,1.43210038523435,1.3269972447298682e-08,2.3222451782772693e-08,3.578774230627128e-11,1.3269972447298682e-08,-1.8613330856047081,True,True,True,True
OR_max_potential_pair30,2.2251295363056034,2.2251295363056034,2.2251295363056034,2.0618252702734916e-08,3.60819422297861e-08,5.874725053307492e-11,2.0618252702734916e-08,-3.1291709961108265,True,True,False,False
OR_rms_potential_pair30,1.6617914212756062,1.8639416819811054,1.9801157205645659,1.8347932397249464e-08,3.210888169518656e-08,5.0835131351776446e-11,1.8347932397249464e-08,-2.6761977571827074,True,True,True,True
