system_label,candidate_id,training_RMS_arcsec,training_roots_converged,heldout_images,heldout_RMS_arcsec,heldout_roots_converged,heldout_all_roots,improvement_vs_constant_fraction
RXJ2129,constant,0.7300911201109435,15,7,1.148554021594815,7,True,0.0
RXJ2129,inverse_hill0_m1__potential_depth,7.210303570020801,15,7,16.580659426259324,7,True,-13.436116294500794
RXJ2129,inverse_hillfloor_m2__mean_surface_R80,0.983465849110139,15,7,2.91647058109286,7,True,-1.5392541632854324
RXJ2129,inverse_hill0_m0.5__pair_surface_L30p0kpc,inf,14,7,inf,5,False,
RXJ2129,inverse_hill0_m0.5__pair_count_L30p0kpc,7.5501848309542465,15,7,inf,5,False,
RXJ2129,inverse_hillfloor_m1__pair_surface_L30p0kpc,inf,13,7,inf,4,False,
RXJ2129,inverse_hill0_m0.5__pair_surface_L100p0kpc,7.420274722933643,15,7,15.9060345377541,7,True,-12.848747415178533
RXJ2129,inverse_hillfloor_m1__pair_surface_L100p0kpc,inf,13,7,inf,5,False,
RXJ2129,OR_max_potential_surface,0.9839448673062862,15,7,2.917410748276044,7,True,-1.5400727292087648
RXJ2129,OR_rms_potential_surface,inf,13,7,inf,5,False,
RXJ2129,OR_max_potential_pair30,inf,14,7,inf,5,False,
RXJ2129,OR_rms_potential_pair30,7.420735176370791,15,7,15.906243183087533,7,True,-12.848929074316464
MACS0329,constant,7.476564707937316,20,3,23.480356579161334,3,True,0.0
MACS0329,inverse_hill0_m1__potential_depth,inf,17,3,26.72159938712021,3,True,-0.13804061267261414
MACS0329,inverse_hillfloor_m2__mean_surface_R80,7.522170228571198,20,3,22.421735441169005,3,True,0.045085394441234716
MACS0329,inverse_hill0_m0.5__pair_surface_L30p0kpc,inf,17,3,23.548347901515786,3,True,-0.0028956682205922846
MACS0329,inverse_hill0_m0.5__pair_count_L30p0kpc,inf,18,3,24.41326638347528,3,True,-0.039731500719282
MACS0329,inverse_hillfloor_m1__pair_surface_L30p0kpc,inf,18,3,23.166966338403736,3,True,0.013346911479007573
MACS0329,inverse_hill0_m0.5__pair_surface_L100p0kpc,inf,17,3,24.995066851568414,3,True,-0.06450967928448637
MACS0329,inverse_hillfloor_m1__pair_surface_L100p0kpc,inf,18,3,23.87054262140658,3,True,-0.016617551821659138
MACS0329,OR_max_potential_surface,7.520799648148144,20,3,22.4161209729694,3,True,0.045324507854213714
MACS0329,OR_rms_potential_surface,inf,18,3,23.734868857432506,3,True,-0.010839370237547774
MACS0329,OR_max_potential_pair30,inf,17,3,23.52243780707742,3,True,-0.0017921886226137662
MACS0329,OR_rms_potential_pair30,inf,17,3,24.82905832008706,3,True,-0.0574395766256246
MACS0429,constant,3.8305739570424593,5,2,14.75960227180745,2,True,0.0
MACS0429,inverse_hill0_m1__potential_depth,inf,4,2,inf,1,False,
MACS0429,inverse_hillfloor_m2__mean_surface_R80,3.9393039996885775,5,2,16.613476606733894,2,True,-0.12560462679049
MACS0429,inverse_hill0_m0.5__pair_surface_L30p0kpc,inf,4,2,inf,1,False,
MACS0429,inverse_hill0_m0.5__pair_count_L30p0kpc,inf,4,2,inf,1,False,
MACS0429,inverse_hillfloor_m1__pair_surface_L30p0kpc,inf,4,2,inf,1,False,
MACS0429,inverse_hill0_m0.5__pair_surface_L100p0kpc,inf,4,2,inf,1,False,
MACS0429,inverse_hillfloor_m1__pair_surface_L100p0kpc,inf,4,2,inf,1,False,
MACS0429,OR_max_potential_surface,3.9372184625207582,5,2,16.616539839125277,2,True,-0.12581216845285814
MACS0429,OR_rms_potential_surface,inf,4,2,inf,1,False,
MACS0429,OR_max_potential_pair30,inf,4,2,inf,1,False,
MACS0429,OR_rms_potential_pair30,inf,4,2,inf,1,False,
MACS1115,constant,0.2168639293770544,4,2,24.688639000113916,2,True,0.0
MACS1115,inverse_hill0_m1__potential_depth,7.264921892774001,4,2,30.060522017836604,2,True,-0.21758522281029347
MACS1115,inverse_hillfloor_m2__mean_surface_R80,0.9756762753950133,4,2,25.209385551470326,2,True,-0.021092558052876464
MACS1115,inverse_hill0_m0.5__pair_surface_L30p0kpc,7.350535730399656,4,2,30.581833758899986,2,True,-0.2387006735672581
MACS1115,inverse_hill0_m0.5__pair_count_L30p0kpc,7.332964290463205,4,2,30.380108549954247,2,True,-0.23052990283563513
MACS1115,inverse_hillfloor_m1__pair_surface_L30p0kpc,inf,3,2,29.385388102718544,2,True,-0.1902392879001129
MACS1115,inverse_hill0_m0.5__pair_surface_L100p0kpc,7.314965497144375,4,2,30.23949345442086,2,True,-0.22483436427100467
MACS1115,inverse_hillfloor_m1__pair_surface_L100p0kpc,7.348342571021649,4,2,30.54853616632084,2,True,-0.2373519725481783
MACS1115,OR_max_potential_surface,0.9646019562626083,4,2,25.19990068267518,2,True,-0.02070837856063701
MACS1115,OR_rms_potential_surface,7.352415210997501,4,2,30.579842000056747,2,True,-0.23861999845012316
MACS1115,OR_max_potential_pair30,7.3509164077605185,4,2,30.58749377221514,2,True,-0.2389299293522824
MACS1115,OR_rms_potential_pair30,7.318738156478677,4,2,30.26123982550948,2,True,-0.22571518929698198
MACS1931,constant,inf,11,4,inf,3,False,
MACS1931,inverse_hill0_m1__potential_depth,inf,14,4,20.310662315630687,4,True,
MACS1931,inverse_hillfloor_m2__mean_surface_R80,inf,11,4,inf,3,False,
MACS1931,inverse_hill0_m0.5__pair_surface_L30p0kpc,inf,10,4,inf,2,False,
