gate_mode,return_length_over_R80,width_over_R80,route_mode,route_fraction_multiplier,candidate_id,cluster,extent_gate,effective_route_fraction,calibration_amplitude,calibration_RMS_arcsec,heldout_RMS_arcsec,heldout_median_minimum_J_singular_value,mass_sheet_R2
none,0.25,0.18,endpoint,0.5,K0000,SMACS J0723.3-7327,1.0,0.5,142.0505733680403,6.855608800069891,5.570388426835907,0.3154014055673694,0.9401756451392761
none,0.25,0.18,endpoint,0.5,K0000,SPT-CL J0615-5746,1.0,0.5,352.33851611093,1.9471610175800247,7.572353236685068,0.42785981597746126,0.739528367549008
none,0.25,0.18,endpoint,0.75,K0001,SMACS J0723.3-7327,1.0,0.75,129.526659186311,6.164519412549362,6.473032148568891,0.34983702463125577,0.949508319979933
none,0.25,0.18,endpoint,0.75,K0001,SPT-CL J0615-5746,1.0,0.75,303.1974137400012,2.0027359504744564,8.537504581184397,0.46668958256207116,0.7283795623253595
none,0.25,0.18,endpoint,1.0,K0002,SMACS J0723.3-7327,1.0,1.0,119.6347851428672,5.556724128360313,7.4122422916192665,0.3727169760194535,0.9534033536613529
none,0.25,0.18,endpoint,1.0,K0002,SPT-CL J0615-5746,1.0,1.0,259.505053089391,2.1120655341471934,9.116761923484901,0.4316609904367554,0.7129857430062374
none,0.25,0.18,chord,0.5,K0003,SMACS J0723.3-7327,1.0,0.5,152.05516814097462,7.873660069672036,5.6343317848498735,0.288211442456062,0.9260359323476497
none,0.25,0.18,chord,0.5,K0003,SPT-CL J0615-5746,1.0,0.5,416.83201358893325,1.9040189676637815,6.998302677105702,0.38099085066710725,0.7418281159656808
none,0.25,0.18,chord,0.75,K0004,SMACS J0723.3-7327,1.0,0.75,139.97375713496092,7.6305382162254975,5.791159302565036,0.3165373026038035,0.935874010634
none,0.25,0.18,chord,0.75,K0004,SPT-CL J0615-5746,1.0,0.75,383.0449273677576,1.9290717022192423,19.271835457586125,0.39128989511160184,0.7414356583113195
none,0.25,0.18,chord,1.0,K0005,SMACS J0723.3-7327,1.0,1.0,128.30202775356838,7.424717159056186,6.52136437966143,0.3463544387725749,0.9429539732240918
none,0.25,0.18,chord,1.0,K0005,SPT-CL J0615-5746,1.0,1.0,353.64580713249995,1.9583527170114825,8.120036040361033,0.3998563049125992,0.7385471370205698
none,0.25,0.18,radial_arc_0.5,0.5,K0006,SMACS J0723.3-7327,1.0,0.5,220.35813040716073,8.104270246539906,7.1656667271644,0.1926535464210163,0.8613494998710427
none,0.25,0.18,radial_arc_0.5,0.5,K0006,SPT-CL J0615-5746,1.0,0.5,565.3733396122894,1.8748809535655258,4.36832261396193,0.33521370288081553,0.7279955926748387
none,0.25,0.18,radial_arc_0.5,0.75,K0007,SMACS J0723.3-7327,1.0,0.75,186.49894827418876,8.51630208336939,8.135303029383628,0.36304701378335635,0.8309423136409558
none,0.25,0.18,radial_arc_0.5,0.75,K0007,SPT-CL J0615-5746,1.0,0.75,602.4892919260915,1.882034926295441,4.705423506460402,0.32884723597313026,0.7233033582731236
none,0.25,0.18,radial_arc_0.5,1.0,K0008,SMACS J0723.3-7327,1.0,1.0,205.90918351706537,8.479628398637999,16.686915399577803,0.3157694707374833,0.7852041276944647
none,0.25,0.18,radial_arc_0.5,1.0,K0008,SPT-CL J0615-5746,1.0,1.0,644.8055931661304,1.890945247807733,5.23522160562637,0.34093235433398983,0.7165542974829222
none,0.25,0.18,transverse_arc_0.5,0.5,K0009,SMACS J0723.3-7327,1.0,0.5,235.5214196807563,8.848510791560193,27.221377828975303,0.06799282214751802,0.9567180714810916
none,0.25,0.18,transverse_arc_0.5,0.5,K0009,SPT-CL J0615-5746,1.0,0.5,615.5875883594165,1.8126223887372832,95.68874387796046,0.19057420991613028,0.8103124053723333
none,0.25,0.18,transverse_arc_0.5,0.75,K0010,SMACS J0723.3-7327,1.0,0.75,279.74776206516077,9.92534171406128,20.103785987037156,0.09131987556333024,0.9737670282425981
none,0.25,0.18,transverse_arc_0.5,0.75,K0010,SPT-CL J0615-5746,1.0,0.75,693.9935550163508,1.7140195618161125,4.432711404190079,0.10137482988008756,0.8413167586722813
none,0.25,0.18,transverse_arc_0.5,1.0,K0011,SMACS J0723.3-7327,1.0,1.0,348.616096771489,9.502247227659165,20.464360095765343,0.11608279895200495,0.9650457534158922
none,0.25,0.18,transverse_arc_0.5,1.0,K0011,SPT-CL J0615-5746,1.0,1.0,802.8524641943695,1.507492288747161,4.739279229681061,0.04837431207074889,0.8620581366633429
none,0.25,0.23,endpoint,0.5,K0012,SMACS J0723.3-7327,1.0,0.5,171.18535506915063,6.141054105554305,5.936986733324174,0.26985276323624385,0.9593686942171087
none,0.25,0.23,endpoint,0.5,K0012,SPT-CL J0615-5746,1.0,0.5,393.45037831049814,1.8831522190384011,12.056871031807262,0.32813115037597707,0.7871101119519648
none,0.25,0.23,endpoint,0.75,K0013,SMACS J0723.3-7327,1.0,0.75,160.58768057168655,5.554274693500278,6.577120779855841,0.27440125761381257,0.9656910669182356
none,0.25,0.23,endpoint,0.75,K0013,SPT-CL J0615-5746,1.0,0.75,348.8535912304044,1.8980348222971863,6.554503749473409,0.3432971826060862,0.787464573518569
none,0.25,0.23,endpoint,1.0,K0014,SMACS J0723.3-7327,1.0,1.0,151.42035659753563,4.988037602161012,7.2682288431158675,0.2951039893811721,0.9689887790140662
none,0.25,0.23,endpoint,1.0,K0014,SPT-CL J0615-5746,1.0,1.0,312.3139513117863,1.9143761981884642,4.858239677122899,0.34313809297548203,0.7836623159072917
none,0.25,0.23,chord,0.5,K0015,SMACS J0723.3-7327,1.0,0.5,179.09726312125878,6.8478278268811605,5.728257115869389,0.2662558659674499,0.9508051040151337
none,0.25,0.23,chord,0.5,K0015,SPT-CL J0615-5746,1.0,0.5,451.5332201922139,1.8623125404560876,21.580718691370855,0.31121207266774364,0.7792591992063942
none,0.25,0.23,chord,0.75,K0016,SMACS J0723.3-7327,1.0,0.75,170.68803650714648,6.555120189718939,6.129615673550499,0.2732295524213215,0.9569881451925851
