cluster,family,model,RMS_arcsec
SMACS J0723.3-7327,19,B100_control,7.523193227245584
SMACS J0723.3-7327,5,B100_control,4.992774462932025
SMACS J0723.3-7327,19,lenstool_reference,0.9303733506375356
SMACS J0723.3-7327,5,lenstool_reference,3.1166588941122897
SMACS J0723.3-7327,19,primary_inverse_replay,6.763477613803816
SMACS J0723.3-7327,5,primary_inverse_replay,4.770316950905274
SMACS J0723.3-7327,19,selected_return,15.231114883689951
SMACS J0723.3-7327,5,selected_return,25.407571329146315
SPT-CL J0615-5746,11,B100_control,1.9312447300134823
SPT-CL J0615-5746,12,B100_control,1.8368583499407942
SPT-CL J0615-5746,3,B100_control,13.513846027341536
SPT-CL J0615-5746,11,lenstool_reference,0.706758750776955
SPT-CL J0615-5746,12,lenstool_reference,0.29241855758666085
SPT-CL J0615-5746,3,lenstool_reference,5.857886545281843
SPT-CL J0615-5746,11,primary_inverse_replay,2.0750284858999475
SPT-CL J0615-5746,12,primary_inverse_replay,1.9306506684160685
SPT-CL J0615-5746,3,primary_inverse_replay,11.269978467094703
SPT-CL J0615-5746,11,selected_return,1.8267356277105815
SPT-CL J0615-5746,12,selected_return,1.973211600650189
SPT-CL J0615-5746,3,selected_return,15.251057479666335
