center x (Mpc/h),std x (Mpc/h),center y (Mpc/h),std y (Mpc/h),center z (Mpc/h),std z (Mpc/h),mean radius (Mpc/h),std radius (Mpc/h),center RA [hms],center RA [deg],center Dec [deg],center dist [Mpc/h],redshift near,redshift center,redshift far,redshift near [km/s],redshift center [km/s],redshift far [km/s]
229.8922532848225,6.995689820540477,396.75354836185454,5.844361266498052,240.1712882159065,5.065221272456702,32.84614069947302,3.4467296026200778,10h12m10.25999307s,153.04274997114015,-38.95589431085413,159.5756427057841,0.042694256161225,0.0539024763405378,0.0651718958388887,12799.415997055296,16159.55587441667,19538.042846060427
457.6017714403136,14.103767372690625,315.2647115065173,9.692501623742562,314.1864762490298,7.484180144210663,37.670975594812326,5.805518619641754,23h11m21.31379396s,347.8388074748251,-12.389042135881745,122.64601987835408,0.0285325284465708,0.041305046674781,0.0541561523229141,8553.836835952397,12382.941470437328,16235.606020708836
354.941689806561,5.611130176224544,250.3054373841021,5.251073401720511,394.020277382575,6.985545505024068,37.67432977939352,3.709088168244433,18h36m23.23618309s,279.096817429546,30.36704794425336,105.86803871353152,0.022867537616056,0.03560680319655,0.048423812917498,6855.51531032491,10674.651051815988,14517.093900268885
263.970973708934,4.941666889842772,373.0592624945908,3.101369602847159,379.7697225097739,2.6153959324252845,23.040032647886655,3.2094274296254763,10h27m48.643309s,156.95268045417004,25.275627797712044,91.97232488768007,0.0231165485554206,0.0308991339262655,0.0387105315355934,6930.1669119059015,9263.327309826347,11605.12539954208
281.5490286636233,4.444319584155168,410.5158260198767,7.143515177389985,395.8645149557661,6.653006533442716,26.28125312496949,3.609946317546785,8h40m23.10031517s,130.09625131322,31.169301716690946,106.97038109231548,0.0270842624093149,0.0359807122860864,0.0449150221570583,8119.657600805539,10786.746176836652,13465.184893588985
218.68399062226248,5.660404821403212,366.1790974360558,9.016914411225,292.41607343042523,9.70260150416536,38.5135904881824,4.28278861326108,11h12m23.08801249s,168.0962000520228,-21.11842460309769,133.45643551434952,0.0319046198646165,0.0449847946666474,0.0581476946151857,9564.76441076901,13486.102165739523,17432.240295719912
384.9676445217165,3.1596945071188407,410.5175041015369,6.048186498737057,349.4719663930485,3.0801094594907945,15.133001903189175,2.5696851618102223,3h50m19.35483058s,57.58064512739762,6.173570202607409,83.4285231253466,0.0229018615037407,0.0280098251061915,0.0331301483474843,6865.805352982001,8397.134316735277,9932.168606996958
334.4168759772506,8.324106903159098,273.5596921965383,6.229195511446416,242.39493456137612,5.717678636043297,32.5779018463966,3.967546199634581,17h39m13.81758036s,264.8075732515155,-55.58322507398456,118.92271890355936,0.0289956016617001,0.0400391756546525,0.0511413806659415,8692.662693349977,12003.442885802044,15331.800215356305
330.0381184635652,4.188312520078024,383.2264767020145,7.0033848451428105,335.7412140974617,6.882791184679264,23.97064045559034,4.93166167200615,6h55m02.05846697s,103.75857694572842,-6.174364980638283,44.24532540185895,0.0067734510448286,0.014809135648665,0.0228750409804638,2030.629537871843,4439.667176968714,6857.7647623839775
300.418687164583,4.701615559142833,324.8949469583284,5.252920551495817,456.2559991615428,7.026707479326369,25.36423400347056,3.565095262224672,13h25m05.44766107s,201.2726985877991,69.6162221935374,123.48878759195532,0.0329821224006931,0.0415916820425527,0.0502368880151501,9887.791544560656,12468.87259189134,15060.640140332607
