galaxy,type,n_points,chi2,chi2_red,ape,rms
UGC01281,Sd,25,588.0312249122876,23.521248996491504,46.05026674443122,20.482799968562762
UGC00128,Sd,22,189115.14408781796,8596.142913082635,67.87686814981502,77.96074292486851
UGC07323,Sd,10,390.1335697708334,39.01335697708334,31.695949503601348,24.172280531842244
UGC07089,Sd,12,278.6870856514584,23.2239238042882,9.14818702189396,20.749134792920994
UGC05750,Sd,11,142.00372498631705,12.90942954421064,34.2443039503329,25.139287295592773
UGC11557,Sd,12,148.3732694109682,12.364439117580682,25.714223799784186,28.0761970936039
UGC06446,Scd,17,202.61012884869646,11.918242873452733,6.454713043276838,17.114485369809547
UGC05721,Scd,23,443.13515688205837,19.26674595139384,25.606036716954804,21.12311984594459
NGC0300,Scd,25,1169.9288101079696,46.79715240431879,12.334965497348223,22.507460650231437
F568-3,Scd,18,1245.974842564796,69.22082458693312,21.656241825937265,33.92862499337515
F568-V1,Scd,15,88.4723875469229,5.8981591697948605,9.972173309636856,33.85128792255522
NGC3741,Im,21,793.6958599537211,37.795040950177196,37.2641450795105,14.633377497420215
UGCA444,Im,36,310.99641937648914,8.6387894271247,32.29124493056633,11.102256328928743
NGC2366,Im,26,2091.523490623817,80.44321117783912,17.21868129444868,16.580695210620842
DDO064,Im,14,164.35835203502876,11.73988228821634,37.1767475893664,16.894468620579644
NGC0024,Sbc,29,1448.4767910878857,49.947475554754675,24.190284526496278,38.48670443154553
NGC5033,Sbc,22,63908.002744955076,2904.909215679776,69.82061227136546,136.72118689195227
NGC5907,Sbc,19,79930.50096605452,4206.8684718976065,77.5004276225782,159.55975496490333
NGC2403,Sc,73,60807.29987232527,832.9767105797982,21.043060865835432,38.78639546341286
UGC11455,Sc,36,21133.39776140251,587.0388267056253,46.935346221028865,148.57680071935536
NGC1003,Sc,36,27185.1612535443,755.1433681540083,63.70598835737144,65.12550722373261
UGC08490,Sm,30,251.86336547070078,8.395445515690026,6.382531225790225,10.691736327004467
UGC07524,Sm,31,1380.1319796123548,44.52038643910822,7.494366562467003,21.37305280782465
NGC4013,Sab,36,19936.351541804972,553.7875428279159,66.69560937654981,122.58194188926073
NGC2903,Sb,34,30541.356502326802,898.275191244906,37.120763276150925,77.26640998550211
