train_cluster,test_cluster,family_id,model,observed_images,global_roots,matched_images,image_RMS_arcsec,magnification_threshold,retained_roots,topology_correct
AS295,PLCKG287,6,AQUAL_contrast_hessian_fit,5,5,5,44.491247668141625,3.1653528577785073,4,False
AS295,PLCKG287,6,QUMOND_contrast_source_fit,5,3,3,inf,3.1653528577785073,2,False
AS295,PLCKG287,6,P0707_plus_AQUAL_contrast_source_fit,5,3,3,inf,3.1653528577785073,3,False
AS295,PLCKG287,7,glafic_v2_compact_halo,2,5,2,1.1599530413485388,4.247664886652454,5,False
AS295,PLCKG287,7,P0707_baseline,2,1,1,inf,4.247664886652454,0,False
AS295,PLCKG287,7,AQUAL_contrast_source_fit,2,5,2,26.76134034230662,4.247664886652454,3,False
AS295,PLCKG287,7,AQUAL_contrast_hessian_fit,2,5,2,16.183457856935515,4.247664886652454,3,False
AS295,PLCKG287,7,QUMOND_contrast_source_fit,2,5,2,25.399474063616676,4.247664886652454,4,False
AS295,PLCKG287,7,P0707_plus_AQUAL_contrast_source_fit,2,1,1,inf,4.247664886652454,1,False
AS295,PLCKG287,8,glafic_v2_compact_halo,3,5,3,0.4994456443881107,5.713581135993947,5,False
AS295,PLCKG287,8,P0707_baseline,3,1,1,inf,5.713581135993947,0,False
AS295,PLCKG287,8,AQUAL_contrast_source_fit,3,5,3,18.410714181100154,5.713581135993947,4,False
AS295,PLCKG287,8,AQUAL_contrast_hessian_fit,3,1,1,inf,5.713581135993947,1,False
AS295,PLCKG287,8,QUMOND_contrast_source_fit,3,5,3,16.222521735821573,5.713581135993947,4,False
AS295,PLCKG287,8,P0707_plus_AQUAL_contrast_source_fit,3,1,1,inf,5.713581135993947,1,False
PLCKG287,AS295,1,glafic_v2_compact_halo,3,4,3,0.22152775630154933,1.7866968533846095,4,False
PLCKG287,AS295,1,P0707_baseline,3,1,1,inf,1.7866968533846095,1,False
PLCKG287,AS295,1,AQUAL_contrast_source_fit,3,1,1,inf,1.7866968533846095,1,False
