galaxy,model,radius_kpc,observed_rotation_km_s,source_prediction_km_s,twin_prediction_km_s,pixels
NGC2403,newtonian_thin_sheet,0.6201415643835749,57.81198665685609,32.9202487118872,30.139771491075564,80
NGC2403,newtonian_thin_sheet,1.3264573423490726,75.66750186065589,42.00787742671634,41.29466886856211,198
NGC2403,newtonian_thin_sheet,2.026041678997544,84.17493447376802,52.39245219564702,51.09175075193447,306
NGC2403,newtonian_thin_sheet,2.769703957761522,93.60237887857711,56.95131513663912,55.804231776193994,440
NGC2403,newtonian_thin_sheet,3.5286641928492326,107.18855540482507,58.112953964526994,55.28472141921401,546
NGC2403,newtonian_thin_sheet,4.251142883855008,114.3549979190555,59.59684782072464,56.150969184078114,654
NGC2403,newtonian_thin_sheet,4.996489779694148,124.545685020048,58.38544745227468,56.77673762270076,778
NGC2403,newtonian_thin_sheet,5.757645114375461,127.54038367561937,55.129502690932625,54.03203973739827,912
NGC2403,newtonian_thin_sheet,6.500044297398099,125.55581995320081,54.00105091590507,51.70710258670914,1010
NGC2403,newtonian_thin_sheet,7.258602470040981,119.12427358080346,50.88640309172738,50.217471794798065,1130
NGC2403,newtonian_thin_sheet,8.004709751914483,116.78444024148807,49.52033760675968,48.65137834219634,1252
NGC2403,newtonian_thin_sheet,8.753786195064329,118.3705993958504,50.86512367820367,50.981152827574796,1366
NGC2403,newtonian_thin_sheet,9.474778866283604,122.7288837168729,56.34291620359271,55.548404906443004,1498
NGC2403,newtonian_thin_sheet,10.242230916373684,127.98033360689259,60.776271270538956,60.826709379074266,1562
NGC2403,newtonian_thin_sheet,10.9911238535068,133.96760804424645,63.37109616816678,63.778214746905576,1750
NGC2403,newtonian_thin_sheet,11.740380971217347,135.28315172507533,62.32050760900435,62.00555153379211,1829
NGC2403,newtonian_thin_sheet,12.483308987857985,141.28421453638353,58.797728019715564,58.84864797813807,1881
NGC2403,newtonian_thin_sheet,13.238802932212407,144.00379801254127,56.77625798253656,57.606912635567554,1905
NGC2403,newtonian_thin_sheet,13.976399279481491,138.91700403082618,58.41454133286178,57.0241670653379,1889
NGC2403,newtonian_thin_sheet,14.72325560764793,141.68339515027748,55.269942297591236,54.74919988401622,1829
NGC2403,fixed_simple_mond,0.6201415643835749,57.81198665685609,46.030242035687515,43.181385507819215,80
NGC2403,fixed_simple_mond,1.3264573423490726,75.66750186065589,61.69650426141574,61.07073007704461,198
NGC2403,fixed_simple_mond,2.026041678997544,84.17493447376802,75.84988981280097,74.7193890206395,306
NGC2403,fixed_simple_mond,2.769703957761522,93.60237887857711,86.03703421695235,85.03342762567874,440
NGC2403,fixed_simple_mond,3.5286641928492326,107.18855540482507,91.29265212986297,88.20898933648886,546
NGC2403,fixed_simple_mond,4.251142883855008,114.3549979190555,96.42761447851284,93.31374635309349,654
NGC2403,fixed_simple_mond,4.996489779694148,124.545685020048,98.8227602189423,97.1949816682441,778
NGC2403,fixed_simple_mond,5.757645114375461,127.54038367561937,97.45379171584,96.46199161697965,912
NGC2403,fixed_simple_mond,6.500044297398099,125.55581995320081,98.125522751061,95.71301297644003,1010
NGC2403,fixed_simple_mond,7.258602470040981,119.12427358080346,96.36710428830919,96.21274173659963,1130
NGC2403,fixed_simple_mond,8.004709751914483,116.78444024148807,94.32908892505596,94.22357063353547,1252
NGC2403,fixed_simple_mond,8.753786195064329,118.3705993958504,97.40176396185895,98.16764725945714,1366
NGC2403,fixed_simple_mond,9.474778866283604,122.7288837168729,106.14372566328966,105.50918227651135,1498
NGC2403,fixed_simple_mond,10.242230916373684,127.98033360689259,113.79895365393683,114.2098866444029,1562
NGC2403,fixed_simple_mond,10.9911238535068,133.96760804424645,119.6329194537416,120.65235338305877,1750
NGC2403,fixed_simple_mond,11.740380971217347,135.28315172507533,121.64511978053663,121.3394525904459,1829
NGC2403,fixed_simple_mond,12.483308987857985,141.28421453638353,118.54928223878808,119.49583800939286,1881
NGC2403,fixed_simple_mond,13.238802932212407,144.00379801254127,117.7739476312627,119.5297188059099,1905
NGC2403,fixed_simple_mond,13.976399279481491,138.91700403082618,121.75883887483135,120.59136293614459,1889
NGC2403,fixed_simple_mond,14.72325560764793,141.68339515027748,119.70978810533198,119.23026989992218,1829
NGC3198,newtonian_thin_sheet,1.8113294300729996,64.34070009967601,66.3286974908702,66.38378748240618,38
NGC3198,newtonian_thin_sheet,3.4932179997643007,99.93063267646254,64.65250844354732,66.35541031377521,82
NGC3198,newtonian_thin_sheet,5.173777689941951,127.01704575847899,81.2122383402662,81.5953207716582,126
NGC3198,newtonian_thin_sheet,6.902671725584317,139.88086913298562,89.60016279571552,89.8034032585656,160
NGC3198,newtonian_thin_sheet,8.609425002105093,144.2650627282758,84.75630895383085,85.82464194521962,210
NGC3198,newtonian_thin_sheet,10.329318441511761,146.68387077581545,82.47092810418933,82.6481741130813,250
NGC3198,newtonian_thin_sheet,12.098110858190525,152.58550245856574,83.33022973811515,83.16919069029306,298
NGC3198,newtonian_thin_sheet,13.758934817192076,154.67525315323005,82.41901659906381,81.54031494507832,326
NGC3198,newtonian_thin_sheet,15.54962677112026,154.83872610277132,77.86830008920954,77.87668605470093,378
NGC3198,newtonian_thin_sheet,17.41096461627833,153.8219480269844,68.93442375292089,71.26885514596945,424
