model,median_field_error_ratio,maximum_field_error_ratio,median_gas_weighted_rmse_km_s,maximum_gas_weighted_rmse_km_s,galaxies,aggregate_error_band
fixed_simple_mond,1.9919791896138856,2.7805530656012336,26.160885416353146,33.995433691235654,4,close
newtonian_thin_sheet,3.135475315161367,4.095383862194706,41.06672993947146,49.69538921094442,4,miss
