candidate_id,mode,aperture_r80_fraction,removal_fraction,system_label,affine_vector_R2_on_images,center_x_arcsec,center_y_arcsec,r80_arcsec,quadrupole_asymmetry,grid_spacing_arcsec,smoothing_width_arcsec,smoothing_width_kpc,asymmetry_gate,gate_minimum,gate_median,gate_maximum,metric_minimum_eigenvalue,metric_maximum_eigenvalue,maximum_Q_eigenvalue,RMS_Q_eigenvalue,maximum_edge_Q_eigenvalue,maximum_solver_edge_Q_eigenvalue,maximum_abs_circular_cross_mean,circular_mean_subtracted,full_metric_correction_RMS_arcsec,circular_residual_fraction,correction_RMS_arcsec_at_distance_ratio_one,correction_maximum_arcsec_at_distance_ratio_one,normalized_curl_RMS,affine_removal_mode,affine_aperture_r80_fraction,affine_aperture_arcsec,affine_removal_fraction,affine_taper_outer_factor,baryon_grid_affine_R2_before,baryon_grid_affine_R2_after,removed_affine_RMS_arcsec
raw_metric,raw,,0.0,MACS0329,0.11935898708023351,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,44.51591613380319,258.8646758196927,0.5484129442613193,0.999946104341878,0.9999918667292744,0.9999999999948115,0.5178367470337287,1.9311105396212178,1.0000000000000002,0.9919905460534739,1.0000000000000002,1.0000000000000002,0.0,True,2.055428185287115,0.035888772568280276,0.07376679467220232,1.0721658093752702,0.0,,,,,,,,
raw_metric,raw,,0.0,MACS0429,0.3073923855746359,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,43.6762861905063,236.34129996602525,0.41302141274796,0.9999762733586631,0.9999970141109471,0.9999999999808624,0.6091896681733181,1.6415248850141266,1.0000000000000002,0.9929171206493272,1.0000000000000002,1.0000000000000002,0.0,True,1.0343169095119988,0.03826428809837411,0.03957740021058707,0.6278350628636546,0.0,,,,,,,,
raw_metric,raw,,0.0,MACS1115,0.9924169184663306,0.3310495047421327,-1.0646891524916011,56.52932839490306,0.10365884398962105,2.0,45.22346271592245,227.20571960621592,0.9486477414337011,0.9998322220011506,0.9999732705856326,0.9999999999955242,0.32033900294477813,3.121692927827417,1.0000000000000002,0.992083242455681,1.0000000000000002,1.0000000000000002,0.0,True,5.465556486075096,0.04377257431841234,0.23924147747820274,2.240424387415909,0.0,,,,,,,,
raw_metric,raw,,0.0,MACS1931,0.5274459982185189,-0.9900241345509628,-0.26633593008553724,53.77355106035729,0.08611118058986449,2.0,43.01884084828583,214.9337333337269,0.8979329100801073,0.9998953913644232,0.9999878410043866,0.9999999999858928,0.3404391537492469,2.9373824631715473,1.0000000000000002,0.9935189307411075,1.0000000000000002,1.0000000000000002,0.0,True,4.080538539536187,0.044904055868852086,0.18323273055433703,2.025293276212111,0.0,,,,,,,,
trace_a0d75_f0d5,trace,0.75,0.5,MACS0329,0.11717989119316174,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,44.51591613380319,258.8646758196927,0.5484129442613193,0.999946104341878,0.9999918667292744,0.9999999999948115,0.5178367470337287,1.9311105396212178,1.0000000000000002,0.9919905460534739,1.0000000000000002,1.0000000000000002,0.0,True,2.055428185287115,0.035888772568280276,0.2471142198783166,1.0622960257200584,4.495325749131659e-17,trace,0.75,41.73367137544048,0.5,2.0,0.0076759411495003205,0.0019324441221824085,0.012757922489995565
trace_a0d75_f0d5,trace,0.75,0.5,MACS0429,0.31028055721001657,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,43.6762861905063,236.34129996602525,0.41302141274796,0.9999762733586631,0.9999970141109471,0.9999999999808624,0.6091896681733181,1.6415248850141266,1.0000000000000002,0.9929171206493272,1.0000000000000002,1.0000000000000002,0.0,True,1.0343169095119988,0.03826428809837411,0.14096214567088183,0.6212846303824735,3.7991114870117224e-17,trace,0.75,40.94651830359966,0.5,2.0,0.007435478572907717,0.001872659652526365,0.008463162714402686
trace_a0d75_f0d5,trace,0.75,0.5,MACS1115,0.9923843549691377,0.3310495047421327,-1.0646891524916011,56.52932839490306,0.10365884398962105,2.0,45.22346271592245,227.20571960621592,0.9486477414337011,0.9998322220011506,0.9999732705856326,0.9999999999955242,0.32033900294477813,3.121692927827417,1.0000000000000002,0.992083242455681,1.0000000000000002,1.0000000000000002,0.0,True,5.465556486075096,0.04377257431841234,0.8436086112564626,2.237867749301832,4.7144752625363835e-17,trace,0.75,42.39699629617729,0.5,2.0,0.00320657416764214,0.0008048222061873833,0.02406502063326214
trace_a0d75_f0d5,trace,0.75,0.5,MACS1931,0.5270528117642258,-0.9900241345509628,-0.26633593008553724,53.77355106035729,0.08611118058986449,2.0,43.01884084828583,214.9337333337269,0.8979329100801073,0.9998953913644232,0.9999878410043866,0.9999999999858928,0.3404391537492469,2.9373824631715473,1.0000000000000002,0.9935189307411075,1.0000000000000002,1.0000000000000002,0.0,True,4.080538539536187,0.044904055868852086,0.6948795762084724,2.002754361517456,4.127967816312661e-17,trace,0.75,40.330163295267965,0.5,2.0,0.008019495642289542,0.0020200085247636945,0.03118873151363922
trace_a0d75_f1d0,trace,0.75,1.0,MACS0329,0.11503714604858284,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,44.51591613380319,258.8646758196927,0.5484129442613193,0.999946104341878,0.9999918667292744,0.9999999999948115,0.5178367470337287,1.9311105396212178,1.0000000000000002,0.9919905460534739,1.0000000000000002,1.0000000000000002,0.0,True,2.055428185287115,0.035888772568280276,0.24678278915396315,1.0525004936463263,3.642588090116709e-17,trace,0.75,41.73367137544048,1.0,2.0,0.0076759411495003205,2.827084233381072e-09,0.02551584497999113
trace_a0d75_f1d0,trace,0.75,1.0,MACS0429,0.31316785909145184,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,43.6762861905063,236.34129996602525,0.41302141274796,0.9999762733586631,0.9999970141109471,0.9999999999808624,0.6091896681733181,1.6415248850141266,1.0000000000000002,0.9929171206493272,1.0000000000000002,1.0000000000000002,0.0,True,1.0343169095119988,0.03826428809837411,0.14070427294985713,0.61475764694172,3.359799262990052e-17,trace,0.75,40.94651830359966,1.0,2.0,0.007435478572907717,5.885995690846357e-09,0.016926325428805372
