model,parameter,value,near_bound
P0599_baseline,axis_ratio_q,0.7166211938368898,False
P0599_baseline,position_angle_phi_radian,0.4021206695685602,False
P0599_baseline,center_x_arcsec,-0.5458041342322617,False
P0599_baseline,center_y_arcsec,-0.2392646451807501,False
P0599_baseline,external_shear_gamma1,0.0531307896144869,False
P0599_baseline,external_shear_gamma2,0.0178975371959089,False
amplitude_A1,axis_ratio_q,0.5500004166678897,True
amplitude_A1,position_angle_phi_radian,0.4312511523434744,False
amplitude_A1,center_x_arcsec,-2.351023141923822,False
amplitude_A1,center_y_arcsec,-0.03766628288197876,False
amplitude_A1,external_shear_gamma1,-0.16469139157987342,False
amplitude_A1,external_shear_gamma2,-0.2107584543505188,False
amplitude_A2,axis_ratio_q,0.5614287057419695,False
amplitude_A2,position_angle_phi_radian,0.39542858130360975,False
amplitude_A2,center_x_arcsec,-2.230265983349928,False
amplitude_A2,center_y_arcsec,-0.3498009401119548,False
amplitude_A2,external_shear_gamma1,0.02527878110336203,False
amplitude_A2,external_shear_gamma2,-0.01266467912867577,False
amplitude_A4,axis_ratio_q,0.7530960304901632,False
amplitude_A4,position_angle_phi_radian,0.1165508018151389,False
amplitude_A4,center_x_arcsec,1.4406861001066773,False
amplitude_A4,center_y_arcsec,-2.99999996603698,True
amplitude_A4,external_shear_gamma1,0.1400945107680403,False
amplitude_A4,external_shear_gamma2,-0.13390579589289345,False
threshold_5e-07,axis_ratio_q,0.7253636407164762,False
threshold_5e-07,position_angle_phi_radian,0.39551673963165157,False
threshold_5e-07,center_x_arcsec,-0.4194320485908083,False
threshold_5e-07,center_y_arcsec,-0.2852562520313152,False
threshold_5e-07,external_shear_gamma1,0.06125155261702088,False
threshold_5e-07,external_shear_gamma2,0.02120351743724226,False
threshold_2e-06,axis_ratio_q,0.6978767143485181,False
threshold_2e-06,position_angle_phi_radian,0.40927633532850216,False
threshold_2e-06,center_x_arcsec,-0.6687329682486581,False
threshold_2e-06,center_y_arcsec,-0.09022381452386778,False
threshold_2e-06,external_shear_gamma1,0.03623879563487846,False
threshold_2e-06,external_shear_gamma2,0.004212122928969367,False
threshold_4e-06,axis_ratio_q,0.6664103924891728,False
threshold_4e-06,position_angle_phi_radian,0.451405581148903,False
threshold_4e-06,center_x_arcsec,-0.9914932639491855,False
threshold_4e-06,center_y_arcsec,0.10759758669907316,False
threshold_4e-06,external_shear_gamma1,-0.05214528014531766,False
threshold_4e-06,external_shear_gamma2,-0.06075100597942576,False
power_p1,axis_ratio_q,0.6494046495007832,False
power_p1,position_angle_phi_radian,0.40932860925805453,False
