model,training_RMS_arcsec,heldout_RMS_arcsec,training_roots_converged,heldout_roots_converged,heldout_all_roots_converged,maximum_heldout_residual_arcsec,heldout_reduced_chi2,optimizer_success,optimizer_cost,any_geometry_near_bound,variant_id,family,A,threshold,power,carrier,eta
power_p2,0.44274432832614424,2.06731723294097,15,7,True,2.987352142862185,55.47119964689113,True,37.96257898029628,False,power_p2,power,3.0,1e-06,2.0,shape,0.0
power_p1,0.4441970804707599,2.5245743808086356,15,7,True,3.4085770026817457,82.72364265455215,True,37.516288985830556,False,power_p1,power,3.0,1e-06,1.0,shape,0.0
P0599_baseline,0.49524262462841695,1.8086634342181922,15,7,True,2.8511058027961935,42.45890850683187,True,48.157541790907835,False,P0599_baseline,baseline,3.0,1e-06,4.0,shape,0.0
threshold_4e-06,0.5190418486939108,3.0496818257646066,15,7,True,4.597957765672981,120.71531493279409,True,51.43056404778591,False,threshold_4e-06,threshold,3.0,4e-06,4.0,shape,0.0
threshold_5e-07,0.5623306934139387,1.6470763094179754,15,7,True,2.8944489904685233,35.21119380284186,True,62.56907079270032,False,threshold_5e-07,threshold,3.0,5e-07,4.0,shape,0.0
carrier_mass_growth_normalized,0.6561652773125048,1.8084708716306226,15,7,True,2.9747230451156876,42.449868060835456,True,83.75733089185853,False,carrier_mass_growth_normalized,carrier,3.0,1e-06,4.0,mass_growth_normalized,0.0
amplitude_A2,0.6698794204834155,2.838765350736709,15,7,True,3.5955038767564322,104.59533130169598,True,87.75351051512885,False,amplitude_A2,amplitude,2.0,1e-06,4.0,shape,0.0
radial_eta_+0.25,0.6712463504232842,3.0278033987445423,15,7,True,3.769060486835344,118.98950360715477,True,88.16302798387223,True,radial_eta_+0.25,radial_power,3.0,1e-06,4.0,radial_power,0.25
amplitude_A1,1.0898618409109209,4.1180490656151285,15,7,True,5.136654388383788,220.10826076949616,True,227.26558229030732,True,amplitude_A1,amplitude,1.0,1e-06,4.0,shape,0.0
amplitude_A4,inf,inf,14,6,False,17.672513138228567,inf,True,547.620478844658,True,amplitude_A4,amplitude,4.0,1e-06,4.0,shape,0.0
threshold_2e-06,inf,inf,14,6,False,3.121669711324477,inf,True,32.33797376554677,False,threshold_2e-06,threshold,3.0,2e-06,4.0,shape,0.0
carrier_uniform,inf,inf,14,6,False,20.399745040485737,inf,True,591.0751545227785,True,carrier_uniform,carrier,3.0,1e-06,4.0,uniform,0.0
carrier_potential_gradient_normalized,inf,inf,14,6,False,7.537901265863084,inf,True,429.11281921535675,True,carrier_potential_gradient_normalized,carrier,3.0,1e-06,4.0,potential_gradient_normalized,0.0
carrier_path_normalized,inf,inf,14,6,False,23.035774563895814,inf,True,607.9531143439672,True,carrier_path_normalized,carrier,3.0,1e-06,4.0,path_normalized,0.0
radial_eta_-0.50,inf,inf,10,6,False,27.91891143460374,inf,True,1499.0125277398286,True,radial_eta_-0.50,radial_power,3.0,1e-06,4.0,radial_power,-0.5
radial_eta_-0.25,inf,inf,14,6,False,24.41932634989609,inf,True,582.6185233972549,True,radial_eta_-0.25,radial_power,3.0,1e-06,4.0,radial_power,-0.25
radial_eta_+0.50,inf,inf,14,6,False,6.310033785293036,inf,True,373.2916757832463,False,radial_eta_+0.50,radial_power,3.0,1e-06,4.0,radial_power,0.5
