type,n_galaxies,chi2,chi2_red,ape,rms
Sd,6,31777.06216042497,1451.1958852537146,35.788299861643104,32.76340710123186
Scd,5,630.0242651900887,30.620224997178667,15.204826078630797,25.704995756383187
Im,4,840.143530497264,34.654230960839335,30.987704723472977,14.80269941438736
Sbc,3,48428.993500699165,2387.241721044046,57.170441473479976,111.58921542946705
Sc,3,36375.28629575736,725.0529684798106,43.89479848141192,84.16290113550029
Sm,2,815.9976725415278,26.457915977399125,6.938448894128614,16.032394567414556
Sb,1,30541.356502326802,898.275191244906,37.120763276150925,77.26640998550211
Sab,1,19936.351541804972,553.7875428279159,66.69560937654981,122.58194188926073
