candidate_id,bin,galaxies,points,arc_RMSE_km_s,RAR_RMSE_km_s,arc_over_RAR,arc_mean_residual_km_s
baseline,all,131,968,12.57091168672948,10.348465773189677,1.2147609087423965,-2.469939015004746
baseline,dwarf_mass,19,92,9.350152888002361,6.315121038797132,1.4805975737534438,-6.038483909868682
baseline,intermediate_mass,90,648,11.907385641832299,9.828369033085178,1.2115322086247007,-4.476429500378997
baseline,giant_mass,22,228,15.253785505864892,12.807628583496323,1.1909921814504085,4.672657322056645
baseline,gas_rich,50,275,11.222491736991879,8.624709022190821,1.301202360348289,-6.247336053581282
baseline,gas_poor,41,416,12.14004703410445,9.628359297758395,1.2608635239578987,1.0013530786243285
baseline,disk_dominated,104,640,11.620944199260311,9.942288606424803,1.1688399582115072,-3.4368185712799617
baseline,bulge_dominated,13,181,15.744564934813456,12.30550257985143,1.279473538983529,-1.7567610754526286
baseline,late_type,61,324,9.467136913100306,8.132247767315997,1.1641476236311086,-4.9195988814435765
baseline,early_type,26,308,13.791349283617643,10.725983983629979,1.2857887262060088,-2.6353279113897052
universal_q_low,all,131,968,13.988910690012062,10.348465773189677,1.3517859551948155,-7.4847111778412705
universal_q_low,dwarf_mass,19,92,10.593448600829882,6.315121038797132,1.6774735647580972,-7.81236601187386
universal_q_low,intermediate_mass,90,648,14.161150961108921,9.828369033085178,1.4408444487013385,-8.935905221388728
universal_q_low,giant_mass,22,228,14.68297392672672,12.807628583496323,1.146424088659702,-3.2280533491142953
universal_q_low,gas_rich,50,275,12.862147268176209,8.624709022190821,1.491313763175399,-8.93136674451261
universal_q_low,gas_poor,41,416,13.376363887280593,9.628359297758395,1.3892672129918107,-5.7758411079564995
universal_q_low,disk_dominated,104,640,12.917439788961838,9.942288606424803,1.2992420860338396,-7.546225162306714
universal_q_low,bulge_dominated,13,181,17.587092989077767,12.30550257985143,1.4292055830270773,-8.105179295770304
universal_q_low,late_type,61,324,11.055874137315493,8.132247767315997,1.3595102428813999,-7.692779079566022
universal_q_low,early_type,26,308,16.331231016217586,10.725983983629979,1.5225858104153753,-9.38058142097959
universal_q_high,all,131,968,13.43687018334743,10.348465773189677,1.298440800583121,2.374611423668976
universal_q_high,dwarf_mass,19,92,8.371255866990118,6.315121038797132,1.3255891400277304,-4.333972832007208
universal_q_high,intermediate_mass,90,648,11.321028884008285,9.828369033085178,1.1518725890224895,-0.17163168784858332
universal_q_high,giant_mass,22,228,19.33923354286973,12.807628583496323,1.5099776993681653,12.318274966588222
universal_q_high,gas_rich,50,275,10.152675562047635,8.624709022190821,1.177161517672707,-3.666951236532123
universal_q_high,gas_poor,41,416,14.573476859695209,9.628359297758395,1.513599192656645,7.56223616238113
universal_q_high,disk_dominated,104,640,12.024077857473458,9.942288606424803,1.2093873285576706,0.5277172947958854
universal_q_high,bulge_dominated,13,181,16.557146148551148,12.30550257985143,1.3455075110594183,4.386930262929637
universal_q_high,late_type,61,324,8.61970305869975,8.132247767315997,1.0599410280319872,-2.2510803488504956
universal_q_high,early_type,26,308,14.49938292675327,10.725983983629979,1.3517997928098962,3.8906548384135875
alpha_low,all,131,968,14.619847097268147,10.348465773189677,1.412755032262325,-7.144443250377971
alpha_low,dwarf_mass,19,92,11.27961679091806,6.315121038797132,1.7861283610593373,-8.54655006869389
alpha_low,intermediate_mass,90,648,14.784147059156961,9.828369033085178,1.504231984919286,-8.976065937700566
alpha_low,giant_mass,22,228,15.327006207155021,12.807628583496323,1.1967091415271929,-1.373016370245925
alpha_low,gas_rich,50,275,13.654595651333135,8.624709022190821,1.5831949363393871,-9.834479054568394
alpha_low,gas_poor,41,416,13.926970965210788,9.628359297758395,1.4464531842359856,-4.197364379737852
alpha_low,disk_dominated,104,640,13.627520094607046,9.942288606424803,1.3706622925631842,-7.747893219266862
alpha_low,bulge_dominated,13,181,18.217073607348645,12.30550257985143,1.4804006166458086,-6.807934765576186
alpha_low,late_type,61,324,11.681330496042426,8.132247767315997,1.4364208802135137,-8.397638098389958
alpha_low,early_type,26,308,16.6406159731374,10.725983983629979,1.5514302462631258,-8.056802851642688
alpha_high,all,131,968,12.577479116514361,10.348465773189677,1.2153955370949294,2.33230257050616
alpha_high,dwarf_mass,19,92,7.744595220362162,6.315121038797132,1.2263573687318126,-3.3682405950883263
alpha_high,intermediate_mass,90,648,10.692095302398357,9.828369033085178,1.0878809359320578,0.17912506905696302
alpha_high,giant_mass,22,228,17.958628820517923,12.807628583496323,1.4021821997289245,10.752078851970074
alpha_high,gas_rich,50,275,9.660275764197811,8.624709022190821,1.120069759958573,-2.4527435300737537
alpha_high,gas_poor,41,416,13.192498166052703,9.628359297758395,1.3701709458561735,6.242052262071498
alpha_high,disk_dominated,104,640,11.389471755437045,9.942288606424803,1.1455583524377937,1.037703194099156
alpha_high,bulge_dominated,13,181,15.43463706380714,12.30550257985143,1.2542874184658852,3.3683554766275896
alpha_high,late_type,61,324,8.341677835754004,8.132247767315997,1.0257530358678593,-1.2608645831410692
alpha_high,early_type,26,308,13.407393321558828,10.725983983629979,1.2499919207432364,2.852448060986183
apogee_ratio_low,all,131,968,12.712709611111258,10.348465773189677,1.228463222446631,-3.0773435629884944
apogee_ratio_low,dwarf_mass,19,92,9.585078492936367,6.315121038797132,1.517798065001471,-6.359447897700776
apogee_ratio_low,intermediate_mass,90,648,12.187139700731818,9.828369033085178,1.2399961437860467,-5.054518831376622
apogee_ratio_low,giant_mass,22,228,15.06475737607564,12.807628583496323,1.1762331549407836,3.8663545629283305
apogee_ratio_low,gas_rich,50,275,11.494708698814055,8.624709022190821,1.332764812034691,-6.699847334848413
