parameter,concept,low_value,high_value,galaxy_span_km_s,galaxy_normalized_span,galaxy_better_direction,cluster_span_dex,cluster_normalized_span,cluster_better_direction,RXJ2129_span_arcsec,RXJ2129_normalized_span,RXJ2129_better_direction,RXJ2129_low_roots,RXJ2129_high_roots,four_cluster_common_complete_systems,four_cluster_common_labels,four_cluster_span_arcsec,four_cluster_normalized_span,four_cluster_better_direction,four_cluster_low_roots,four_cluster_high_roots,solar_Mercury_span_mas_per_century,solar_margin_fraction_span,both_solar_pass,material_domains,material_domain_directions_agree,maximum_normalized_span
screen_exponent,high-acceleration suppression sharpness,0.8,1.2,0.16792961308004095,0.013358586653449833,low,0.010392783999738614,0.052204758931989684,low,,0.0,unavailable,6,7,3,MACS0329+MACS0429+MACS1115,1.1542907500759476,0.05396090400268071,high,11,10,74.62706509467601,24.073246804734197,False,3,False,24.073246804734197
extent_leak,concentration leaking into scalar amplitude,-0.05,0.05,0.3137130011972751,0.024955469341849498,low,0.006272678133100784,0.03150875163043179,high,1.7019592819650304,1.367141486750286,high,7,7,3,MACS0329+MACS0429+MACS1115,3.3412176028174976,0.15619558790178234,high,9,11,0.06211377229283466,0.020036700739624082,True,2,True,1.367141486750286
mass_radius_delta,baryonic-mass dependence of transition radius,-0.05,0.05,1.7015153237789722,0.13535337501218642,high,0.06254302520412877,0.3141644773663164,high,,0.0,unavailable,7,5,2,MACS0329+MACS1115,5.186648323337398,0.24246597510450418,low,9,8,3.372452622766577,1.087887942827928,False,4,False,1.087887942827928
alpha,radial residence shape,0.675,0.8250000000000001,2.0423679807537862,0.162467769375058,high,0.02246512789243721,0.11284623889330311,low,0.05324861562008154,0.042773286234076044,low,7,7,3,MACS0329+MACS0429+MACS1115,1.2680300529755684,0.05927800076075006,high,11,10,2.6580919448749336,0.857449014475785,False,4,False,0.857449014475785
invariant_scale,potential-depth transition,1.6e-06,2.4e-06,0.4898455620763844,0.038966590036066465,high,0.04665652896658551,0.234363847777963,high,,0.0,unavailable,7,5,3,MACS0329+MACS0429+MACS1115,1.9968646240101044,0.09334963506852037,low,10,11,0.0026198834978612418,0.0008451237089874973,True,2,False,0.234363847777963
screen_scale,screen transition location,0.8,1.2,0.6674120771779144,0.053091779960754155,low,0.00807096765104326,0.04054187218566242,low,,0.0,unavailable,6,7,3,MACS0329+MACS0429+MACS1115,3.0919067291518942,0.14454077725740272,low,11,10,0.6919317763300632,0.2232037988161494,True,3,True,0.2232037988161494
invariant_power,potential-depth response curvature,1.08,1.32,0.32870242373055447,0.026147858796713223,high,0.03192215173421056,0.1603505120395817,low,,0.0,unavailable,6,7,4,MACS0329+MACS0429+MACS1115+MACS1931,1.139341289160999,0.053262045049448786,low,11,11,0.006603180354509908,0.0021300581788741635,True,2,True,0.1603505120395817
apogee_ratio,maximum path reach,80.0,120.0,0.2230752892962311,0.017745354899893314,high,0.0016285525061988104,0.008180502067235767,low,0.1964253684435715,0.15778360451688803,low,7,7,3,MACS0329+MACS0429+MACS1115,0.36608365782669594,0.01711371689986843,low,10,10,1.3870110200375763e-05,4.474229096895407e-06,True,1,False,0.15778360451688803
photon_extra_multiplier,lensing-to-matter response ratio,1.5,2.0,0.0,0.0,neutral,0.02642288292715725,0.13272672977087976,low,,0.0,unavailable,5,7,4,MACS0329+MACS0429+MACS1115+MACS1931,1.9874191332458864,0.09290807628417366,high,11,11,0.0,0.0,True,2,False,0.13272672977087976
universal_q,total excess amplitude,1.1070617503588247,1.3530754726607859,0.5520405066646319,0.04391411859550291,high,0.019334045961859142,0.09711827058507619,low,,0.0,unavailable,5,7,4,MACS0329+MACS0429+MACS1115+MACS1931,0.4158928781618165,0.019442203511040677,high,11,11,0.3459658900266043,0.11160190000858201,True,2,False,0.11160190000858201
secondary_path_ratio_power,path-history contribution,0.2,0.3,0.10201829366063819,0.008115425213617094,high,0.0052837529555256335,0.026541208718120303,high,,0.0,unavailable,6,7,3,MACS0329+MACS0429+MACS1115,0.047238145306575774,0.002208293728408638,high,11,10,0.0,0.0,True,0,False,0.026541208718120303
