variant_id,parameter,direction,concept,changed_value,universal_q,galaxy_outer_RMSE_km_s,galaxy_equal_RMSE_km_s,cluster_RMSE_dex,cluster_equal_system_RMSE_dex,cluster_mean_residual_dex,cluster_median_observed_over_predicted,maximum_dynamic_fraction_limb_to_Saturn,maximum_lensing_fraction_limb_to_Saturn,Earth_orbit_fractional_change,Saturn_orbit_fractional_change,Mercury_precession_mas_per_century,Cassini_proxy_pass,Earth_proxy_pass,Mercury_proxy_pass,all_solar_proxies_pass
baseline,none,baseline,P0554 parent,baseline,1.2300686115098052,12.57091168672948,12.608152310051063,0.19907732958364824,0.19461516475256666,0.04344887895914685,0.943388519718653,1.139827227017669e-08,1.9946976472809207e-08,3.2476909086838177e-11,1.139827227017669e-08,-1.729829450133022,True,True,True,True
universal_q_low,universal_q,low,total excess amplitude,1.1070617503588247,1.1070617503588247,13.988910690012062,13.717508257760095,0.1921732532025938,0.19195694411253642,0.004563774587840884,1.0382700739232797,1.025844504315902e-08,1.7952278825528286e-08,2.922921817815436e-11,1.025844504315902e-08,-1.55684650511972,True,True,True,True
universal_q_high,universal_q,high,total excess amplitude,1.3530754726607859,1.3530754726607859,13.43687018334743,13.43168415388981,0.21150729916445293,0.20346810157526135,0.07910475874831834,0.8759527165587011,1.2538099497194359e-08,2.194167412009013e-08,3.5724599995522e-11,1.2538099497194359e-08,-1.9028123951463243,True,True,True,True
alpha_low,alpha,low,radial residence shape,0.675,1.2300686115098052,14.619847097268147,14.368826328798065,0.19002003201805234,0.185415608180604,0.04921205295237002,0.9273839494058866,1.8871392777788116e-08,3.3024937361129204e-08,6.31049536541743e-11,1.8871392777788116e-08,-3.50999045541729,True,True,False,False
alpha_high,alpha,high,radial residence shape,0.8250000000000001,1.2300686115098052,12.577479116514361,12.665585591611935,0.21248515991048955,0.20816443929162445,0.037222953097722514,0.9692480689573983,6.8834517505175566e-09,1.2046040563405724e-08,1.6713449925718216e-11,6.8834517505175566e-09,-0.8518985105423561,True,True,True,True
apogee_ratio_low,apogee_ratio,low,maximum path reach,80.0,1.2300686115098052,12.712709611111258,12.72570971860494,0.1981331391248138,0.19390793260286251,0.041328476497835505,0.9496639002155169,1.139784921809889e-08,1.9946236131673056e-08,3.247666539087559e-11,1.139784921809889e-08,-1.7298212986440475,True,True,True,True
apogee_ratio_high,apogee_ratio,high,maximum path reach,120.0,1.2300686115098052,12.489634321815027,12.541699665189993,0.19976169163101262,0.19513337198115266,0.044947390531935305,0.9408274574217369,1.13985690759236e-08,1.99474958828663e-08,3.2477080050938204e-11,1.13985690759236e-08,-1.729835168754248,True,True,True,True
screen_exponent_low,screen_exponent,low,high-acceleration suppression sharpness,0.8,1.2300686115098052,12.773861041190406,12.706256569561809,0.19411947469591326,0.19176699954620854,0.02501144739924917,0.9769259013275651,1.6798686670772024e-07,2.939770167385104e-07,1.1229173422082685e-09,1.6798686670772024e-07,-74.6663553656198,True,False,False,False
screen_exponent_high,screen_exponent,high,high-acceleration suppression sharpness,1.2,1.2300686115098052,12.941790654270447,12.966572567928948,0.20451225869565187,0.19841102158084095,0.0582316165183426,0.9251734115386154,7.733831861160659e-10,1.3534205757031154e-09,9.392945407731318e-13,7.733831861160659e-10,-0.039290270943778426,True,True,True,True
screen_scale_low,screen_scale,low,screen transition location,0.8,1.2300686115098052,12.326733554380299,12.310753377151343,0.1952784621502598,0.1932070421229319,0.021347574321985023,0.996253814803832,9.118620438753662e-09,1.595758576781891e-08,2.5981527374626807e-11,9.118620438753662e-09,-1.3838635615956756,True,True,True,True
