grid_points,system,total_mass,spacing_L_sigma,integrated_response,maximum_potential,mean_potential,mean_screen,minimum_screen,maximum_g_over_a_sigma,maximum_trace_residual
65,galaxy,0.3,0.09375,0.00021124230945258852,0.0002904391716530701,9.3420548607864e-07,0.9963412449897681,0.012313379873088606,2.9926813224213236,1.7763568394002505e-15
65,cluster,0.3,0.09375,0.0006615708646355782,0.0006730120479141936,2.9250167232463665e-06,0.9997418761851559,0.9259253019440676,0.5318307992917843,1.1102230246251565e-16
65,galaxy,1.0,0.09375,0.0004230836378277853,0.000116376038576116,1.950267384274203e-06,0.9777809538789516,0.00010097160799333476,9.975604408071076,3.552713678800501e-15
65,cluster,1.0,0.09375,0.011193009581498584,0.00774787820471871,4.962607112192579e-05,0.9849017523993775,0.09194021662567041,1.7727693309726142,4.440892098500626e-16
65,galaxy,3.0,0.09375,0.001978206837894128,0.00014151378120005862,1.3569290271407117e-05,0.9028011010472603,1.246687387601853e-06,29.926813224213227,1.4210854715202004e-14
65,cluster,3.0,0.09375,0.017762078102734856,0.019341824802489457,8.72050912522179e-05,0.9044037451141247,0.0012484281070896572,5.318307992917844,1.7763568394002505e-15
81,galaxy,0.3,0.07500000000000018,0.00021132055768654883,0.0003106695118607112,9.432974347165555e-07,0.9963063779804233,0.011443376013810177,3.048680026652971,1.7763568394002505e-15
81,cluster,0.3,0.07500000000000018,0.0006617618369670831,0.0006742748641882843,2.9532222271519783e-06,0.9997396641240052,0.9253960170237894,0.5328544500810609,1.1102230246251565e-16
81,galaxy,1.0,0.07500000000000018,0.00042370170215069296,0.00011672333245900225,1.978799493972907e-06,0.9775837628782438,9.375553522812561e-05,10.162266755509904,3.552713678800501e-15
81,cluster,1.0,0.07500000000000018,0.01119784469949821,0.007692112251366083,5.0129425976790904e-05,0.9847724500877829,0.09130007278584126,1.7761815002702033,4.440892098500626e-16
81,galaxy,3.0,0.07500000000000018,0.0019297049253970049,0.00014530996192656947,1.3857219744785246e-05,0.9020566472603574,1.1575829334904407e-06,30.486800266529706,1.4210854715202004e-14
81,cluster,3.0,0.07500000000000018,0.017646988101183706,0.02108029434927534,8.836441303864095e-05,0.9036768131361721,0.0012388742943937516,5.328544500810609,1.7763568394002505e-15
